english,transliteration,arabic,audioUrl
slowly,,بْشْوية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-01.mp3
"fast, quickly",,بالزّرْبة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-02.mp3
especially,,خُصوصًا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-03.mp3
at least,,عالأقلّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-04.mp3
"almost, nearly, around, about",,تقْريباً,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-05.mp3
again,,عاوْتّاني,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-06.mp3
alone,,بوحْدو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-07.mp3
also,,حْتى هُوَّ، حْتى هِيَّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-08.mp3
"Yes, he's also invited to the party.",,آه، حْتى هُوَّ معْروض لْ الحفْلة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-09.mp3
I will also be present at the conference next week.,,حْتى آنا غنْكون حاضر لْ المُؤْتمر السّيمانة الجايّة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-10.mp3
The stores will also be closing at six.,,حْتى المحالات غيْسدّوا مْع السّْتة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-11.mp3
here,,هْنا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-12.mp3
there,,لْهيه,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-13.mp3
everywhere,,ڭاع البْلايْص,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-14.mp3
I see him everywhere.,,كنْشوفو فْڭاع البْلايْص.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-15.mp3
somewhere,,بْلاصة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-16.mp3
