english,transliteration,arabic,audioUrl,source
good,,مزْيان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-01.mp3,adjectives_5
bad,,خيْب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-02.mp3,adjectives_5
hard,,قاصح,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-03.mp3,adjectives_5
soft,,رْطب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-04.mp3,adjectives_5
"difficult, hard",,صْعيب (صْعاب),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-05.mp3,adjectives_5
easy,,ساهل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-06.mp3,adjectives_5
important,,مُهِمّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-07.mp3,adjectives_5
necessary,,ضروري,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-08.mp3,adjectives_5
strong,,صْحيح (صْحاح),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-09.mp3,adjectives_5
weak,,ضْعيف (ضْعاف),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-10.mp3,adjectives_5
deep,,عميق,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-11.mp3,adjectives_5
deep,,غارق,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-12.mp3,adjectives_5
shallow,,ما غارقْش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-13.mp3,adjectives_5
long; tall (person),,طْويْل (طْوال),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-14.mp3,adjectives_5
He’s very tall.,,هُوَّ طْويْل بزّاف.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-15.mp3,adjectives_5
short,,قْصيْر (قْصار),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-16.mp3,adjectives_5
She’s quite short.,,هِيّ قْصيْرة بزّاف.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-17.mp3,adjectives_5
"old, ancient",,قْديم (قْدام),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-18.mp3,adjectives_5
new,,جْديد (جْداد),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-19.mp3,adjectives_5
"clear, obvious",,واضح,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-20.mp3,adjectives_5
His answer was very clear.,,الجواب دْيالو كان واضح.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-21.mp3,adjectives_5
unclear,,ما واضحْش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-22.mp3,adjectives_5
clean,,نْقي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-23.mp3,adjectives_5
dirty,,مُسّخ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-24.mp3,adjectives_5
heavy,,ثْقيل (ثْقال),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-25.mp3,adjectives_5
light,,خْفيف (خْفاف),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-26.mp3,adjectives_5
ready,,واجد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-27.mp3,adjectives_5
Are you ready yet?,,نْتا واجد؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-28.mp3,adjectives_5
I’m ready!,,آنا واجد.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-29.mp3,adjectives_5
right,,عنْدو الصّحّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-30.mp3,adjectives_5
"Yes, you’re right!",,آه، عنْدك الصّحّ!,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-31.mp3,adjectives_5
wrong,,غالْط,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-32.mp3,adjectives_5
I think you’re wrong (about that).,,بان لِيّا راك غالط.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-33.mp3,adjectives_5
slow,,تْقيل (تْقال),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-34.mp3,adjectives_5
"fast, quick",,خْفيف (خْفاف),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-35.mp3,adjectives_5
hot,,سْخون,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-36.mp3,adjectives_5
warm,,دافي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-37.mp3,adjectives_5
"cool, cold",,بارد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-38.mp3,adjectives_5
famous,,مشْهور,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-39.mp3,adjectives_5
independent,,مُسْتقِلّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-40.mp3,adjectives_5
busy,,مشْغول,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-41.mp3,adjectives_5
"empty; available, free",,مْسالي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-42.mp3,adjectives_5
Are you free tomorrow?,,نْتا مْسالي غدّا؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-43.mp3,adjectives_5
full,,عامر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-44.mp3,adjectives_5
useful,,مُفيد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-45.mp3,adjectives_5
useless,,بْلا فائِدة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-46.mp3,adjectives_5
"careful, cautious",,راد بالو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-47.mp3,adjectives_5
careless,,ما مْسوّقْش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-48.mp3,adjectives_5
absent-minded,,سارح,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-49.mp3,adjectives_5
open,,محْلول,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-50.mp3,adjectives_5
closed,,مسْدود,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-51.mp3,adjectives_5
wet,,سارد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-52.mp3,adjectives_5
dry,,ناشف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-53.mp3,adjectives_5
quiet,,ساكت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-54.mp3,adjectives_5
noisy,,فيه الصّْداع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-55.mp3,adjectives_5
rough,,قاصْح,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-56.mp3,adjectives_5
smooth,,رْطب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-57.mp3,adjectives_5
narrow; tight,,مْضيّق,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-58.mp3,adjectives_5
wide; loose,,واسع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-59.mp3,adjectives_5
dark,,مْظلّم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-60.mp3,adjectives_5
"bright, light",,مْضوّي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-61.mp3,adjectives_5
sharp,,مْقمْقم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-62.mp3,adjectives_5
blunt,,ما مْقمْقمْش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-63.mp3,adjectives_5
additional,,زايْد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-64.mp3,adjectives_5
the same __,,نفْس الـ __,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-65.mp3,adjectives_5
similar,,بْحال بْحال,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-66.mp3,adjectives_5
different,,ماشي بْحال بْحال,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-67.mp3,adjectives_5
possible,,مُمْكِن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-68.mp3,adjectives_5
impossible,,مايْمْكنْش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-69.mp3,adjectives_5
"probable, likely",,بْحال والو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-70.mp3,adjectives_5
slowly,,بْشْوية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-01.mp3,adverbs_5
"fast, quickly",,بالزّرْبة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-02.mp3,adverbs_5
especially,,خُصوصًا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-03.mp3,adverbs_5
at least,,عالأقلّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-04.mp3,adverbs_5
"almost, nearly, around, about",,تقْريباً,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-05.mp3,adverbs_5
again,,عاوْتّاني,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-06.mp3,adverbs_5
alone,,بوحْدو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-07.mp3,adverbs_5
also,,حْتى هُوَّ، حْتى هِيَّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-08.mp3,adverbs_5
"Yes, he's also invited to the party.",,آه، حْتى هُوَّ معْروض لْ الحفْلة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-09.mp3,adverbs_5
I will also be present at the conference next week.,,حْتى آنا غنْكون حاضر لْ المُؤْتمر السّيمانة الجايّة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-10.mp3,adverbs_5
The stores will also be closing at six.,,حْتى المحالات غيْسدّوا مْع السّْتة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-11.mp3,adverbs_5
here,,هْنا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-12.mp3,adverbs_5
there,,لْهيه,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-13.mp3,adverbs_5
everywhere,,ڭاع البْلايْص,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-14.mp3,adverbs_5
I see him everywhere.,,كنْشوفو فْڭاع البْلايْص.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-15.mp3,adverbs_5
somewhere,,بْلاصة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-16.mp3,adverbs_5
I want to go somewhere fun.,,باغي نْمْشي لْشي بْلاصة مُمْتِعة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-17.mp3,adverbs_5
anywhere,,أيّ بْلاصة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-18.mp3,adverbs_5
You can buy it anywhere.,,تقْدر تشْريها من أيّ بْلاصة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-19.mp3,adverbs_5
nowhere,,حْتى بْلاصة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-20.mp3,adverbs_5
Nowhere is safe.,,حْتى بْلاصة ما آمْنة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-21.mp3,adverbs_5
always,,ديما,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-22.mp3,adverbs_5
She always does her homework.,,ديما كاتْدير التّمارين دْيالها.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-23.mp3,adverbs_5
sometime,,شي مرّة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-24.mp3,adverbs_5
Let’s have coffee sometime.,,نْديرو قْهيوة شي مرّة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-25.mp3,adverbs_5
sometimes,,بعْض المرّات,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-26.mp3,adverbs_5
I sometimes get up late.,,بعْض المرّات كنْفيق مْعطّل.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-27.mp3,adverbs_5
anytime,,فْأيّ وَقْت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-28.mp3,adverbs_5
You can call me anytime.,,تْقْدر تْعيّط ليّا فْأيّ وَقْت.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-29.mp3,adverbs_5
never,,ماعمّر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-30.mp3,adverbs_5
I never eat breakfast.,,ماعمّرْني كنفْطر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-31.mp3,adverbs_5
They’ve never been out of Morocco.,,ماعمّرْهُم ماخرْجو من المغْرِب.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-32.mp3,adverbs_5
usually,,أغْلبية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-33.mp3,adverbs_5
"I usually go to work by car, but I sometimes walk.",,الأغْلبية كنْمْشي للْخدمة بالطّنوْبيل، و لكِن بعْض المرّات كنتْمشّى.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-34.mp3,adverbs_5
often,,غالِبًا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-35.mp3,adverbs_5
I often see him at the café.,,غالِبًا كنْشوفو فْ القهْوَة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-36.mp3,adverbs_5
somehow,,شي طريْقة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-37.mp3,adverbs_5
The cat somehow got in the house.,,المُشّ دْخل للدّار بْشي طريقة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-38.mp3,adverbs_5
very,,__  بزّاف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-39.mp3,adverbs_5
very good,,مزْيان بزّاف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-40.mp3,adverbs_5
__ enough,,__ كِفاية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-41.mp3,adverbs_5
big enough,,كْبير كِفاية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-42.mp3,adverbs_5
too __,,__ بزّاف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-43.mp3,adverbs_5
too big,,كْبير بزّاف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-44.mp3,adverbs_5
"too much, too many",,بزّاف دْيال  __,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-45.mp3,adverbs_5
too much money,,بزّاف دْيال الفْلوس,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-46.mp3,adverbs_5
too many people,,بزّاف دْيال النّاس,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-47.mp3,adverbs_5
well,,مزْيان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-48.mp3,adverbs_5
She speaks Arabic well.,,كتدْوي بالعرْبية مزْيان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-49.mp3,adverbs_5
still,,مازال,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-50.mp3,adverbs_5
I’m still hungry.,,آنا مازال جيعان.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-51.mp3,adverbs_5
not… yet,,مازال,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-52.mp3,adverbs_5
He isn’t here yet.,,مازال ما جا.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-53.mp3,adverbs_5
I haven’t finished my coffee yet.,,مازال ما ساليت قهْوْتي.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-54.mp3,adverbs_5
already,,داجا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-55.mp3,adverbs_5
I already told you!,,داجا قلْتْلك!,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-56.mp3,adverbs_5
I’ve already eaten lunch.,,تْغدّيت داجا.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-57.mp3,adverbs_5
just,,يالّاه,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-58.mp3,adverbs_5
I just ate.,,يالّاه كْليت.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-59.mp3,adverbs_5
I just told you!,,يالّاه قلْتْليك!,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-60.mp3,adverbs_5
inside,,الدّاخل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-61.mp3,adverbs_5
It’s hot today. Let’s stay inside.,,الصّهْد لْيوما، آجي نبْقاو الدّاخل.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-62.mp3,adverbs_5
outside,,برّا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-63.mp3,adverbs_5
Let’s sit outside.,,آجي نْڭلْسوا برّا.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-64.mp3,adverbs_5
"abroad, overseas",,برّا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-65.mp3,adverbs_5
He lives abroad.,,كيْعيش برّا.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-66.mp3,adverbs_5
I’m going abroad next week.,,غنمْشي برّا السّيمانة الجايّة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-67.mp3,adverbs_5
upstairs,,الفوْق,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-68.mp3,adverbs_5
Come upstairs!,,طْلع الفوْق!,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-69.mp3,adverbs_5
downstairs,,التحْت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav52-70.mp3,adverbs_5
animal,,حَيَوان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-01.mp3,animals_5
pet,,حَيَوان أليف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-02.mp3,animals_5
Do you have any pets?,,عنْدك حَيَوانات أليفة؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-03.mp3,animals_5
