english,transliteration,arabic,audioUrl
animal,,حَيَوان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-01.mp3
pet,,حَيَوان أليف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-02.mp3
Do you have any pets?,,عنْدك حَيَوانات أليفة؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-03.mp3
dog,,كلْب (كْلاب),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-04.mp3
cat,,مُشّ (مْشاش),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-05.mp3
"I like cats, but I don’t like dogs so much.",,عْزيز عْلِيّا المْشاش، و لكِن ماعْزيزْش عْلِيّا الكْلاب بزّاف.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-06.mp3
cage,,قْفص (قْفوصة),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-07.mp3
kennel,,بيت دْيال الحَيَوانات,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-08.mp3
leash,,حْبل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-09.mp3
leash,,سنْسْلة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-10.mp3
dog collar,,كولْيا دْيال الكْلاب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-11.mp3
to train,,دْريسا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-12.mp3
to train,,درّب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-13.mp3
"(pet) food, feed",,ماكْلة دْالكْلاب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-14.mp3
to feed,,وُكّل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-15.mp3
mammal,,حَيَوان ثدْيي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-16.mp3
bear,,دُبّ (دْبوبة),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-17.mp3
buffalo,,جاموس,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-18.mp3
cheetah,,فهْد (فُهود),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-19.mp3
"deer, gazelle",,غْزالة (غْزال),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-20.mp3
elephant,,فيل (فِيَلة),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-21.mp3
fox,,ثعْلب (ثْعالب),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-22.mp3
giraffe,,زرافة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-23.mp3
hippopotamus,,فرس النّهْر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-24.mp3
kangaroo,,كنْڭارو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-25.mp3
koala,,كْوالا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-26.mp3
leopard,,فهْد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-27.mp3
