english,transliteration,arabic,audioUrl
transportation,,تْرونْسْپوْر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-01.mp3
means of transportation,,وَسائِل النّقْل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-02.mp3
"to take, get on/in (a bus, taxi, etc.)",,شدّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-03.mp3
"to get off, get out of",,هْبط من,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-04.mp3
"transportation, shipping",,ليڤْريزون,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-05.mp3
freight,,شحْن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-06.mp3
truck,,كامِيّو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-07.mp3
pick-up truck,,پّيكوپ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-08.mp3
ship,,باطوْ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-09.mp3
boat,,فْلوكة (فْلايْك),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-10.mp3
city bus,,طوبيس,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-11.mp3
intercity bus,,كار,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-12.mp3
I usually go to work by bus.,,الأغْلبية كنْشد الطّوبيس لِلْخدْمة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-13.mp3
to miss the bus,,مْشا عْليه الطّوبيس,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-14.mp3
bus stop,,بْلاكت الطّوبيس,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-15.mp3
bus driver,,شيفور الطّوبيس,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-16.mp3
"metro, subway (UK: underground)",,مِتْرو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-17.mp3
I take the metro every day.,,كنْشد الميتْرو كُلّ نْهار.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-18.mp3
metro station,,محطّة الميتْرو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-19.mp3
taxi,,طاكْسي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-20.mp3
We took a taxi downtown.,,شدّينا تاكْسي لْوسْط المْدينة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-21.mp3
taxi driver,,مول الطّاكْسي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-22.mp3
to hail a taxi,,شِيّر لْ الطّاكْسي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-23.mp3
taxi meter,,كوْنْتور,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-24.mp3
to negotiate the fare,,تّاوا عْلى الثّمن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-25.mp3
left,,ليْسر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-26.mp3
Turn left!,,دوْر عْلى ليسر!,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-27.mp3
right,,ليمن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-28.mp3
Turn right!,,دوْر عْلى ليمن!,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-29.mp3
straight,,نيشان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-30.mp3
Go straight!,,سير نيشان!,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-31.mp3
bicycle,,پّيكالا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-32.mp3
to ride a bicycle,,رْكب فْ پّيكالا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-33.mp3
cyclist,,سيكْليسْت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-34.mp3
"bicycle lane, bike path",,طْريْق الدّرّاجات,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-35.mp3
pedal,,پِدال,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-36.mp3
chain,,سنْسْلة الپّيكالا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-37.mp3
bike seat,,كوسان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-38.mp3
motorcycle,,موْطور,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-39.mp3
helmet,,كاسْك,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-40.mp3
"tuk-tuk, auto-rickshaw",,تُكْتُك,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-41.mp3
car,,طُنوْبيل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-42.mp3
to drive,,صاڭ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-43.mp3
driver,,شيفور (شْوافْرية),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-44.mp3
passenger,,راكِب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-45.mp3
driver’s license,,پيرْمي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-46.mp3
traffic,,سيرْكِلاسْيون,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-47.mp3
traffic jam,,أُمْبوتِيّاج,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-48.mp3
to get stuck in traffic,,وْحل فْ الأُمْبوتِيّاج,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-49.mp3
The traffic is horrible right now!,,الطّْريْق عامْرة دابا!,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-50.mp3
rush hour,,وَقْت الأُمْبوتِيّاج,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-51.mp3
Let’s not go downtown right now. It’s rush hour.,,بْلا منْمْشيوْ لِلْمْدينة دابا، وَقْت الأُمْبوتِيّاج دابا.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-52.mp3
"to pass, overtake",,دوبل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-53.mp3
to stop,,وْقف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-54.mp3
to yield to,,خلّا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav13-55.mp3
