english,transliteration,arabic,audioUrl
family,,فاميلا (فاميلات),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-01.mp3
family,,عائِلة (عائِلات),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-02.mp3
(extended) family,,العائِلة الكْبيرة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-03.mp3
(extended) family,,العائِلة البْعيدة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-04.mp3
relative,,كيجيني (من العائِلة),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-05.mp3
I have some relatives that live in New York.,,عَنْدي العائِلة فْنْيويورك,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-06.mp3
related to,,كَيْجي لـ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-07.mp3
Are you two related?,,كتْجيوْ لْبعْضِيّاتْكُم؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-08.mp3
I’m not related to him.,,لا، ماكيجيني والو.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-09.mp3
father,,والِد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-10.mp3
father,,أب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-11.mp3
mother,,والِدة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-12.mp3
mother,,أُمّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-13.mp3
my mother and father,,الوالِدة و الوالِد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-14.mp3
dad,,بابا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-15.mp3
mom,,ماما,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-16.mp3
my mom and dad,,ماما و بابا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-17.mp3
"Hi, Dad!",,سّلام بابا!,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-18.mp3
"Where are you, Mom?",,فينِك أ ماما؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-19.mp3
parents,,الواليدين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-20.mp3
"son, (male) child",,وُلْد (وْلاد),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-21.mp3
"daughter, (female) child",,بنْت (بْنات),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-22.mp3
Do you have any children?,,عنْدك وْلاد؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-23.mp3
How many children do you have?,,شْحال من وُلْد عنْدك؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-24.mp3
They had triplets.,,تْزادو عنْدْهُم ثْلاثة تْوام.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-25.mp3
siblings,,خوت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-26.mp3
brother,,خو (خوت),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-27.mp3
My brother and my friend’s brother came with me.,,جا مْعايا خويا و خو صاحْبي.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-28.mp3
sister,,اُخْت (خْواتات),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-29.mp3
older brother,,الاخ الكْبير,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-30.mp3
younger sister,,الاُخْت الصّْغيْرة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-31.mp3
Do you have any brothers or sisters?,,عنْدك شي خوت؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-32.mp3
I have two older sisters and one younger brother.,,عنْدي جوج خْواتات كْبار و خويا صْغيْر.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-33.mp3
I’m the youngest in my family.,,آنا الصّْغيْر فْ الدّار.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-34.mp3
I’m the middle child/son.,,آنا الوُسْطاني.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-35.mp3
I’m an only child.,,ماعنْديش خوت.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-36.mp3
twins,,تْوام,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-37.mp3
Are you two twins?,,واش انْتوما تْوام؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-38.mp3
I have a twin brother.,,عنْدي خويا تَوْأم.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-39.mp3
half-brother,,خويا من بّا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-40.mp3
half-brother,,خويا من مّي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-41.mp3
half-sister,,خْتي من بّا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-42.mp3
half-sister,,خْتي من مّي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-43.mp3
He’s my half-brother.,,هُّوَ خويا من بّا.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-44.mp3
husband,,راجل (رْجال),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-45.mp3
This is my husband.,,هاذا راجْلي.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-46.mp3
wife,,مْرا (مْراوات),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-47.mp3
__’s wife,,مرْت __,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-48.mp3
His wife came with him.,,جات مْعاه مرْتو.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-49.mp3
stepfather,,راجل الاُمّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-50.mp3
stepmother,,مرْت الرّاجل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-51.mp3
stepbrother,,وُلْد راجل الاُمّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-52.mp3
stepbrother,,وُلْد مرْت الرّاجل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-53.mp3
stepsister,,بنْت راجل الاُمّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-54.mp3
stepsister,,بنْت مرْت الرّاجل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-55.mp3
stepson,,وُلْد الرّاجل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav02-56.mp3
