english,transliteration,arabic,audioUrl
health,,صِحّة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-01.mp3
"healthy, in good health",,لاباس,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-02.mp3
"sickness, illness, disease",,مرْض (أمْراض),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-03.mp3
"sick, ill",,مْريض (مْراض),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-04.mp3
to be in poor health,,عِيّان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-05.mp3
to be handicapped,,مُعاق,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-06.mp3
wheelchair,,كُرْسي مُتحرِّك,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-07.mp3
doctor,,طْبيب (طُبّه),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-08.mp3
I don’t feel well. I think I need to go see a doctor.,,حاسّ بْراسي مْشي مزْيان، واقيلا خاصْني نمْشي عنْد الطّْبيب.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-09.mp3
specialist,,أخِصّائي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-10.mp3
cardiologist,,طْبيب قلْب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-11.mp3
"eye doctor, ophthalmologist",,طْبيب العيْنين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-12.mp3
to make an appointment with,,خْدا رونْديڤو مْع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-13.mp3
hospital,,سْبيطار,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-14.mp3
"doctor’s office, clinic",,عِيادة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-15.mp3
nurse (male),,فرْمْلي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-16.mp3
nurse (female),,فرْمْلية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-17.mp3
patient,,مْريض (مرْضى),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-18.mp3
to get a (medical) check-up,,دار كونْتْرول عنْد طْبيب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-19.mp3
to diagnose,,دار دياڭْنوسْتيك,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-20.mp3
diagnosis,,دياڭْنوسْتيك,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav11-21.mp3
