english,transliteration,arabic,audioUrl
language,,لُغة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-01.mp3
foreign language,,لُغة أجْنبية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-02.mp3
(foreign) accent,,لكْنة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-03.mp3
(foreign) accent,,أكْسون,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-04.mp3
native language,,لُغة أصْلية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-05.mp3
Chinese,,شينْوية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-06.mp3
Dutch,,هولنْدية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-07.mp3
English,,لونْڭْلي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-08.mp3
Farsi,,فارِسية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-09.mp3
French,,فرنْسية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-10.mp3
German,,ألْمانية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-11.mp3
Greek,,يونانية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-12.mp3
Hebrew,,عِبْرية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-13.mp3
Hindi,,هِنْدية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-14.mp3
Italian,,طلْيانية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-15.mp3
Japanese,,جپّونية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-16.mp3
Korean,,كورية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-17.mp3
Portuguese,,بُرْتُغالية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-18.mp3
Russian,,روسية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-19.mp3
Spanish,,اسْبلْيونية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-20.mp3
Turkish,,تُرْكية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-21.mp3
Arabic,,عرْبية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-22.mp3
Modern Standard Arabic; Classical Arabic,,عربية فُصْحى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-23.mp3
dialect,,لهْجة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-24.mp3
colloquial language,,الدّارِجة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-25.mp3
Moroccan Arabic,,اللّهْجة المغْرِبية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-26.mp3
Tunisian Arabic,,اللّهْجة التّونْسية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-27.mp3
Egyptian Arabic,,الدّارِجة المِصْرية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-28.mp3
Levantine Arabic,,اللّهْجة الشّامية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-29.mp3
Gulf Arabic,,اللّهْجة الخليجية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-30.mp3
to learn,,تْعلّم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-31.mp3
"practice, exercise",,تمْرين (تمارين),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-32.mp3
to practice,,تْرينا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-33.mp3
to practice,,تْدرّب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-34.mp3
level,,مُسْتَوى (مُسْتويات),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-35.mp3
beginner’s,,مبْتدِئ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-36.mp3
beginner’s,,ديبوتون,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-37.mp3
intermediate,,مُتَوسِّط,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-38.mp3
advanced,,متْقدّم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-39.mp3
writing,,كْتابة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-40.mp3
to write,,كْتب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-41.mp3
