english,transliteration,arabic,audioUrl
life,,حَياة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-01.mp3
life,,عيشة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-02.mp3
to live,,عاش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-03.mp3
I live in Morocco.,,أنا ساكن في المغْرب.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-04.mp3
I live in Morocco.,,أنا عايَش في المغْرب.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-05.mp3
alive,,عايَش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-06.mp3
to give birth to,,وْلِد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-07.mp3
to be born,,تولِد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-08.mp3
to be born,,تْزاد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-09.mp3
birth,,وْلادة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-10.mp3
"baby, infant",,بيْبي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-11.mp3
"baby, infant",,تْربْيَة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-12.mp3
"to be breastfed, suckle",,رْضع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-13.mp3
to breastfeed,,رضّع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-14.mp3
toddler,,درّي صْغيْر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-15.mp3
toddler,,وُلْد صْغيْر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-16.mp3
diaper,,كوش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-17.mp3
diaper,,ليكوش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-18.mp3
well-behaved,,ضْريِّف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-19.mp3
"naughty, mischievous",,خطيْر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-20.mp3
"naughty, mischievous",,قْبيح,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-21.mp3
"childish, immature",,صْغيْر في عقْلو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-22.mp3
mature(-acting),,بْعقْلو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-23.mp3
"boy, child",,درّي (دْراري),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-24.mp3
"boy, child",,وُلْد (وْلاد),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-25.mp3
girl,,درّية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-26.mp3
