english,transliteration,arabic,audioUrl
"number, numeral",,رقْم (أرْقام),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-01.mp3
"number, numeral",,نمْرة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-02.mp3
number,,عدد (أعْداد),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-03.mp3
to count,,حْسب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-04.mp3
odd,,فرْدي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-05.mp3
even,,زوْجي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-06.mp3
zero,,صِفر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-07.mp3
zero,,زيرو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-08.mp3
cardinal number,,عدد أصْلي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-09.mp3
one,,واحد، وحْدة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-10.mp3
two,,جوج,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-11.mp3
two tables and two chairs,,جوج طْوابل و جوج كْراسا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-12.mp3
three,,ثْلاثة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-13.mp3
four,,ربْعة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-14.mp3
five,,خمْسة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-15.mp3
six,,سْتة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-16.mp3
seven,,سبْعة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-17.mp3
eight,,ثْمنْية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-18.mp3
nine,,تْسْعود,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-19.mp3
ten,,عشْرة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-20.mp3
eleven,,حْداش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-21.mp3
twelve,,طْناش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-22.mp3
thirteen,,ثلْطاش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-23.mp3
fourteen,,رْبعْطاش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-24.mp3
fifteen,,خمْسْطاش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-25.mp3
sixteen,,سْطاش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-26.mp3
seventeen,,سْبعْطاش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-27.mp3
eighteen,,تمنْطاش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-28.mp3
nineteen,,تسعْطاش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-29.mp3
twenty,,عِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-30.mp3
twenty-one,,واحد و عِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-31.mp3
twenty-two,,اثْنين و عِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-32.mp3
twenty-three,,ثْلاثة و عِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-33.mp3
thirty,,ثلْاثين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-34.mp3
forty,,ربْعين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-35.mp3
fifty,,خمْسين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-36.mp3
sixty,,سْتين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-37.mp3
seventy,,سبْعين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-38.mp3
eighty,,تْمانين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-39.mp3
ninety,,تسْعين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-40.mp3
one hundred,,مْية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-41.mp3
two hundred,,ميتين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-42.mp3
three hundred,,تلْتمْية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-43.mp3
four hundred,,ربْعمْية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-44.mp3
five hundred,,خمْسمْية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-45.mp3
six hundred,,سْتمْية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-46.mp3
seven hundred,,سبْعمْية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-47.mp3
eight hundred,,تمْنمْية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-48.mp3
nine hundred,,تسْعمْية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-49.mp3
one thousand,,آلْف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-50.mp3
two thousand,,ألْفيْن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-51.mp3
three thousand,,تلْتالاف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-52.mp3
four thousand,,ربْعلاف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-53.mp3
five thousand,,خمْسلاف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-54.mp3
six thousand,,سْتلاف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-55.mp3
seven thousand,,سبْعلاف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-56.mp3
eight thousand,,تمْنلاف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-57.mp3
nine thousand,,تسْعلاف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-58.mp3
ten thousand,,عشْرلاف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-59.mp3
eleven thousand,,حْداشْر آلف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-60.mp3
twenty thousand,,عِشْرين ألف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-61.mp3
one hundred thousand,,مْية ألف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav48-62.mp3
