english,transliteration,arabic,audioUrl
"to abandon, desert",,تْخلّى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-01.mp3
"to abandon, desert",,هْجر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-02.mp3
to accept,,قْبل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-03.mp3
to accompany,,مْشى مْع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-04.mp3
to adjust,,عدّل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-05.mp3
to admit,,عْترف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-06.mp3
"to advise, recommend",,نْصح,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-07.mp3
to affect,,أثّر عْلى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-08.mp3
to allow,,خلّى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-09.mp3
"to answer, respond, reply",,جاوَب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-10.mp3
to apologize for,,طْلب السّْماح عْلى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-11.mp3
to apologize for,,عْتذر عْلى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-12.mp3
to appear,,بان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-13.mp3
to appreciate,,قدّر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-14.mp3
to approve of,,وافق عْلى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-15.mp3
"to arrange, organize",,قاد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-16.mp3
"to ascend, go up",,طْلع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-17.mp3
to ask,,سوّل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-18.mp3
to attend,,حْضر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-19.mp3
to be,,كان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-20.mp3
"to be able to, can",,قْدر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-21.mp3
Can you swim?,,تقْدر تْعوم؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-22.mp3
"to become, be",,وَلّا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-23.mp3
"to beg, plead",,طْلب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-24.mp3
"to begin, start",,بْدا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-25.mp3
to behave,,احْترم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-26.mp3
to bet,,قمّر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-27.mp3
to blame __ for,,لام __ عْلى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-28.mp3
"to bother, disturb",,قلّق,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-29.mp3
to break,,هرّس,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-30.mp3
"to bring, get",,جاب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-31.mp3
to burn,,حْرق,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-32.mp3
to care,,اتْهلّى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-33.mp3
"to carry, lift, pick up",,هزّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-34.mp3
She carried the box to the kitchen.,,هزّات الصّنْدوق للْكوزينة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-35.mp3
He lifted the child up.,,هزّ الدّرّي.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-36.mp3
He picked the book up from the table.,,هزّ الكْتاب من الطّابْلة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-37.mp3
to change,,بدّل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-38.mp3
"to chase, pursue",,تْبع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-39.mp3
"to cheat, deceive",,غشّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-40.mp3
"to cheer, encourage",,شجّع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-41.mp3
to choose,,خْتار,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-42.mp3
"to climb, ascend",,طْلع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-43.mp3
"to close, lock",,سدّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-44.mp3
to come,,جا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-45.mp3
to compare,,قارن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-46.mp3
to contact,,عيِّط,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-47.mp3
to contact,,تّصل بْـ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-48.mp3
to continue,,كمّل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-49.mp3
to decline,,رْفض,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-50.mp3
"to decrease, reduce",,نْقص,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-51.mp3
to demand,,طْلب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-52.mp3
to deny,,نْكر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-53.mp3
"to descend, go down",,هْبط,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-54.mp3
to describe,,وْصف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-55.mp3
to design,,صمّم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-56.mp3
to disappear,,غْبر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-57.mp3
"to do, make",,دار,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-58.mp3
to drop,,طيِّح,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-59.mp3
He dropped his book.,,طيِّح كْتابو.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav55-60.mp3
