english,transliteration,arabic,audioUrl
slowly,bi-rrāɧa,بِالرّاحة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-1.mp3
"fast, quickly",bi-súr3a,بِسُرْعة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-2.mp3
especially,xuȿūȿan,خُصوصاً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-3.mp3
at least,3ála -lʔaʔáll,على الأقلّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-4.mp3
"almost, nearly, around, about",taʔrīban,تقْريباً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-5.mp3
again,tāni,تاني,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-6.mp3
alone,li-wáɧdu,لِوَحْدُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-7.mp3
"also, too, as well",bárɖu,برْضُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-8.mp3
here,hína,هِنا,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-9.mp3
there,hināk,هِناك,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-10.mp3
everywhere,fī kullə makān,في كُلّ مكان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-11.mp3
I see him everywhere.,ʔána bašūfu fi kullə makān.,أنا بشوفُه في كُلّ مكان.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-12.mp3
somewhere,ɧítta,حِتّة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-13.mp3
somewhere,makān,مكان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-14.mp3
I want to go somewhere fun.,3āyiz ʔarūɧ ɧítta mumtí3a.,عايِز أروح حِتّة مُمْتِعة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-15.mp3
anywhere,ʔayyə makān,أيّ مكان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-16.mp3
You can buy it anywhere.,múmkin tištirī min ʔayyə makān.,مُمْكِن تِشْتِرية مِن أيّ مكان.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-17.mp3
nowhere,ma-fīš makān,مفيش مكان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-18.mp3
Nowhere is safe.,ma-fīš makān ʔamān.,مفيش مكان أمان.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-19.mp3
always,dáyman,دايْماً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-20.mp3
always,3ála ʈūl,على طول,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-21.mp3
She always does her homework.,híyya 3ála ʈūl bití3mil ilwāgib.,هِيَّ على طول بِتِعْمِل الواجِب.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-22.mp3
sometime,fi márra,في مرّة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-23.mp3
Let’s have coffee sometime.,ma tīgi níšrab ʔáhwa f- márra.,ما تيجي نِشْرب قهْوَة في مرّة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-24.mp3
sometimes,ʔaɧyānan,أحْياناً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-25.mp3
sometimes,sa3āt,ساعات,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-26.mp3
I sometimes get up late.,ʔána sa3āt báȿɧa mitʔáxxar.,أنا سعات بصْحى مِتْأخّر.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-27.mp3
anytime,ʔayyə waʔt,أيّ وَقْت,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-28.mp3
You can call me anytime.,múmkin tikallímni fi ʔayyə waʔt.,مُمْكِن تِكلِّمْني في أيّ وَقْت.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-29.mp3
never,3úmru ma-,عُمْرُه ما,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-30.mp3
I never eat breakfast.,3úmri ma báfʈar.,عُمْري ما بفْطر.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-31.mp3
They’ve never been out of Egypt.,3umrúhum ma sáfru bárra maȿr.,عُمْرُهُم ما سافْروا برّه مصْر.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-32.mp3
usually,3ādatan,عادةً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-33.mp3
usually,fi -l3ādi,في العادي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-34.mp3
usually,3umūman,عُموماً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-35.mp3
"I usually go to work by car, but I sometimes walk.","ʔána 3ādatan barūɧ iššúɣlə bi-l3arabíyya, bass ʔaɧyānan bámši.",أنا عادةً بروح الشُّغْل بِالعربية، بسّ أحْياناً بمْشي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-36.mp3
often,kitīr,كِتير,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-37.mp3
often,ɣālíban,غالِبا,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-38.mp3
I often see him at the café.,ʔána bašūfu ktīr fi -lʔáhwa.,أنا بشوفُه كِتير في القهْوُه.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-39.mp3
somehow,ma-3ráfš izzāy,معْرفْش إزّايْ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-40.mp3
The cat somehow got in the house.,ma-3ráfš izzāy ilʔúʈʈa dáxalit ilbēt.,معْرفْش إزّايْ القُطّة دخلِت البيْت.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-41.mp3
very,ʔáwi,أَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-42.mp3
very,gíddan,جِدّاً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-43.mp3
very,xāliȿ,خالِص,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-44.mp3
very good,kuwáyyis gíddan,كُوَيِّس جِدّاً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-45.mp3
__ enough,kifāya,كِفايَة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-46.mp3
big enough,kibīr kifāya,كِبير كِفايَة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-47.mp3
too __,__ ʔáwi,__ أَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-48.mp3
too big,kibīr ʔáwi,كِبير أَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-49.mp3
"too much, too many",kitīr ʔáwi,كِتير أَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-50.mp3
too much money,filūs kitīr ʔáwi,فِلوس كِتير أَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-51.mp3
too many people,nās kitīr ʔáwi,ناس كِتير أَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-52.mp3
well,kuwáyyis,كُوَيِّس,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-53.mp3
She speaks Arabic well.,híyya btitkállim 3árabi kwáyyis.,هِيَّ بِتِتْكلِّم عربي كْوَيِّس.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-54.mp3
still,líssa,لِسّه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-55.mp3
I’m still hungry.,ʔána líssa ga3ān.,أنا لِسّه جعان.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-56.mp3
not… yet,li-ɧáddə dilwáʔti,لِحدّ دِلْوَقْتي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-57.mp3
not… yet,líssa,لِسّه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-58.mp3
Isn’t he here yet?,húwwa líssa ma-gāš li-ɧáddə dilwáʔti?,هُوَّ لِسّه مجاش لِحدّ دِلْوَقْتي؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-59.mp3
I haven’t finished my coffee yet.,ma-xalláȿtiš ʔahwíti li-ɧáddə dilwáʔti.,مخلّصْتِش قَهْوِتي لِحدّ دِلْوَقْتي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-60.mp3
I haven’t finished my coffee yet.,ʔána líssa ma-xalláȿtiš ʔahwíti.,أنا لِسّه مخلّصْتِش قَهْوِتي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-61.mp3
already,xalāȿ,خلاص,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-62.mp3
I already told you!,ʔána ʔultílak xalāȿ!,أنا قُلْتِلك خلاص!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-63.mp3
I’ve already eaten lunch.,ʔána -tɣaddēt xalāȿ!,أنا اتْغدّيْت خلاص.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-64.mp3
just (now),líssa,لِسّه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-65.mp3
just (now),yadōb,يادوْب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-66.mp3
I just ate.,ʔána líssa wākil.,أنا لِسّه واكِل.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-67.mp3
I just told you!,ʔána líssa yadōb ʔáylak.,أنا لِسّه يادوْب قايْلك!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-68.mp3
inside,gúwwa,جُوّه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-69.mp3
It’s hot today. Let’s stay inside.,iddúnya ɧarr innahárda. xallīna gúwwa ʔáɧsan.,الدُّنْيا حرّ النّهارْده.  خلّينا جُوّه أحْسن.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-70.mp3
outside,bárra,برّه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-71.mp3
Let’s sit outside.,yálla núʔ3ud bárra.,يَلّا نُقْعُد برّه.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-72.mp3
"abroad, overseas",bárra (-lbálad),برّه (البلد),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-73.mp3
Does he live abroad?,húwwa 3āyiš bárra -lbálad?,هُوَّ عايِش برّه البلد؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-74.mp3
I’m going abroad next week.,ʔána msāfir bárra -lʔisbū3 ilgáyy.,أنا مْسافِر برّه الإسْبوع الجايّ.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-75.mp3
upstairs,fōʔ,فوْق,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-76.mp3
Come upstairs!,ʔíʈla3 fōʔ!,اِطْلع فوْق!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-77.mp3
downstairs,taɧt,تحْت,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-78.mp3
