english,transliteration,arabic,audioUrl,source
good,kuwáyyis,كُوَيِّس,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-1.mp3,adjectives
bad,wíɧiš,وِحِش,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-2.mp3,adjectives
hard,ȿulb,صُلْب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-3.mp3,adjectives
soft,ʈári,طري,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-4.mp3,adjectives
"difficult, hard",ȿa3b,صعْب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-5.mp3,adjectives
easy,sahl,سهْل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-6.mp3,adjectives
important,muhímm,مُهِمّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-7.mp3,adjectives
necessary,ɖarūri,ضروري,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-8.mp3,adjectives
strong,ʔáwi (aʔwíya),قَوي (أقْوِيا),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-9.mp3,adjectives
weak,ɖa3īf (ɖú3afa),ضعيف (ضُعفا),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-10.mp3,adjectives
deep,3amīq,عميق,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-11.mp3,adjectives
shallow,ɖaɧl,ضحْل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-12.mp3,adjectives
long; tall (person),ʈawīl (ʈuwāl),طَويل (طُوال),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-13.mp3,adjectives
He’s very tall.,húwwa ʈawīl ʔáwi.,هُوَّ طَويل أَوي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-14.mp3,adjectives
short,ʔuȿáyyar (ʔuȿār),قُصيّر (قُصار),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-15.mp3,adjectives
She’s quite short.,híyya ʔuȿayyára ʔáwi.,هِيَّ قُصيّرة أَوي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-16.mp3,adjectives
"old, ancient",ʔadīm (ʔudām),قديم (قُدام),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-17.mp3,adjectives
new,gidīd (gudād),جِديد (جُداد),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-18.mp3,adjectives
"clear, obvious",wāɖiɧ,واضِح,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-19.mp3,adjectives
His answer was very clear.,igábtu kānit wáɖɧa gíddan.,إجابْتُه كانِت واضْحة جِدّاً.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-20.mp3,adjectives
unclear,miš wāɖiɧ,مِش واضِح,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-21.mp3,adjectives
