english,transliteration,arabic,audioUrl
transportation,muwáȿla,مُواصْلة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-1.mp3
means of transportation,wasāʔil ilmuwaȿlāt [pl.],وَسائِل المُواصْلات,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-2.mp3
"to take (a bus, taxi, etc.)",ʔáxad [i3],أخد,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-3.mp3
"to get on, get in, take (a bus, taxi, etc.)",ríkib [1s4],رِكِب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-4.mp3
"to get off, get out of",nízil [1s5] min,نِزِل مِن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-5.mp3
"transportation, shipping",naʔl,نقْل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-6.mp3
freight,šaɧn,شحْن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-7.mp3
truck (UK: lorry),lōri,لوْري,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-8.mp3
pick-up truck,3arabíyya nuȿȿə naʔl,عربية نُصّ نقْل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-9.mp3
ship,safīna (súfun),سفينة (سُفُن),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-10.mp3
boat,márkib [f.] (marākib),مرْكِب (مراكِب),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-11.mp3
bus,utubīs,أُتوبيس,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-12.mp3
I usually go to work by bus.,ʔána ɣālíban barūɧ iššúɣlə bi-lʔutubīs.,أنا غالِباً بروح الشُّغْل بِالأُتوبيس.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-13.mp3
to miss the bus,fāt [1h1] ilʔutubīs,فات الأُتوبيس,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-14.mp3
bus stop,máwʔif (mawāʔif) ʔutubīs,مَوْقِف (مَواقِف) أُتوبيس,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-15.mp3
bus driver,sawwāʔ ʔutubīs,سوّاق أُتوبيس,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-16.mp3
"metro, subway (UK: underground)",ilmítru,المِتْرو,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav13-17.mp3
