english,transliteration,arabic,audioUrl
clothing,hudūm [pl.],هُدوم,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-1.mp3
clothing,malābis [pl.],ملابِس,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-2.mp3
men’s clothing,hudūm rigāli,هُدوم رِجالي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-3.mp3
women’s clothing,hudūm ɧarīmi,هُدوم حريمي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-4.mp3
underwear (UK: pants),hudūm daxlíyya,هُدوم داخلية,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-5.mp3
long johns,kalsōn,كلْسوْن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-6.mp3
"undershirt (also: T-shirt, soccer jersey; UK: vest)",fanílla,فانِلّة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-7.mp3
"undershirt (also: T-shirt, soccer jersey; UK: vest)",falínna,فالِنّة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-8.mp3
panties,kulútt,كُلوتّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-9.mp3
"pantyhose, tights",kulōn,كولوْن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-10.mp3
bra,sutyān,سوتْيان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-11.mp3
bra,sintiyān,سِنْتِيان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-12.mp3
shirt,ʔamīȿ (ʔumȿān),قميص (قُمْصان),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-13.mp3
collar,yāʔa,ياقة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-14.mp3
sleeve,kumm (kimām),كُمّ (كِمام),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-15.mp3
a long-sleeved shirt,ʔamīȿ bi-kúmmə ʈawīl,قميص بِكُمّ طَويل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-16.mp3
short-sleeved,bi-núȿȿə kumm,بِنُصّ كُمّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-17.mp3
short-sleeved,bi-kúmmə ʔuȿáyyar,بِكُمّ قُصيّر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-18.mp3
t-shirt,tī širt,تي شيرْت,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-19.mp3
polo shirt,tī širtə pōlu,تي شيرْت بوْلو,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-20.mp3
blouse,bilūza,بِلوزة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-21.mp3
(pair of) pants (UK: trousers),banʈalōn,بنْطلوْن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-22.mp3
pant leg,rigl ilbanʈalōn,رِجْل البنْطلوْن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-23.mp3
jeans,"žins, žīnz",چينْز,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-24.mp3
shorts,šōrt,شوْرْت,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-25.mp3
belt,ɧizām (ɧizíma),حِزام (حِزِمة),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-26.mp3
(belt) buckle,tōkit ɧizām,توْكِةْ حِزام,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-27.mp3
suit,bádla (bídal),بدْلة (بِدل),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-28.mp3
suit jacket,žākit bádla,چاكيت بدْلة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-29.mp3
uniform,yunifōrm,يونيفوْرْم,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-30.mp3
uniform,ziyy (azyāʔ),زِيّ (أزْياء),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-31.mp3
galabeya (traditional Egyptian garment),gallabíyya (galalīb),جلّابية (جلاليب),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-32.mp3
necktie,garafátta,كرافتّة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-33.mp3
to tie one’s necktie,rábaʈ [1s3] garafattítu,ربط كرافتِّتُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-34.mp3
watch,sā3a,ساعة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-35.mp3
wallet,maɧfáʐa (maɧāfiz),محْفظة (محافِظ),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-36.mp3
"bag, briefcase",šánʈa (šúnaʈ),شنْطة (شُنط),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-37.mp3
courier bag,šánʈa rigāli,شنْطة رِجالي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-38.mp3
"handbag, purse",šánʈit ʔīd,شنْطِةْ إيد,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-39.mp3
dress,fustān,فُسْتان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-40.mp3
skirt,žība,چيبة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-41.mp3
"hijab, headscarf",ɧigāb [no pl.],حِجاب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-42.mp3
niqab,niqāb [no pl.],نِقاب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-43.mp3
(women’s) scarf,išárb,إشارْب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-44.mp3
hair ribbon,širīʈit (šarāyiʈ) ša3r,شِريطِةْ (شرايِط) شعْر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-45.mp3
"barette, hair clip",tōka,توْكة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-46.mp3
hat,burnēʈa (baranīʈ),بُرْنيْطة (برنيط),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-47.mp3
(baseball) cap,kāb,كاب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-48.mp3
"skull cap, (knit) beanie",ʈaʔíyya (ʈawāʔi),طاقية (طَواقي),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-49.mp3
turban,3imāma (3amāyim),عِمامة (عمايِم),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-50.mp3
jacket,žākit (žawākit),چاكيت (چَواكِت),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-51.mp3
jacket,žakítta (žakittāt),چاكِتّة (چاكِتّات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-52.mp3
coat,bálʈu (balāʈi),بالْطو (بلاطي),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-53.mp3
sweater,bulōvar,بُلوْڤر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-54.mp3
zip-up sweater,swītar,سْويتر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-55.mp3
sweatshirt,swīt širt,سْويت شيرْت,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-56.mp3
scarf,skarf,سْكارْف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-57.mp3
glove,fárdit guwánti,فرْدِةْ جُوانْتي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-58.mp3
a pair of gloves,guwánti,جُوانْتي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-59.mp3
bathrobe (UK: dressing gown),búrnuȿ (barāniȿ),بُرْنُص (برانِص),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-60.mp3
bathrobe (UK: dressing gown),rōb (arwāb) ɧammām,روْب (أرْواب) حمّام,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-61.mp3
pajamas (UK: pyjamas),"bižāma (bažāyim, bižamāt)",بيچامة (بچايِم، بيچامات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-62.mp3
"nightgown, teddy",ʔamīȿ nōm,قميص نوْم,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-63.mp3
"swimsuit, bathing suit",mayōh,مايوْهْ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-64.mp3
bikini,bikīni,بيكيني,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-65.mp3
pocket,gēb (giyūb),جيْب (جِيوب),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-66.mp3
to put __ in one’s pocket,ɧaʈʈ [1g2] __ fi gēbu,حطّ __ في جيْبُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-67.mp3
to take __ out of one’s pocket,šāl [1h2] __ min gēbu,شال __ مِن جيْبُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-68.mp3
button,zurār (zarāyir),زُرار (زرايِر),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-69.mp3
to button up,zárrar [2s2],زرّر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-70.mp3
to unbutton,fátaɧ [1s1] izzarāyir,فتح الزّرايِر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-71.mp3
to unbutton,fakk izzarāyir,فكّ الزّرايِر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-72.mp3
zipper,sústa (súsat),سوسْتة (سوست),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-73.mp3
to zip up,ʔáfal [1s2] issústa,قفل السّوسْتة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-74.mp3
to unzip,fátaɧ [1s1] issústa,فتح السّوسْتة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-75.mp3
to unzip,fakk [1g2] issústa,فكّ السّوسْتة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-76.mp3
(pair of) shoes,gázma (gízam),جزْمة (جِزم),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-77.mp3
shoe,fárdit gázma,فرْدِةْ جزْمة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-78.mp3
(pair of) boots,būt,بوت,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-79.mp3
(pair of) sandals,"ȿándal, sándal (ȿanādil)",صنْدل (صنادِل),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-80.mp3
(pair of) high heels,gázma ka3b 3āli,جزْمة كعْب عالي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-81.mp3
(pair of) slippers,šíbšib (šabāšib),شِبْشِب (شباشِب),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-82.mp3
shoelaces,rubāʈ gázma,رُباط جزْمة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav06-83.mp3
