english,transliteration,arabic,audioUrl
(extended) family,3ēla,عايْلة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-1.mp3
(immediate) family,úsra (úsar),أُسْرة (أُسر),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-2.mp3
relative,ʔarīb (ʔarāyib),قُريِّب (قرايِب),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-3.mp3
I have some relatives that live in New York.,ʔána 3ándi ʔarāyib 3ayšīn fi nyuyōrk.,أنا عنْدي قرايِب عايْشين في نْيويوْرْك.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-4.mp3
to be related to,yíʔrab [1s4] li-,يِقْرب لِـ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-5.mp3
Are you two related?,húwwa -ntu -lʔitnēn tiʔrábu l-ba3ɖ?,هُوَّ إنْتو الاِتْنيْن تِقْربوا لْبعْض؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-6.mp3
I’m not related to him.,ʔána maʔrablūš.,أنا مقْربْلوش.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-7.mp3
father,ʔabb (abbahāt),أبّ (أبّهات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-8.mp3
father,wālid,والِد,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-9.mp3
mother,umm [f.] (ummahāt),أُمّ (أُمّهات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-10.mp3
mother,wālída,والِدة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-11.mp3
my mother and father,úmmi w ʔabūya,أُمّي و أبويا,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-12.mp3
dad,bāba [m.],بابا,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-13.mp3
mom (UK: mum),māma [f.],ماما,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-14.mp3
my mom and dad,mámti wi babāya,مامْتي و بابايا,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-15.mp3
"Hi, Dad!",ʔizzáyyak ya bāba!,إزّيّك يا بابا!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-16.mp3
"Hi, Dad!",ʔizzáyyak ya ʔábi!,إزّيّك يا أبي!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-17.mp3
"Where are you, Mom?",fēnik ya māma?,فيْنِك يا ماما؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-18.mp3
"Where are you, Mom?",fēnik ya ʔúmmi?,فيْنِك يا أُمّي؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-19.mp3
parents,ʔahl,أهْل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-20.mp3
"son, (male) child","ʔibn (wilād, ʔawlād)",إبْن (وِلاد، أَوْلاد),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-21.mp3
"daughter, (female) child",bint [f.] (banāt),بِنْت (بنات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-22.mp3
Do you have any children?,3ándak ʔawlād?,عنْدك أَوْلاد؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-23.mp3
How many children do you have?,3ándak kam wálad?,عنْدك كام وَلد؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-24.mp3
to have (a child),xállif [1s1],خلِّف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-25.mp3
They had triplets.,xallífu tálat tawāʔim.,خلِّفوا تلات تَوائِم.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-26.mp3
siblings,ʔixwāt [pl.],إخْوات,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-27.mp3
brother,ʔaxx (ixwāt wilād),أخّ (إخْوات وِلاد),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-28.mp3
My brother and my friend’s brother came with me.,ʔaxūya w ʔaxū ȿáɧbi gum ma3āya.,أخويا و أخو صاحْبي جُم معايا.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-29.mp3
sister,uxt [f.] (ixwāt banāt),أُخْت (إخْوات بنات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-30.mp3
older brother,ʔaxxə kbīr,أخّ كْبير,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-31.mp3
younger sister,uxtə ȿɣayyára,أُخْت صْغيّرة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-32.mp3
Do you have any brothers or sisters?,3ándak ʔixwāt?,عنْدك إخْوات؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-33.mp3
I have two older sisters and one younger brother.,3ándi ʔuxtēn ʔákbar mínni wi ʔaxxə ʔáȿɣar mínni.,عنْدي أُخْتيْن أكْبر مِنّي و أخّ أصْغر مِنّي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-34.mp3
I’m the youngest in my family.,ʔána ʔáȿɣar fardə fi-lʔúsra.,أنا أصْغر فرْد في الأُسْرة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-35.mp3
I’m the middle child/son.,ʔána -lʔaxx ilʔáwsaʈ.,أنا الأخّ الأَوْسط.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-36.mp3
I’m an only child.,ma-3andīš ʔixwāt.,معنْديش إخْوات.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-37.mp3
twin,táwʔam (tawāʔim),تَوْأم (تَوائِم),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-38.mp3
Are you two twins?,húwwa -ntu -lʔitnēn táwʔam?,هُوَّ إنْتو الاِتْنيْن تَوْأم؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-39.mp3
I have a twin brother.,3ándi ʔaxxə táwʔam.,عنْدي أخّ تَوْأم.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-40.mp3
half-brother (of same father),ʔaxxə min ʔabb,أخّ مِن أبّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-41.mp3
half-brother (of same mother),ʔaxxə min ʔumm,أخّ مِن أُمّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-42.mp3
half-sister (of same father),uxtə min ʔabb,أُخْت مِن أبّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-43.mp3
half-sister (of same mother),uxtə min ʔumm,أُخْت مِن أُمّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-44.mp3
He’s my half-brother.,húwwa (a)xūya min ʔabūya.,هُوَّ أخويا مِن أبويا.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-45.mp3
husband,gōz (agwāz),جوْز (أجْواز),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-46.mp3
husband,zōg (azwāg),زوْج (أزْواج),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-47.mp3
wife,záwga (zawgāt),زَوْجة (زَوْجات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-48.mp3
__’s wife,mirāt- __ [f.],مِرات __,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-49.mp3
__’s wife,issíttə btā3it __ [f.],السِّتّ بِتاعِةْ __,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-50.mp3
His wife came with him.,mirātu gat ma3ā.,مِراتُه جت معاه.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-51.mp3
His wife came with him.,issíttə btá3tu gat ma3ā.,السِّتّ بِتاعْتُه جت معاه.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-52.mp3
stepfather,gōz ʔumm,جوْز أُمّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-53.mp3
stepmother,mirāt ʔabb,مِرات أبّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-54.mp3
stepbrother (mother's husband's son),ʔibnə gōz ʔumm,إبْن جوْز أُمّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-55.mp3
stepbrother (father's wife's son),ʔibnə mrāt ʔabb,إبْن مْرات أبّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-56.mp3
stepsister (mother's husband's daughter),bintə gōz ʔumm,بِنْت جوْز أُمّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-57.mp3
stepsister (father's wife's daughter),bintə mrāt ʔabb,بِنْت مْرات أبّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-58.mp3
stepson (husband's son),ʔibnə gōz,إبْن جوْز,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-59.mp3
stepson (wife's son),ʔibnə mrāt-,إبْن مْرات,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-60.mp3
stepdaughter (husband's daughter),bintə gōz,بِنْت جوْز,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-61.mp3
stepdaughter (wife's daughter),bintə mrāt-,بِنْت مْرات,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-62.mp3
grandfather,gidd (gudūd),جِدّ (جُدود),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-63.mp3
grandmother,gídda,جِدّة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-64.mp3
my grandparents,gíddi wi giddíti,جِدّي و جِدِّتي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-65.mp3
grandpa,gíddu,جِدّو,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-66.mp3
grandma,tēta,تيْتة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-67.mp3
great-grandfather,ʔabū gidd,أبو جِدّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav02-68.mp3
