english,transliteration,arabic
English,Transliteration,Standard Arabic
government,Hukuuma,حكومة
governments,Hukuumaat,حكومات
political,siyaasi,سياسي
party,Hizb,حزب
parties,aHzaab,أحزاب
movement,Haraka,حركة
movements,Harakaat,حركات
faction,faSiila,فصيلة
factions,faSaa'il,فصائل
bloc,kutla,كتلة
blocs,kutal,كتل
liberal,liibiraali,ليبرالي
conservative,muHaafiZ,محافظ
neo-conservative,muHaafiZ jadiid,محافظ جديد
country,dawla,دولة
countries,duwal,دول
nation,waTan,وطن
nations,awTaan,أوطان
citizen,muwaaTin,مواطن
citizens,muwaaTinuun,مواطنون
immigrant,muhaajir,مهاجر
immigrants,muhaajiruun,مهاجرون
population,3adad sukkaan,عدد سكان
democracy,diimoqraaTiyya,ديموقراطية
republic,jumhuuriyya,جمهورية
kingdom,mamlaka,مملكة
kingdoms,mamaalik,ممالك
empire,imbraaTuuriyya,امبراطورية
empires,imbraaTuuriyyaat,امبراطوريات
mandate,intidaab,انتداب
colony,musta3mara,مستعمرة
colonies,musta3maraat,مستعمرات
dictatorship,diiktaatoriyya,ديكتاتورية
totalitarianism,šumuuliyya,شمولية
fascism,faašiyya,فاشية
communism,šuyuu3iyya,شيوعية
socialism,ištiraakiyya,اشتراكية
capitalism,ra'smaaliyya,رأسمالية
anarchism,fawDawiyya,فوضوية
patriotism,waTaniyya,وطنية
nationalism,qawmiyya,قومية
federal government,Hukuuma ittiHaadiyya,حكومة اتحادية
coalition government,Hukuuma i'tilaafiyya,حكومة ائتلافية
authority,sulTa,سلطة
authorities,sulaTaat,سلطات
legislative,tašrii3i,تشريعي
executive,tanfiidi,تنفيذي
judicial,qaDaa'i,قضائي
constitution,dustuur,دستور
constitutions,dasaatiir,دساتير
amendment,ta3diil,تعديل
amendments,ta3diilaat,تعديلات
veto,naqD,نقض
position,manSib,منصب
positions,manaaSib,مناصب
president; chairman,ra'iis,رئيس
president; chairmen,ru'asaa',رؤساء
governor; ruler,Haakim,حاكم
governor; rulers,Hukkaam,حكام
mayor,3umda,عمدة
mayors,3umad,عمد
monarch,3aahil,عاهل
monarches,3awaahil,عواهل
king,malik,ملك
kings,muluuk,ملوك
prince,amiir,أمير
princes,umaraa',أمراء
His Majesty,jalaalatuhu,جلالته
tyrant,mustabidd,مستبدّ
despot,Taaġiyya,طاغية
ambassador,safiir,سفير
ambassadors,sufaraa',سفراء
minister,waziir,وزير
ministers,wuzaraa',وزراء
deputy,naa'ib,نائب
deputies,nuwwaab,نواب
member,3uDw,عضو
members,a3Daa',أعضاء
official,mas'uul,مسؤول
officials,mas'uuluun,مسؤولون
representative,mumattil,ممثل
representatives,mumattiluun,ممثلون
spokesman,mutaHaddit bism,متحدث باسم
delegate,mab3uut,مبعوث
delegates,mab3uutuun,مبعوثون
deputy,wakiil,وكيل
deputies,wukalaa',وكلاء
councillor,mustašaar,مستشار
councillors,mustašaaruun,مستشارون
leader,za3iim,زعيم
leaders,zu3amaa',زعماء
embassy,safaara,سفارة
embassies,safaaraat,سفارات
committee,lajna,لجنة
committees,lijaan,لجان
delegation,wafd,وفد
delegations,wufuud,وفود
council,majlis,مجلس
councils,majaalis,مجالس
parliament,barlamaan,برلمان
agency,wakaala,وكالة
agencies,wakaalaat,وكالات
institution,mu'assasa,مؤسسة
institutions,mu'assasaat,مؤسسات
organization,munaZZama,منظمة
organizations,munaZZamaat,منظمات
group,jamaa3a,جماعة
groups,jamaa3aat,جماعات
resolution ,qaraar,قرار
