english,transliteration,arabic,audioUrl
health,ȿíɧɧa,صِحّة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-1.mp3
"healthy, in good health",bi-ȿíɧɧa kwayyísa,بِصِحّة كْوَيِّسة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-2.mp3
"healthy, in good health",salīm (sulām),سليم (سُلام),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-3.mp3
"healthy, in good health",bi-3áfya,بِعافْيَة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-4.mp3
"sickness, illness, disease",máraɖ (amrāɖ),مرض (أمْراض),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-5.mp3
"sick, ill",3ayyān,عيّان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-6.mp3
"sick, ill",marīɖ (márɖa),مريض (مرْضى),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-7.mp3
"sick, ill",ta3bān,تعْبان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-8.mp3
to be in poor health,ȿiɧɧítu ta3bāna,صِحِّتُه تعْبانة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-9.mp3
to be handicapped,mu3āq,مُعاق,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-10.mp3
wheelchair,kúrsi mutaɧárrik,كُرْسي مُتحرِّك,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-11.mp3
doctor,duktūr (dakátra),دُكْتور (دكاتْرة),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-12.mp3
doctor,ʈabīb (aʈíbba),طبيب (أطِبّة),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-13.mp3
I don’t feel well. I think I need to go see a doctor.,ʔána ta3bān. ʔa3táqid lāzim ʔarūɧ li-duktūr.,أنا تعْبان.  أعْتقِد لازِم أروح لِدُكْتور.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-14.mp3
specialist,ʔaxiȿȿāʔi,أخِصّائي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-15.mp3
cardiologist,ʔaxiȿȿāʔi li-lʔálb,أخِصّائي لِلقلْب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-16.mp3
"eye doctor, ophthalmologist",duktūr 3iyūn,دُكْتور عِيون,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-17.mp3
to make an appointment with,ʔáxad [i3] mi3ād min,أخد ميعاد مِن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-18.mp3
hospital,mustášfa (mustašfayāt),مُسْتشْفى (مُسْتشْفَيات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav11-19.mp3
