english,transliteration,arabic,audioUrl
language,lúɣa,لُغة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-1.mp3
foreign language,lúɣa ʔagnabíyya,لُغة أجْنبية,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-2.mp3
(foreign) accent,lákna,لكْنة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-3.mp3
native language,lúɣa ʔumm,لُغة أُمّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-4.mp3
Chinese,ȿīni,صيني,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-5.mp3
Dutch,hulándi,هولنْدي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-6.mp3
English (language),ʔingilīzi,إنْجِليزي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-7.mp3
English (language),[English],إنْجْليش,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-8.mp3
Farsi,fársi,فارْسي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-9.mp3
French,faransāwi,فرنْساوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-10.mp3
German,ʔalmāni,ألْماني,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-11.mp3
Greek,yunāni,يوناني,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-12.mp3
Hebrew,3íbri,عِبْري,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-13.mp3
Hindi,híndi,هِنْدي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-14.mp3
Italian,ʔiʈāli,إيطالي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-15.mp3
Japanese,yabāni,ياباني,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-16.mp3
Korean,kūri,كوري,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-17.mp3
Portuguese,burtuɣāli,بُرْتُغالي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-18.mp3
Russian,rūsi,روسي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-19.mp3
Spanish,ʔasbāni,أسْباني,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-20.mp3
Turkish,túrki,تُرْكي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-21.mp3
Arabic,3árabi,عربي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-22.mp3
Classical Arabic,3árabi -lqurʔān,عربي القُرْآن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-23.mp3
Modern Standard Arabic,ilfúȿɧa,الفُصْحى,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-24.mp3
dialect,láhga,لهْجة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-25.mp3
colloquial language,3ammíyya,عامية,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-26.mp3
Egyptian Arabic,il3ammíyya (-lmaȿríyya),العامية (المصْرية),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-27.mp3
Egyptian Arabic,il3árabi -lmáȿri,العربي المصْري,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-28.mp3
Egyptian Arabic,máȿri,مصْري,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-29.mp3
Egyptian Arabic,illáhga -lmaȿríyya,اللّهْجة المصْرية,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-30.mp3
Moroccan Arabic,il3árabi -lmaɣrábi,العربي المغْربي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav38-31.mp3
