english,transliteration,arabic,audioUrl
life,"ɧáya, ɧayāʔ",حَياة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-1.mp3
to live,3āš [1h2],عاش,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-2.mp3
"I live in Egypt, the mother of the world.","ʔána 3āyiš fi maȿr, ʔumm iddúnya.",أنا عايِش في مصْر أُمّ الدُّنْيا.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-3.mp3
Long live the king!,yi3īš ilmálik!,يِعيش الملِك!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-4.mp3
alive,bi-lɧáya,بِالحَياة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-5.mp3
alive,3āyiš,عايِش,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-6.mp3
to give birth to,wílid [1s5],وِلِد,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-7.mp3
to be born,itwálad [7s1],اِتْوَلد,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-8.mp3
birth,wilāda,وِلادة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-9.mp3
newborn,mawlūd (mawalīd),مَوْلود (مَوَليد),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-10.mp3
baby,nūnu (nunuhāt),نونو (نونوهات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-11.mp3
baby,bībi (bibihāt),بيبي (بيبيهات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-12.mp3
baby,3áyyil ȿuɣáyyar (3iyāl ȿuɣār),عيِّل صُغيّر (عِيال صُغار),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-13.mp3
infant (who is still being breastfed),raɖī3 (rúɖa3),رضيع (رُضع),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-14.mp3
"to be breastfed, suckle",ríɖi3 [1s4],رِضِع,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-15.mp3
to breastfeed,ráɖɖa3 [2s2],رضّع,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-16.mp3
toddler,ʈiflə ȿɣáyyar (aʈfāl ȿuɣār),طِفْل صْغيّر (أطْفال صُغار),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-17.mp3
diaper (UK: nappy),ɧafāɖa,حفاضة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-18.mp3
child (0-17 years old),3áyyil (3iyāl),عيِّل (عِيال),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-19.mp3
child (0-17 years old),ʈifl (aʈfāl),طِفْل (أطْفال),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-20.mp3
well-behaved,mitrábbi,مِتْربّى,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-21.mp3
well-behaved,muʔáddab,مُؤدّب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-22.mp3
"naughty, mischievous",šáʔi (ašʔíya),شقي (أشْقِيا),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-23.mp3
"childish, immature",3áyyil (fi taȿarrufātu),عيِّل (في تصرُّفاتُه),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-24.mp3
mature(-acting),sābiʔ sínnu,سابِق سِنُّه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-25.mp3
boy,"wálad, wād (awlād, wilād)",وَلد، واد (أَوْلاد، وِلاد),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-26.mp3
girl,"bint [f.], bitt [f.] (banāt)",بِنْت، بِتّ (بنات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-27.mp3
"adolescent, teenager",murāhiq,مراهِق,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-28.mp3
"to grow up, get older",kíbir [1s4],كِبِر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-29.mp3
person,šaxȿ (ašxāȿ),شخْص (أشْخاص),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-30.mp3
people,nās [f. or pl.],ناس,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-31.mp3
young man,šabb (šubbān),شابّ (شُبّان),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-32.mp3
young woman,šábba,شابّة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-33.mp3
man,rāgil (rigāla),راجِل (رِجالة),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-34.mp3
woman,sitt [f.],سِتّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-35.mp3
adult,bāliɣ,بالِغ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-36.mp3
"adults, grown-ups",kubār [pl.],كُبار,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-37.mp3
"young people, youth",šabāb [coll.],شباب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-38.mp3
young,ȿuɣáyyar (ȿuɣār),صُغيّر (صُغار),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-39.mp3
"in one’s fifties, middle-aged",fi -lxamsiniyāt (min il3úmr),في الخمْسينِيات (مِن العُمْر),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-40.mp3
old,kibīr (kubār) fi -ssinn,كِبير (كُبار) في السِّنّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-41.mp3
old,3agūz (3awagīz),عجوز (عَواجيز),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-42.mp3
old man,rāgil 3agūz,راجِل عجوز,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-43.mp3
old man,rāgil kibīr,راجِل كِبير,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-44.mp3
old woman,sittə 3agūza,سِتّ عجوزة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-45.mp3
old woman,sittə kbīra,سِتّ كْبيرة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-46.mp3
"to age, grow old",3ággiz [2s1],عجِّز,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-47.mp3
Everyone gets old.,kull innās bit3ággiz.,كُلّ النّاس بِتْعجِّز.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-48.mp3
childhood,ʈufūla,طُفولة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-49.mp3
in one’s childhood,fi ʈfúltu,في طْفولْتُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-50.mp3
adolescence,murāhaqa,مُراهقة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-51.mp3
youth,šabāb,شباب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-52.mp3
in one’s youth,fi šabābu,في شبابُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-53.mp3
old age,sinnə kbīr,سِنّ كْبير,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-54.mp3
birthday,3īd milād,عيد ميلاد,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-55.mp3
Happy Birthday!,kullə sána w ʔínta ʈáyyib!,كُلّ سنة و إنْتَ طيِّب!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-56.mp3
Thank you! (response to ‘Happy Birthday!’),w ʔínta ʈáyyib!,و إنْتَ طيِّب!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-57.mp3
"Happy birthday and may you have many more!, … and many happy returns!","kullə sána w ʔínta ʈáyyib wi 3uʔbāl mīt sána, ʔin šāʔ ʔałłāh!",كُلّ سنة و إنْتَ طيِّب و عُقْبال ميةْ سنة إن شاء اللّه!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-58.mp3
When is your birthday?,ʔímta 3īd milādak?,إمْتى عيد ميلادك؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-59.mp3
My birthday is in May.,3īd milādi f māyu.,عيد ميلادي في مايو.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-60.mp3
