english,transliteration,arabic
English,Transliteration,Egyptian Arabic
human,insaan,إنسان
human being; mankind,bašar,بشر
human being,bani aadam,بني آدم
people,naas,ناس
people ,ša3b,شعب
people s,šu3uub,شعوب
person,šaxS,شخص
people,ašxaaS,أشخاص
person (e.g. in a census,nasama,نسمة
person (e.g. in a censuses,nasamaat,نسمات
individual ,fard,فرد
individual s,afraad,أفراد
life,Hayaah,حياة
lives,Hayawaat,حيوات
young ,Suġayyar,صغير
young s,Suġaar,صغار
age,3omr,عمر
How old are you?,3andak kam sana?,عندك كم سنة؟
baby,beibi,بيبي
babies,beibiihaat,بيبيهات
child,Tifl,طفل
children,aTfaal,أطفال
boy or son,walad,ولد
boy or sons,awlaad/wilaad,أولاد
boy,Sabi,صبي
boys,Subyaan,صبيان
son,ibn,ابن
sons,awlaad/wilaad,أولاد | ولاد
girl or daughter,bint,بنت
girl or daughters,banaat,بنات
daughter,kariima,كريمة
daughters,karaa'im,كرائم
girl,Sabiyya,صبية
girls,Sabaaya,صبايا
kid,3ayyil,عيّل
kids,3iyaal,عيال
teenager,muraahiq,مراهق
young boy/man,fata,فتى
young boy/men,fityaan,فتيان
young girl/woman,fataah,فتاة
young girl/women,fatayaat,فتيات
young people,šabaab,شباب
young man,šabb,شاب
young men,šubbaan,شبان
young woman,šabba,شابة
young women,šabbaat,شابات
minor,'aaSir,قاصر
adult,baaliġ,بالغ
man,raagil,راجل
men,riggaala,رجالة
woman,sitt,ست
women,sittaat,ستات
sex or  race,gins,جنس
sex or  races,agnaas,أجناس
family,3eila,عيلة
families,3eilaat,عيلات
 family,usra,أسرة
 families,usar,أسر
family ,ahl,أهل
relative,'ariib,قريب
relatives,'araayib,قرايب
father,abb,أب
fathers,abaa'/abbahaat,آباء
dad,baaba,بابا
mother,umm,أمّ
mothers,ummahaat,أمهات
mom,maama,ماما
brother,ax,أخ
brothers,ixwa,اخوة
 brother,ši'ii',شقيق
 brothers,šu'a'a,أشقاء
sister,uxt,أخت
sisters,ixwaat,اخوات
twin,taw'am,تؤام
twins,tawaa'im,توائم
orphan,yatiim,يتيم
orphans,yutama,يتامى
paternal uncle,3amm,عمّ
paternal uncles,3imaam/a3maam,عمام | أعمام
paternal aunt,3amma,عمّة
paternal aunts,3ammaat,عمّات
maternal uncle,xaal,خال
maternal uncles,axwaal/xilaan,أخوال | خلان
maternal aunt,xaala,خالة
maternal aunts,xaalaat,خالات
nephew/niece,ibn/bint ax/uxt,ابن/بنت اخ/اخت
grandfather,gidd,جدّ
grandfathers,guduud/agdaad,جدود | أجداد
grandpa,giddu,جدو
grandmother,gidda,جدة
grandmothers,giddaat,جدات
grandma,teta,تيتا
grandchild,Hafiid,حفيد
grandchildren,aHfaad,أحفاد
in-law,nisiib,نسيب
in-laws,nasaayib,نسايب
father-in-law,Hama,حماه
father-in-laws,aHmaa',احماء
mother-in-law,Hama,حماة
mother-in-laws,Hamawaat,حموات
son-in-law,gooz bint,جوز بنت
son-in-laws,aShaar,أصهار
daughter-in-law,miraat ibn,مراة ابن
daughter-in-laws,kanaa'in,كنائن
brother-in-law ,silf,سلف
brother-in-law s,salaayif,سلايف
brother-in-law ,3adiil,عديل
brother-in-law s,3adaayil,عدايل
sister-in-law,silfa,سلفة
sister-in-laws,salaayif,
single,3aazib,عازب
marriage,gawaaz,جواز
wedding,faraH,فرح
weddings,afraaH,أفراح
* used by Christians in Egypt *,ikliil,إكليل
honeymoon,šahr 3asal,شهر عسل
dowry,mahr,مهر
dowries,muhuur,مهور
engaged,maxTuub,مخطوب
engagement,xuTuuba,خطوبة
* used by Christians in Egypt *,noSS ikliil,نص إكليل
to break an engagement,fisix - yifsax  xuTuuba,فسخ - يفسخ  خطوبة
bride,3aruusa,عروسة
brides,3araayis,عرايس
bridegroom,3ariis,عريس
bridegrooms,3irsaan,عرسان
husband,gooz,جوز
husbands,agwaaz,أجواز
wife,miraah,مراة
wives,zawjaat,زوجات
pregnant,Haamil,حامل
divorce,Talaa',طلاق
society or community,mugtama3,مجتمع
society or communities,mugtama3aat,مجتمعات
culture,saqaafa,ثقافة
cultures,saqafaat,ثقافات
civilization,HaDaara,حضارة
civilizations,HaDaraat,حضارات
tradition,taqliid,تقليد
traditions,taqaliid,تقاليد
custom,3aada,عادة
customs,3adaat,عادات
dialect,lahaga,لهجة
dialects,lahagaat,لهجات
tribe,'abiila,قبيلة
tribes,'abaayil,قبايل
