english,transliteration,arabic
English,Transliteration,Standard Arabic
news,xabar,خبر
news,axbaar,أخبار
current,Haali,حالي
latest,aaxir,آخر
development,taTawwur,تطوّر
developments,taTawwuraat,تطوّرات
event,Hadat,حدث
events,aHdaat,أحداث
situation,waD3,وضع
situations,awDaa3,أوضاع
state,Haal,حال
states,aHwaal,أحوال
circumstance,Zarf,ظرف
circumstances,Zuruuf,ظروف
topic,mawDuu3,موضوع
topics,mawaaDii3,مواضيع
phenomenon,Zaahira,ظاهرة
phenomena,Zawaahir,ظواهر
field,majaal,مجال
fields,majaalaat,مجالات
identity,hawiyya,هوية
identities,hawiyyaat,هويات
measure,ijraa',اجراء
measures,ijraa'aat,اجراءات
list,qaa'ima,قائمة
lists,qawaa'im,قوائم
guest,Deif,ضيف
guests,Duyuuf,ضيوف
summit,qimma,قمة
summits,qimmaat,قمات
meeting,ijtimaa3,اجتماع
meetings,ijtimaa3aat,اجتماعات
conference,mu'tamar,مؤتمر
conferences,mu'tamaraat,مؤتمرات
symposium,nadwa,ندوة
symposia,nadawaat,ندوات
session or round,doora,دورة
session or rounds,dooraat,دورات
session,jalsa,جلسة
sessions,jalasaat,جلسات
to be held,"in3aqada, yan3aqidu ",انعقد – ينعقد 
contact,ittiSaal,اتصال
contacts,ittiSaalaat ma3a/bi,اتصالات مع | بـ
relations with,3alaqaat ma3a,علاقات مع
link,raabiT,رابط
links,rawaabiT bi,روابط بـ
number,3adad,عدد
numbers,a3daad,أعداد
common,muštarak,مشترك
mutual,mutabaadal,متبادل
means,sabiil,سبيل
means,subul,سبل
manner,Tariiqa,طريقة
manners,Taraa'iq,طرائق
beginning,bidaaya,بداية
end,nihaaya,نهاية
statement,taSriiH,تصريح
statements,taSriiHaat,تصريحات
announcement,i3laan,اعلان
announcements,i3laanaat,اعلانات
official ,rasmi,رسمي
decision; resolution,qaraar,قرار
decision; resolutions,qaraaraat,قرارات
petition,3ariiDa,عريضة
petitions,3araa'iD,عرائض
initiative,mubaadara,مبادرة
initiatives,mubaadaraat,مبادرات
suggestion,iqtiraaH,اقتراح
suggestions,iqtiraaHaat,اقتراحات
hypothetical,iftiraaDi,افتراضي
plan,xiTTa,خطة
plans,xuTaT,خطط
project,mašruu3,مشروع
projects,mašaarii3,مشاريع
speech,xiTaab,خطاب
speeches,xiTaabaat,خطابات
reply,radd,ردّ
replies,ruduud,ردود
reaction,radd fi3l,ردّ فعل
development,tanmiyya,تنمية
growth,numuww,نمو
continuing,mustamirr,مستمر
prepared,musta3idd,مستعد
agenda,barnaamaj 3amal,برنامج عمل
control,haymana,هيمنة
interest,maSlaHa,مصلحة
interests,maSaaliH,مصالح
will,iraada,ارادة
desire,raġba,رغبة
desires,raġabaat fi,رغبات في
observer,muraaqib,مراقب
observers,muraaqibuun,مراقبون
vision,ru'iya,رؤية
visions,ru'a,رؤى
comprehensive,šaamil,شامل
complete,kaamil,كامل
basis,asaas,أساس
bases,usus,أسس
accusation,ittihaam,اتّهام
accusations,ittihaamaat,اتّهامات
invalid,baaTil,باطل
demonstration,muZaahara,مظاهرة
demonstrations,muZaaharaat,مظاهرات
crowded,Haašid,حاشد
march,masiira,مسيرة
marches,masiiraat,مسيرات
parade,isti3raaD,استعراض
parades,isti3raaDaat,استعراضات
riot,šaġab,شغب
popular demand,iqbaal ša3bi,اقبال شعبي
sit-in,i3tiSaam,اعتصام
sit-ins,i3tiSaamaat,اعتصامات
strike,iDraab,اضراب
strikes,iDraabaat,اضرابات
protesting cry,hutaaf,هتاف
protesting cries,hutaafaat,هتافات
sign or leaflet,laafita,لافتة
sign or leaflets,laafitaat,لافتات
international,dawli,دولي
regional,iqliimi,إقليمي
local,maHalli,محلي
bilateral,tanaa'i,تنائي
choice,xiyaar,خيار
choices,xiyaaraat,خيارات
investigation,taHqiiq,تحقيق
investigations,taHqiiqaat,تحقيقات
position,mawqif,موقف
