english,transliteration,arabic
English,Transliteration,Standard Arabic
containment,iHtiwaa',احتواء
restiveness,iDTiraab,اضطراب
restivenesses,iDTiraabaat,اضطرابات
deficiency; defective,xalal,خلل
panic,hala3 min,هلع من
controversy,jadal,جدل
debate,sijaal,سجال
outcry,Dajja,ضجّة
chaotic,hamaji,همجي
opponent,xaSm,خصم
opponents,xuSuum,خصوم
legacy,tarika,تركة
legacies,tarikaat,تركات
legitimacy,šar3iyya,شرعية
credibility,miSdaaqiyya,مصداقية
reputation,sum3a,سمعة
morale,ma3nawiyyaat,معنويات
awareness,wa3y,وعي
indifference,la mubaalaah,لا مبالاة
distortion,tašwiih,تشويه
positive point,iijaabiyya,إيجابية
positive points,iijaabiyyaat,إيجابيات
negative point,silbiyya,سلبية
negative points,silbiyyaat,سلبيات
benefit,maziyya,مزية
benefits,mazaaya,مزايا
benefit,faa'ida,فائدة
benefits,fawaa'id,فوائد
gain,3aa'ida,عائدة
gains,3awaa'id,عوائد
use,naf3,نفع
value,qiima,قيمة
quantity,kammiyya,كمية
quantities,kammiyyaat,كميات
terminology,muSTalaH,مصطلح
terminologies,muSTalaHaat,مصطلحات
conventional,muSTalaH,مصطلح
normal,3aadi,عادي
stalemate,jumuud siyaasi,جمود سياسي
eligibility,liyaaqa,لياقة
remainder,baqiyya,بقية
remainders,baqaaya,بقايا
fossil,uHfuur,أحفور
fossils,aHaafiir,أحافير
on the threshold of,3ala a3taab,على أعتاب
on the verge of,3ala šafa,على شفا
rift,Sad3,صدع
rifts,Suduu3,صدوع
trap,faxx,فخ
traps,fuxuux,فخوخ
a tight spot,mawqif Harij,موقف حرج
predicament,ma'ziq,مأزق
predicaments,ma'aaziq,مآزق
claim,iddi3aa',ادعاء
claims,iddi3aa'aat,ادعاءات
deal,Safqa,صفقة
deals,Safaqaat,صفقات
cover-up,taġTiyya 3ala,تغطية على
conspiracy,mu'aamara,مؤامرة
conspiracies,mu'aamaraat,مؤامرات
theory,naZariyya,نظرية
theories,naZariyyaat,نظريات
idea,fikra,فكرة
ideas,afkaar,أفكار
concept,mafhuum,مفهوم
concepts,mafaahiim,مفاهيم
generalization,ta3miim,تعميم
stereotype,Suura namaTiyya,صورة نمطية
mediation,wisaaTa,وساطة
imagination,xayaal,خيال
delusion,wahm,وهم
delusions,awhaam,أوهام
reality,waaqi3,واقع
facts,Haqaa'iq  Haqiiqa,حقائق    حقيقة
vital,Hayawi,حيوي
fateful,maSiiri,مصيري
decisive,Haasim,حاسم
substantial,jawhari,جوهري
fundamental,asaasi,أساسي
necessary,Daruuri,ضروري
priority,awlawiyya,أولوية
priorities,awlawiyyaat,أولويات
breakthrough,ixtiraaq,اختراق
axis or central point,miHwar,محور
axis or central points,maHaawir,محاور
proximity,muHaadaah,محاذاة
neighboring,mujaawir,مجاور
details,tafaaSiil,تفاصيل
more of,muziid min,مزيد من
loyalty,walaa',ولاء
banquet,waliima,وليمة
banquets,walaa'im,ولائم
rostrum,minbar,منبر
rostrums,manaabir,منابر
developing countries,duwal naamiyya,دول نامية
collective punishment,3iqaab jamaa3i,عقاب جماعي
lame duck ,baTTa 3arjaa',بطة عرجاء
prevailing,saa'id,سائد
of historical dimensions,duu ab3aad taariixiyya,ذو أبعاد تاريخية
invalid,baaTil,باطل
egregious,Saarix,صارخ
fierce,Daarin,ضارٍ
harsh,qaasin,قاسٍ
fake,mulaffaq,ملفق
contradicting,mutaDaarib,متضارب
disparate,mutabaayin,متباين
great,jasiim,جسيم
large,kabiir,كبير
huge,Daxm,ضخم
giant,3imlaaq,علاق
giants,3amaaliqa,عمالقة
prominent,baariz,بارز
young,naaši',ناشئ
growing,mutanaamin,متنامٍ
mature,naaDij,ناضج
existing,qaa'im,قائم
glorious,majiid,مجيد
clear,waaDiH,واضح
obvious,malHuuZ,ملحوظ
small,Da'iil,ضئيل
knowledgeable,muTla3 3ala,مطلع على
horrific,baši3,بشع
complicated,mu3aqqad,معقد
accurate ,daqiiq ,دقيق 
extinct,munqariD,منقرض
following ,taali,تالي
conditional,manuuT bi,منوط بـ
solidarity with,taDaamun ma3a,تضامن مع
coordination,tansiiq,تنسيق
activity,našaaT,نشاط
activities,našaaTaat/anšiTa,نشاطات | أنشظة
vice,radiila,رذيلة
vices,radaa'il,رذائل
conclusion,istintaaj,استنتاج
involvement,inxiraaT fi,انخراط في
deviation ,inHiraaf,انحراف
counter-,muDaadd,مضادّ
frustration,iHbaaT,احباط
worry,qalaq,قلق
failure,ixfaaq,اخفاق
failures,ixfaaqaat,اخفاقات
incentive ,Haafiz,حافز
incentive s,Hawaafiz 3ala,حوافز على
rank,jaah,جاه
tone,watiira,وتيرة
tones,wataa'ir,وتائر
verbal,lafZi,لفظي
oral,šafawi,شهوي
captivity,asr,أسر
to harp on,Daraba 3ala naġmat ___,ضرب على نغمة __
form or application,istimaara,استمارة
form or applications,istimaaraat,استمارات
