english,transliteration,arabic
English,Transliteration,Egyptian Arabic
art,fann,فن
arts,funuun,فنون
artist ,fannaan,فنان
drawing,rasm,رسم
drawings,rusuum,رسوم
painter,rassaam,رسام
paint,dihaan,دهان
paints,dihaanat,دهانات
charcoal,faHm,فحم
pottery,fuxxaar,فخار
ceramics,xazaf,خزف
clay,SalSaal,صلصال
statue,timsaal,تمثال
statues,tamasiil,تماثيل
mosaics,fuseifisaa',فسيفساء
weaving,nasiig,نسيج
bellydance,ra'S šar'i,رقص شرقي
music,musiiqa,موسيقى
singer,muġanni,مغني
band,fir'a,فرقة
bands,fira',فرق
choir,goo'a,جوقة
choirs,goo'aat,جوقات
lead singer,muġanni ra'iisi,مغنٍ رئيسي
composer,mulaHHin,ملحن
song,oġniyya,أغنية
songs,aġaani,أغاني
verse,kobleih,كوبليه
verses,kobleihaat,كوبليهات
album,albuum,ألبوم
albums,albuumaat,ألبومات
tape,širiiT,شريط
tapes,šaraayiT,شرايط
record,isTiwaana,اسطوانة
records,isTiwaanaat,اسطوانات
lyrics,kelimaat oġniyya/aġaani,كلمات أغنية | أغاني
melody,laHn,لحن
melodies,alHaan,ألحان
tune,naġm,نغم
tunes,anġaam,أنغام
music video,viidiyo kliip,فيديو كليب
music videos,viidiyo kliipaat,فيديو كليبات
screenshot,laqTa,لقطة
screenshots,laqaTaat,لقطات
tour,goola ġanaa'iyya,جولة غنائية
promotion,tarwiig,ترويج
concert,Hafla musiqiyya,حفلة موسيقية
fans,gumhuur,جمهور
musical instrument,aala,آلة
musical instruments,aalaat musiqiyya,آلات موسيقية
violin,kamanga,كمنجة
violins,kamangaat,كمنجات
drum,Tabla,طبلة
drums,Tubal,طبل
oud ,3uud,عود
oud s,a3waad,أعواد
bamboo flute,naay,ناي
bamboo flutes,naayaat,نايات
voice ,Soot,صوت
voice s,aSwaat,أصوات
movie,film,فيلم
movies,aflaam,أفلام
actor,mumassil,ممثل
star,nagm,نجم
stars,nuguum,نجوم
famous ,mašhuur,مشهور
famous s,mašahiir ,مشاهير 
supporting actor,mumassil musaa3id,ممثل مساعد
child star,nagm Tifl,نجم طفل
director,muxrig,مخرج
producer,muntig,منتج
script,sinaryo,سيناريو
scripts,sinaryohaat,سيناريوهات
original screenplay,sinaryo aSli,سيناريو أصلي
adapted screenplay,sinaryo muqtabas,سيناريو مقتبس
special effects,mu'assiraat,مؤثرات 
sound effects,mu'assiraat Sootiyya,مؤثرات صوتية
visual effects,mu'assiraat baSariyya,مؤثرات بصرية
makeup,makyaaž,مكياج
cinematography,taSwiir,تصوير
editing,taHriir,تحرير
critic,naaqid,ناقد
critics,nuqqaad,نقّاد
review,muraaga3a,مراجعة
reviews,muraaga3aat,مراجعات
positive,iigaabi,ايجابي
negative,silbi,سلبي
rating (G,taSniif,تصنيف
assessment; rating ,taqyiim,تقييم
Oscar award,gayzit oscar,جايزة
Oscar awards,gawaayiz oscar,جوايز أوسكار
starring...,biTuula,بطولة
role,door,دور
roles,adwaar,أدوار
performance,adaa',أداء
performances,adaa'aat,أداءات
portrayal,tagsiid,تجسيد
showing,3arD,عرض
showings,3uruuD,عروض
character,šaxSiyya,شخصية
characters,šaxSiyyaat,شخصيات
hero,baTal,بطل
heroes,abTaal,أبطال
scene,mašhad,مشهد
scenes,mašaahid,مشاهد
revenue,iiraad,ايراد
revenues,iiraadaat,ايرادات
record,raqam qiyaasi,رقم قياسي
festival,mahragaan,مهرجان
festivals,mahragaanaat,مهرجانات
failure,ixfaaq,اخفاق
success,nagaaH,نجاح
popular,ša3bi,شعبي
movie theater,siinema,سينما
poster,mulSaq,ملصق
posters,mulSaqaat,ملصقات
ticket,tazkara,تذكرة
tickets,tazaakir,تذاكر
screen,šaaša,شاشة
screens,šaašaat,شاشات
drama,draama,دراما
comedy,komedy,كوديدي
action,akšun,أكشن
adventure,muġaamara,مغامرة
crime,igraam,اجرام
family,3aa'ili,عائلي
fantasy,xayaali,خيالي
science fiction,xayaali 3ilmi,خيالي علمي
horror,ra3b,رعب
mystery,luġz,لغز
thriller,tašwiiq/mušawwiq,مشوق | تشويق
romance,romaansi,رومانسي
musical,muusiiqi,موسيقي
war,Harbi,حربي
historical,tariixi,تاريخي
documentary,wasaa'iqi,وثائقي
cartoon,kartuun,كرتون
dubbed,mudablag,مدبلج
subtitled,mutargam,مترجم
entertainment,tasliyya,تسلية
relaxation,tarfiih,ترفيه
epic,malHami,ملحمي
cinematic masterpiece,tuHfa,تحفة
cinematic masterpieces,tuHaf sinimaa'iyya,تحف سينمائية
devastating,mudammir,مدمر
exciting ,musiir ,مثير 
full of,malyaan bi,مليان بـ
fun,maraH,مرح
enjoyable,mumti3,ممتع
entertaining,musalli,مسلي
excellent,raa'i3,رائع
distinguished,mumayyaz,مميز
special,mutamayyiz,متميز
great,mumtaaz,ممتاز
unique,fariid,فريد
rare,naadir,نادر
marvellous,xaariq,خارق
astonishing,muzhil,مذهل
attractive,gazzaab,جذاب
funny,muDHik,مضحك
boring,mumill,مملّ
ordinary,3aadi,عادي
exaggerated,mubaaliġ,مبالغ
silly,saxiif,سخيف
realistic,waaqi3i,واقعي
mysterious,ġaamiD,غامض
terrifying,mufzi3,مفزع
disgusting,mo'rif,مقرف
literature,adab,أدب
literature,aadaab,آداب
novel,riwaaya,رواية
novels,riwaayaat,روايات
short story,qiSSa qaSiira,قصة
short stories,qiSaS qaSiira,قصص قصيرة
book,kitaab,كتاب
books,kutub,كتب
series,silsila,سلسلة
series,salaasil,سلاسل
writer,kaatib,كاتب
writers,kuttaab,كتاب
author,mu'allif,مؤلف
author,adiib,أديب
authors,udabaa',أدباء
introduction,muqaddima,مقدمة
introductions,muqaddimaat,مقدمات
preface,tamhiid,تمهيد
dedication to,ihdaa' li/ila,اهداء لـ | إلى
chapter,faSl,فصل
chapters,fuSuul,فصول
index,fihris,فهرس
indices,fahaaris,فهارس
page,SafHa,صفحة
pages,SafaHaat,صفحات
word,kelma,كلمة
words,kelimaat,كلمات
sentence,gomla,جملة
sentences,gumal,جمل
line,saTr,سطر
lines,suTuur,سطور
paragraph,fiqra,فقرة
paragraphs,fiqaraat,فقرات
passage,naSS,نص
passages,nuSuuS,نصوص
poetry,ši3r,شعر
poem,'aSiida,قصيدة
