english,transliteration,arabic
English,Transliteration,Egyptian Arabic
doctor,doktoor,دكتور
doctors,dakatra,دكترة
surgeon,garraaH,جرّاح
surgeons,garraaHiin,جرّاحون
nurse,mumarriD,ممرّض
nurses,mumarriDiin,ممرّضون
patient,mariiD,مريض
patients,marDa,مرضى
hospital,mustašfa,مستشفى
hospitals,mustašfayaat,مستشفيات
clinic,3iyaada,عيادة
clinics,3iyaadaat,عيادات
pharmacy,Saidaliyya,صيدلية
pharmacies,Saidaliyyaat,صيدليات
ambulance,is3aaf,اسعاف
ambulances,is3aafaat,اسعافات
disease,maraD,مرض
diseases,amraaD,أمراض
chronic,muzmin,مزمن
infectious,saari,ساري
contagious,mu3d,معد
infection,3adwa,عدوى
parasite,Tufaili,طفيلي
parasites,Tufailiyaat,طفيليات
asthma,azma,ازمة
heart attack,azma qalbiyya,أزمة قلبية
coma,ġaibuuba,غيبوبة
clot,galTa,جلطة
clots,galaTaat,جلطات
stroke,galTa fil-moxx,جلطة في المخ
allergy ,Hassaasiyya min,حسّاسية من
cold,bard,برد
cirrhosis,talayyuf,تليف
autism,tawaHHud,توحد
leprosy,guzaam,جذام
tuberculosis,sull,سل
epilepsy,Sara3,صرع
symptom,3araD,عرض
symptoms,a3raaD,أعراض
headache,SuDaa3,صداع
insomnia,araq,أرق
heartburn,HumuuDa,حموضة
diarrhea,ishaal,إسهال
stomach cramping,maġaS,مغص
constipation,imsaak,امساك
indigestion,3usr haDm,عسر هضم
bruise,kadma,كدمة
bruises,kadamaat,كدمات
burn,Har',حرق
burns,Huruu',حروق
laceration,tamazzu',تمزّق
scratch,xadš,خدش
scratches,xuduuš,خدوش
cut,'aT3,قطع
cuts,'uTuu3,قطوع
wound,garH,جرح
wounds,guruuH,جروح
boil,dimmil,دمّل
boils,damaamil,دمامل
swelling; tumor,waram,ورم
swelling; tumors,awraam,أورام
inflammation; infection,tihaab,تهاب
dizziness,dawxa,دوخة
vomiting,Turaaš,طراش
nausea,gaza3,جزع
shock,Sadma,صدمة
shocks,Sadamaat,صدمات
fever,Humma,حمّى
fevers,Hummiyyaat,حمّيات
degree,daraga,درجة
degrees,daragaat,درجات
broken ,diraa3 maksuur, مكسور
stethoscope,sammaa3a,سمّاعة
stethoscopes,sammaa3aat,سمّاعات
X-ray,aši33a/aši33at iks,اشعّة 
medicine,dawa,دوا
medicines,adwiya,ادوية
pill,Habba,حبّة
pills,Habbaat/ Hubuub,حبّات | حبوب
tablet,buršaama,برشامة
tablets,buršaam,برشام
syrup,dawa šurb,دوا شرب
syrups,ašriba,اشربة
antibiotic,muDadd Hayawi,مضاد حيوي
dose ,gur3a,جرعة
dose s,gur3aat,جرعات
ointment,marham,مرهم
ointments,maraahim,مراهم
vaccine,taT3iim,تطعيم
gauze,šaaš,شاش
bandage,rubaaT,رباط
bandages,arbiTa,اربطة
band-aid,plastar,بلاستر
stitches,ġuraz  ġurza,غرز    غرزة
cast,gibiira  gabaayir,جبيرة
casts,jabaa'ir,جباير
crutch,3ukkaaz,عكاز
crutches,3ukkaazaat,عكازات
disinfectant,muTahhir,مطهّر
disinfectants,muTahhiraat,مطهّرات
anesthesia,bing,بنج
operation,3amaliyya,عملية
operations,3amaliyyaat,عمليات
surgery,giraaHa,جراحة
amputation,batr,بتر
autopsy,tašriiH,تشريح
abortion,ighaaD,اجهاض
chemotherapy,3ilaag kimyaa'i,علاج كيميائي
plastic surgery,3amaliyyit tagmiil,عملية تجميل
health,SiHHa,صحة
sick,mariid,مريض
sicks,marDa,مرضى
healthy,saliim,سليم
healthies,sulamaa',سلماء
weak,Da3iif,ضعيف
weaks,Du3afa,ضعفاء
strong,'awi,قوي
strongs,a'wiya,أقوياء
paralyzed,mašluul,مشلول
handicapped,ma3uuq,معوق
disabled,malġi,ملغي
mentally disabled,mutaxallif 3aqliyyan,متخلّف عقليا
sting,'arSa,قرصة
stings,'araSaat,قرصات
to throb ,na'aH - yin'aH ,نقح - ينقح 
to be injured,it3awwar - yit3awwar ,اتعوّر - يتعوّر 
pain,waga3,وجع
pains,awgaa3,أوجاع
 sneeze,3aTsa,عطسة
 cough,kuHHa,كحّة
stuffed-up nose,manaxiir masduuda,مناخير مسدودة
runny nose,manaxiir bitxorr/bitšorr,مناخير بتخرّ\بتشرّ
prevention of,wiqaaya min,وقاية من
medical examination,faHS,فحص
medical examinations,fuHuuS,فحوص
shot,Hu'na,حقن
shots,Hu'an,حقن
prescription,rušitta,رشتّة
prescriptions,rušittaat,رشتّات
