english,transliteration,arabic,audioUrl
"number, numeral",ráqam (arqām),رقم (أرْقام),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-1.mp3
number (quantity),3ádad (a3dād),عدد (أعْداد),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-2.mp3
to count,3add [1g3],عدّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-3.mp3
odd,fárdi,فرْدي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-4.mp3
even,záwgi,زَوْجي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-5.mp3
zero,ȿifr,صِفْر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-6.mp3
cardinal number,3ádad ʔáȿli,عدد أصْلي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-7.mp3
one,__ واحِد،__ واحْدة        __ wāɧid [m.]; __ wáɧda [f.],__ واحِد، واحْدة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-8.mp3
two,itnēn,اِتْنيْن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-9.mp3
two tables and two chairs,ʈarabiztēn wi kursiyēn,طرابيزْتيْن و كُرْسِييْن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-10.mp3
three,talāta; tálat __,تلاتة،  تلات __,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-11.mp3
four,ʔarbá3a; ʔárba3 __,أرْبعة،  أرْبع __,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-12.mp3
five,xámsa; xámas __,خمْسة،  خمس __,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-13.mp3
six,sítta; sitt __,سِتّة،  سِتّ __,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-14.mp3
seven,sáb3a; sába3 __,سبْعة،  سبع __,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-15.mp3
eight,tamánya; táman __,تمانْيَة،  تمان __,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-16.mp3
nine,tís3a; tísa3 __,تِسْعة،  تِسع __,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-17.mp3
ten,3ášara; 3ášar __,عشرة،  عشر __,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-18.mp3
eleven,ɧidāšar,حِداشر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-19.mp3
twelve,itnāšar,اِتْناشر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-20.mp3
thirteen,talattāšar,تلاتّاشر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-21.mp3
fourteen,ʔarba3tāšar,أرْبعْتاشر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-22.mp3
fifteen,xamastāšar,خمسْتاشر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-23.mp3
sixteen,sittāšar,سِتّاشر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-24.mp3
seventeen,saba3tāšar,سبعْتاشر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-25.mp3
eighteen,tamantāšar,تمانْتاشر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-26.mp3
nineteen,tisa3tāšar,تِسعْتاشر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-27.mp3
twenty,3išrīn,عِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-28.mp3
twenty-one,wāɧid wi 3išrīn,واحِد و عِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-29.mp3
twenty-two,itnēn wi 3išrīn,اِتْنيْن و عِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-30.mp3
twenty-three,talāta w 3išrīn,تلاتة و عِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-31.mp3
thirty,talatīn,تلاتين,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-32.mp3
forty,ʔarbi3īn,أرْبِعين,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-33.mp3
