english,transliteration,arabic,audioUrl
to relax,istárxa [10d2],اِسْترْخى,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-1.mp3
relaxation,istirxāʔ,اِسْتِرْخاء,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-2.mp3
to go for a walk,itmášša [5d],اِتْمشّى,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-3.mp3
Let’s go for a walk in the park.,yálla nrūɧ nitmášša fi -lginēna.,يَلّا نْروح نِتْمشّى في الجِنيْنة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-4.mp3
to fly a kite,ʈáyyar [2s2] ʈayyāra wáraʔ,طيّر طيّارة وَرق,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-5.mp3
felucca (river sailboat),falūka (falāyik),فلوكة (فلايِك),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-6.mp3
day off,yōm ʔagāza,يوْم أجازة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-7.mp3
Today’s my day off.,innahárda yōm ʔagázti.,النّهارْده يوْم أجازْتي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-8.mp3
"to rest, relax",ráyyaɧ [2s2],ريّح,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-9.mp3
"fun, enjoyable",múmti3,مُمْتِع,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-10.mp3
friend,"ȿāɧib (aȿɧāb, ȿuɧāb)",صاحِب (أصْحاب، صُحاب),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-11.mp3
to meet up with friends,ʔābil [3s] ʔaȿɧābu,قابِل أصْحابُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-12.mp3
to hang out (with friends),itfássaɧ [5s2] má3a ȿɧābu,اِتْفسّح معَ صُحابُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-13.mp3
to hang out (with friends),xárag [1s3] má3a ȿɧābu,خرج معَ صْحابُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-14.mp3
We hung out at the shopping mall yesterday evening.,itfassáɧna fi -lmōl ʔimbāriɧ bi-llēl.,اِتْفسّحْنا في الموْل إمْبارِح بِاللّيْل.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-15.mp3
to read,ʔára [1d1],قرا,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-16.mp3
newspaper,gurnān (garanīn),جُرْنان (جرانين),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav21-17.mp3
