english,transliteration,arabic
English,Transliteration,Egyptian Arabic
religion,diin,دين
religions,adyaan,أديان
sect,Tayfa,طائفة
sects,Tawaa'if,طوائف
denomination,mazhab,مذهب
denominations,mazaahib,مذاهب
Muslim,muslim,مسلم
Sunni,sunni,سنّي
Sunnis,sunna,سنّة
Shi'ite,šii3i,شيعي
Shi'ites,šii3a,شيعة
Alawite,3alawi,علوي
Christian,masiiHi,مسيحي
Copt,'ibTi,قبطي
Copts,a'baaT,أقباط
Maronite,maruuni,ماروني
Maronites,mawaarina,موارنة
Orthodox,ortodoks,أورثودوكس
Catholic,katoliik,كاثوليك
Protestant,brotestaant,بروتستانت
Jew,yihuudi,يهودي
Jews,yihuud,يهود
Druze,druuzi,دروزي
Druzes,druuz,دروز
paganism ,wasaniyya ,وثنية 
secularism,3ilmaaniyya,علمانية
monotheism,tawHiidiyya,توحيدية
infidel,kaafir,كافر
infidels,kuffaar,كفار
creed,3aqiida,عقيدة
creeds,3aqaayid diiniyya,عقائد دينية
 god,ilaah,اله
 gods,aaliha,آلهة
God*,allaah,الله
lord,rabb,رب
lords,arbaab,أرباب
messiah,masiiH,مسيح
savior,muxalliS,مخلّص
Jesus,yasuu3 ; 3iisa ,يسوع | عيسى
angel,malaak,ملاك
angels,malayka,ملائكة
cross,Siliib,صليب
crosses,Sulbaan,صلبان
crescent,halaal,هلال
star of David,nigmit dawuud,نجمة داوود
mosque,gaami3,جامع
mosques,gawaami3,جوامع
prayer niche in mosques,miHraab,محراب
prayer niche in mosques,maHaariib,محاريب
minaret,madna,مدنة
minarets,midan,مدن
call to prayer,adaan,اذان
muezzin,mu'azzin,مؤذن
minbar ,mimbar,منبر
minbar s,manaabir,منابر
Friday sermon,xuTba,خطبة
imam,imaam,امام
imams,a'ima,أئمة
church,kiniisa,كنيسة
churches,kanaayis,كنايس
shrine,mazaar,مزار
shrines,mazaaraat,مزارات
altar,mazbaH,مذبح
altars,mazaabiH,مذابح
sanctuary,heikal,هيكل
sanctuaries,hayaakil,هياكل
synagogue,kaniis,كنيس
temple,ma3bad,معبد
temples,ma3aabid,معابد
monastery,deir,دير
monasteries,adyira,أديار
monk,raahib,راهب
monks,ruhbaan,رهبان
nun,rahba,راهبة
priest,'assiis,قسيس
priests,'usus,قسس
bishop,us'uf,أسقف
bishops,asa'fa,أساقف
rabbi,Haxaam,حاخام
rabbis,Haxamaat,حاخامات
prophet,nabi,نبي
prophets,anbiya,أنبياء
chapter from the Qur'an,suura,سورة
chapter from the Qur'ans,suwar,سور
verse from the Qur'an,aaya,آية
verse from the Qur'ans,aayaat,آيات
profession of faith,šahaada,شهادة
prayer,Salaah,صلاة
fasting,Soom,صوم
alms-giving,zakaah,زكاة
pilgrimage to Mecca,Hagg,حج
minor pilgrimage,3omra,عمرة
permitted by Islam,Halaal,حلال
forbidden by Islam,Haraam,حرام
mass,'oddaas,قداس
masses,'adadiis,قداديس
 saint,'iddiis,قديس
psalm,mazmuur,مزمور
psalms,mazamiir,مزامير
hymn,tarniima,ترنيمة
hymns,taraniim,ترانيم
rosary,misbaHa,مسبحة
rosaries,masaabiH,مسابح
 sermon,wa3Za,وعظة
feast,3iid,عيد
feasts,a3yaad,أعياد
blessing,baraka,بركة
blessings,barakaat,بركات
repentance,tooba,توبة
forgiveness,ġufraan,غفران
mercy,raHma,رحمة
fate,qadr,قدر
fates,aqdaar,أقدار
morals,axlaa',أخلاق
soul,ruuH,روح
souls,arwaaH ,أرواح
holy,mu'addas,مقدس
missionary,daa3iya,داعية
prosyletization,da3wa,دعوى
sacrifice ,DaHiya,ضحية
sacrifice s,DaHaaya,ضحايا
good,xeir,خير
evil,šarr,شر
blasphemy,tagdiif,تجديف
resurrection,'iyaama,قيامة
religious,mutadayyin,متدين
sin ,zamb,ذنب
sin s,zunuub,ذنوب
sin,xaTiyya,خطيئة
sins,xaTaaya,خطايا
miracle,mo3giza,معجزة
miracles,mo3gizaat,معجزات
