english,transliteration,arabic
English,Transliteration,Egyptian Arabic
time,wa't,وقت
times,aw'aat,أوقات
"time (countable unit; as in ""three times",marra,مرة
"time (countable unit; as in ""three times",marraat,مرات
century,qarn,قرن
centuries,quruun,قرون
decade,Hiqba,حقبة
decades,Hiqabaat,حقبات
year,sana,سنة
years,siniin,سنين
week,usbuu3,أسبوع
weeks,asaabii3,أسابيع
day,yoom,يوم
days,ayyaam,أيّام
hour,saa3a,ساعة
hours,saa3aat,ساعات
minute,di'ii'a,دقيقة
minutes,da'aaya,دقائق
second,tanya,ثانية
seconds,tawaani,ثواني
moment,laHZa,لحظة
moments,laHaZaat,لحظات
dawn,fagr,فجر
morning,SabaaH/SobH,صباح | صبح
noon,Duhr,ضهر
evening,masaa'/masa,مساء
night,leila,ليلة
nights,layaali,ليالي
before,'abl,قبل
after,ba3d,بعد
then,ba3dein,بعدين
until,li-ġaayit,لغاية
now,dilwa'ti/dilwa't,دلوقت
the day before yesterday,awwil imbaariH,اول امبارح
yesterday,imbaariH,امبارح
last night,imbaariH bil-leil,امبارح بالليل
tomorrow,bukra,بكرة
every day,kulle yoom,كل يوم
every other day,yoom 'aah wa-yoom la,يوم آه ويوم لا
day after day,yoom wara yoom,يوم ورا يوم
early,badri,بدري
late,mit'axxar,متأخر
after a while,ba3de šwayya,بعد شوية
later on,ba3dein,بعدين
always,dayman,دايما
usually,3aadatan,عادةً
sometimes,aHyaanan,أحيانا
rarely,naadiran,نادرا
holiday,3iid,عيد
holidays,a3yaad,أعياد
birthday,3iid miilaad,عيد ميلاد
occasion,munaasaba,مناسبة
occasions,munaasabaat,مناسبات
anniversary ,zikra,ذكرى
anniversary s,zikriyaat,ذكريات
party,Hafla,حفلة
parties,Hafalaat,حفلات
gift,hadiyya,هدية
gifts,hidaaya,هدايا
calendar,taqwiim,تقويم
calendars,taqawiim,تقاويم
* The following names are used in most of the Mashriq,,
January,yanaayir,يناير
February,fibraayir,فبراير
March,maaris,مارس
April,abriil,أبريل
May,maayo,مايو
June,yuuniyo,يونيو
July,yuuliyo,يوليو
August,aġusTus,أغسطس
September,sibtimbir,سمتمبر
October,uktoobar,أكتوبر
November,nuvimbir,نوفمبر
December,disimbir,ديسيمبر
* The following names are used in the Levant. *,,
February,šubaaT,شباط
March,aadaar,آذار
April,niisaan,نيسان
May,ayyaar,أيار
June,Huzeiraan,حزيران
July,tammuuz,تموز
August,aab,آب
September,ayluul,أيلول
Muharram,muHarram,محرم
Safar,Safar,صفر
Rajab,ragab,رجب
Shaban,ša3baan,شعبان
Ramadan,ramaDaan,رمضان
Shawwal,šawwaal,شوال
Thout ,tuut,توت
Paopi ,baaba,بابة
Hathor ,hatuur,هاتور
Koiak ,kiyaak,كياهك
Tobi ,Tuuba,طوبة
Meshir ,amšiir,أمشير
Paremhat ,baramhaat,برمهات
Paremoude ,baramuuda,برمودة
Pashons ,bašans,بشنس
Paoni ,ba'uuna,بؤونة
Epip ,abiib,أبيب
Mesori ,misra,مسرى
Pi Kogi Enavot ,nasy,نسئ
