english,transliteration,arabic,audioUrl
"to abandon, desert",hágar [1s3],هجر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-1.mp3
to accept,wāfiʔ [3s],وافِق,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-2.mp3
to accompany,rāɧ [1h1] má3a,راح معَ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-3.mp3
to accompany,míši [1d5] má3a,مِشي معَ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-4.mp3
to adjust,ʐábbaʈ [2s2],ظبّط,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-5.mp3
to admit,i3táraf [8s1],اِعْترف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-6.mp3
"to advise, recommend",náȿaɧ [1s1],نصح,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-7.mp3
to affect,ʔássar [2s2] 3ála,أثّر على,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-8.mp3
to allow,sámaɧ [1s1],سمح,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-9.mp3
"to answer, respond, reply",raddə [1g2] 3ála,ردّ على,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-10.mp3
"to answer, respond, reply",gāwib [3s] 3ála,جاوِب على,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-11.mp3
to apologize for,i3tázar [8s1] 3an,اِعْتذر عن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-12.mp3
to appear,ʐáhar [1s1],ظهر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-13.mp3
to appreciate,qáddar [2s2],قدّر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-14.mp3
to approve of,ríɖi [1d4] bi-,رِضي بِـ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-15.mp3
"to arrange, organize",náʐʐam [2s2],نظّم,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-16.mp3
"to ascend, go up",ʈíli3 [1s4],طِلِع,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-17.mp3
to ask,sáʔal [1s1],سأل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-18.mp3
to attend,ɧáɖar [1s1],حضر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-19.mp3
to be,kān [1h1],كان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-20.mp3
"to be able to, can",ʔídir [1s4],قِدِر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-21.mp3
"to be able to, can",3írif [1s4],عِرِف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-22.mp3
Can you swim?,tí3raf ti3ūm?,تِعْرف تِعوم؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-23.mp3
I can’t understand a word you’re saying.,ma-ʔdárš ʔáfham ɧāga min kalāmak.,مقْدْرش أفْهم حاجة مِن كلامك.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-24.mp3
"to become, be",báʔa [1d1],بقى,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-25.mp3
"to beg, plead",itwássil [5s1],اِتْوَسِّل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-26.mp3
"to begin, start",bádaʔ [1s1],بدأ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-27.mp3
to behave,iɧtáram [8s1],اِحْترم,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-28.mp3
to bet,rāhin [3s],راهِن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-29.mp3
to blame __ for,lām [1h1] __ 3ála,لام __ على,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-30.mp3
to break,kásar [1s1],كسر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-31.mp3
"to bring, get",gāb [1h2],جاب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-32.mp3
to burn,ɧáraʔ [1s1],حرق,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-33.mp3
to care,ihtámm [8g],اِهْتمّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-34.mp3
"to carry, lift, pick up",šāl [1h2],شال,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav56-35.mp3
