english,transliteration,arabic
English,Transliteration,Egyptian Arabic
house,beit,بيت
houses,buyuut,بيوت
apartment,ša''a,شقة
apartments,šu'a',شقق
building,mabna,مبنى
buildings,mabaani,مباني
apartment building,3omaara,عمارة
apartment buildings,3omaaraat,عمارات
floor ,door,دور
floor s,adwaar,ادوار
courtyard,Hooš,حوش
courtyards,aHwaaš,أحواش
gate,bawwaaba,بوّابة
gates,bawwaabaat,بوّابات
door,baab,باب
doors,abwaab,أبواب
key,muftaaH,مفتاح
keys,mafatiiH,مفاتيح
wall ,gidaar,جدار
wall s,gudraan,جدران
ceiling,sa'f,سقف
ceilings,su'uuf,سقوف
floor,arDiyya,أرضية
floors,arDiyyaat,أرضيات
roof,saTH,سطح
roofs,suTuuH,سطوح
electricity,kahraba,كهرباء
pipe,masuura,ماسورة
pipes,mawasiir,مواسير
valve,maHbas,محبس
electrical outlet,fiiša,فيشة
electrical outlets,fiišaat,فيشات
electrical plug,kobs,كبس
electrical plugs,ikbaas,اكباس
cord,silk,سلك
cords,aslaak,أسلاك
elevator,aSanSeir,اصنصير
elevators,aSanSeiraat,اصنصيرات
stairs,salaalim,سلالم
balcony,balkoona,بلكونة
balconies,balkoonaat,بلكونات
neighbor,gaar,جار
neighbors,giiraan,جيران
rent or lease,igaar,ايجار
vacant,faaDi,فاضي
furnished,mafruuš,مفروش
room,ooDa,أوضة
rooms,owaD,أوض
hall,Tor'a,طرقة
halls,Tora',طرق
living room,Saloon,صلون
living rooms,Saloonaat,صلونات
furniture,asaas,أساس
upholstery,tangiid,تنجيد
chair,kursi,كرسي
chairs,karaasi,كراسي
armchair,foteyy,فتيّ
armchairs,foteyyaat,فتيّات
sofa,kanaba,كنبة
sofas,kanabaat,كنبات
table,Tarabeiza,طربيزة
tables,Tarabeizaat,طربيزات
window,šibbaak,شبّاك
windows,šababiik,شبابيك
curtain/blinds,sitaara,ستارة
curtain/blinds,sataayir,ستاير
television,televizyoon,تلفزيون
televisions,televizyoonaat,تلفزيونات
remote control,riimoot ,ريموت 
telephone,tilifoon,تلفون
telephones,tilifoonaat,تلفونات
lamp,abažoora,ابجورة
lamps,abažooraat,ابجورات
light,nuur,نور
lights,anwaar,انوار
candle,šam3a,شمعة
candles,šam3aat,شمعات
chandelier,nagafa,نجفة
chandeliers,nagafaat,نجفات
carpet,siggaada,سجّادة
carpets,sagagiid,سججيد
carpet ,moket,موكيت
tile ,balaaT,بلاط
tile ,'išaani,قيشاني
fan,marwaHa,مروحة
fans,maraawiH,مراوح
heater,daffaaya,دفّاية
heaters,daffaayaat,دفّايات
cigarette lighter,wallaa3a,ولاعة
broom,mi'ašša,مقشّة
brooms,mi'aššaat,مقشّات
mop,maknasa,مكنسة
mops,makaanis,مكانس
sponge,sifinga,سفنجة
sponges,sifingaat,سفنجات
clothes pin,mašbak,مشبك
clothes pins,mašaabik,بشابيك
clothes drying rack,manšafa,منشفة
clothes drying racks,manaašif,مناشف
scissors,ma'aSS,مقصّ
scissors,ma'aSSaat,مقصّات
bedroom,ooDit noom,أوضة نوم
bed,siriir,سرير
beds,saraayir,سراير
mattress,martaba,مرتبة
mattresses,maraatib,مراتب
bedsheet,milaaya,ملاية
bedsheets,milaayaat,ملايات
blanket,baTTaniyya,بطّانية
blankets,baTaaTiin,بطاطين
quilt,liHaaf,لحاف
quilts,liHifa,لحفة
pillow,mixadda,مخدّة
pillows,mixaddaat,مخدّات
 clock,saa3a ,ساعة 
closet,dulaab,دولاب
closets,dawaliib huduum,دواليب هدوم
closet,duulaab,دولاب
closets,dawaaliib,دواليب
clothes hanger,šammaa3a,شمّاعة
clothes hangers,šammaa3aat,شمّاعات
mirror,miraaya,مرايا
mirrors,miraayaat,مرايات
desk,maktab,مكتب
desks,makaatib,مكاتب
drawer,durg,درج
drawers,adraag,أدراج
shelf,raff,رفّ
shelves,rufuuf,رفوف
nightstand,kumudiinu,كمدينو
nightstands,kumudiinuhaat,كمدينوهات
dresser,tasriiHa,تسريحة
dressers,tasriiHaat,تسريحات
nightlight,lamba sahhaari,لمبة سهّاري
comb,mišT,مشط
combs,amšaaT,امشاط
brush,furša,فرشة
brushes,furaš,فرش
bathroom,Hammaam,حمّام
bathrooms,Hammaamaat,حمّامات
shower,duš,دش
showers,dišaash,دشاش
toilet paper,wara' tuwalitt,مرق تواليت
sink,HooD,حوض
sinks,aHwaaD,احواض
faucet,Hanafiyya,حنفية
faucets,Hanafiyyaat,حنفيات
