english,transliteration,arabic,audioUrl
transportation,muwāʂalēt [pl.],مُواصلات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-1.mp3
means of transportation,wasēʔil ilmuwāʂalēt [pl.],وسائِل المْواصلات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-2.mp3
to take the bus,ʈúli3 [55] b-ilbāʂ,طُلِع بالباص,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-3.mp3
"to get on, get in, take (a bus, taxi, etc.)","ríkib, yírkab",رِكِب، يِرْكب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-4.mp3
"to get off, get out of",nízil [55] min,نزِل مِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-5.mp3
freight; truck,šáɧin,شحِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-6.mp3
"transportation, shipping",náʔil,نقِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-7.mp3
pick-up truck,pik-ap,بيك أب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-8.mp3
ship,safīni,سفينِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-9.mp3
boat,šaxʈūra,شخْطورة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-10.mp3
bus,bāʂ,باص,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-11.mp3
I usually go to work by bus.,b-il3ādi brūɧ 3a-ššíɣil b-ilbāʂ.,بِالعادِة بْروح علشِّغِل بِالباص.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-12.mp3
to miss the bus,"fáwwat ilbāʂ, yfáwwit ilbāʂ",فوّت الباص، يْفوِّت الباص,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-13.mp3
bus stop,máwʔif bāʂ (mawēʔif bāʂāt),مَوْقِف باص (مَواقِف باصات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-15.mp3
bus driver,šōfør bāʂ,شوْفور باص,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-16.mp3
"metro, subway (UK: underground)",métrō,مِتْروْ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-17.mp3
I take the metro every day.,ána búʈla3 b-ilmétrō kill yōm.,أنا بُطْلع بِالمِتْروْ كِلّ يوْم.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-18.mp3
subway station,mɧaʈʈit ilmétrō,محطِّة مِتْروْ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-19.mp3
taxi,tēksi,تاكْسي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-20.mp3
We took a taxi downtown.,axádna tēksi 3a-lbálad.,أخدْنا تاكْسي عالبلد.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-21.mp3
taxi driver,šōfør tēksi,شوفور تاكْسي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-23.mp3
to hail a taxi,"áššar la-tāksī, yʔaššir la-tēksi",أشّر لتاكْسي، يْأشِّر لتاكْسي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-24.mp3
taxi meter,3iddād tēksi,عِدّاد تاكسي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-26.mp3
to negotiate the fare,"sēwim 3a-ssí3ir, ysēwim 3a-ssí3ir",ساوِم عالسِّعِر، يْساوِم عالسِّعِرحرّج عالسِّعِر، يْحرِّج عالسِّعِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-27.mp3
left,yasār,يَسار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-28.mp3
Turn left!,xūd yasārak!,خود يَسارك!,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-29.mp3
right,yamīn,يَمين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-30.mp3
Turn right!,xūd yamīnak!,خود يَمينك!,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-31.mp3
straight,ʔiddēmak,قِدّامك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-32.mp3
straight,b-iwíššak,بْوِشّك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-33.mp3
Go straight!,kámmil xaʈʈ mustaʔīm!,كمِّل خطّ مُسْتقيم!,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-34.mp3
bicycle,bisiklētt,بِسِكْلات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-35.mp3
to ride a bicycle,ríkib bisiklētt,رِكِب بِسِكْلات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-36.mp3
