english,transliteration,arabic,audioUrl
clothing,tyēb,تْياب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-1.mp3
men’s clothing,tyēb rijjēli,تْياب رِجّالي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-2.mp3
women’s clothing,tyēb niswēni,تْياب نِسْواني,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-3.mp3
undergarments,tyēb dēxilíyyi,تْياب داخِلية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-4.mp3
underwear; panties,kīlōt,كيلوْت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-5.mp3
"panty hose, tights",kōlōn,كوْلوْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-6.mp3
bra,sūtyēn,سوتْيان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-7.mp3
shirt; t-shirt,kánzi,كنْزِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-8.mp3
shirt; t-shirt,ʔamīʂ (ʔumʂān),قميص (قُمْصان),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-9.mp3
blouse,blūzi,بْلوزة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-10.mp3
collar,ʔábbi,قبِّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-11.mp3
sleeve,kimm,كِمّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-12.mp3
a long-sleeved shirt,kánzi b-kimm ʈawīl,كنْزِة بْكِمّ طَويل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-13.mp3
short-sleeved shirt,kánzi nuʂʂ kimm,كنْزِة نُصّ كِمّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-14.mp3
polo shirt,kánzi pōlō,كنْزِة بوْلوْ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-15.mp3
(pair of) pants,bānʈalōn,بونْطلوْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-16.mp3
pant leg,íjir bānʈalōn,إجِر بُنْطلوْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-17.mp3
jeans,jīnz,جينْز,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-18.mp3
shorts,šōrt,شوْرْت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-19.mp3
belt,ʔšāʈ,أْشاط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-20.mp3
(belt) buckle,bíklit liʔšāʈ,بِكْلِة الِأْشاط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-21.mp3
suit,bádli,بدْلِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-22.mp3
suit jacket,jākētt libádli,جاكيْتّ الِبدْلِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-23.mp3
uniform,maryūl (marāyīl),مرْيول (مْراييل),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-24.mp3
"abaya (traditional full-length outer garment, most commonly for women, but also for men)",3abēyi,عبايِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-25.mp3
neck tie,grāvāt,كْرافات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-26.mp3
to tie one’s neck tie,rábaʈ [55] grāvātu,ربط كْرافتو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-27.mp3
watch,sē3a,ساعة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-28.mp3
wallet,jizdēn (jzādīn),جِزْدان (جْزادين),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-29.mp3
"bag, briefcase",sāk,ساك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-30.mp3
"bag, briefcase",šánʈa (šínaʈ),شنْطة (شِنط),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-31.mp3
