english,transliteration,arabic,audioUrl
(extended) family,3áyli,عَيْلِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-1.mp3
immediate family,úsra,أُسْرة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-2.mp3
relative,ʔarāyib,قرايِب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-3.mp3
I have some relatives that live in New York.,3índi ʔarāybīn bi3īšu b-nyūyōrk.,عِنْدي قرايْبين بيعيشوا بْنْيويُرْك.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-4.mp3
is related to,byíʔrab (la-),بْيِقْرب (لـ),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-5.mp3
Are you two related?,íntu litnīn btíʔrabu ba3ɖ?,إنْتو الاِتْنيْن بْتِقْربوا بعْض؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-6.mp3
I’m not related to him.,ána ma bíʔrabu.,أنا ما بِقْربو.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-7.mp3
father,bayy (bayyēt),بيّ (بيّات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-8.mp3
mother,imm (immēt),إمّ (إمّات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-9.mp3
my mother and father,māma u báyyi,ماما وبيّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-10.mp3
dad,bāba,بابا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-11.mp3
mom,māma,ماما,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-12.mp3
my mom and dad,māma u bāba,ماما وبابا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-13.mp3
"Hi, Dad!",márɧaba bāba!,مرْحبا بابا!,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-14.mp3
"Where are you, Mom?",wēnik ya māma?,ويْنِك يا ماما؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-15.mp3
parents,áhil,أهِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-16.mp3
"son, (male) child",íbin (abnēʔ),اِبِن (أبْناء),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-17.mp3
"daughter, (female) child",bínit (banēt),بِنِت (بنات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-18.mp3
Do you have any children?,3índak wlēd?,عِنْدك وْلاد؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-19.mp3
How many children do you have?,kam wálad 3índak?,كم وَلد عِنْدك؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-20.mp3
They have triplets.,3índun tlēt táwʔam.,عِنْدُن تْلات تَوْأم.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-21.mp3
siblings,íxwi [pl.],إخْوِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-22.mp3
brother,xayy (ixwēt ʂubyēn),خيّ (اِخْوات صُبْيان),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-23.mp3
My brother and my friend’s brother came with me.,xayyi w rfīʔ xáyyi íju má3i.,خيّي ورْفيق خيّي إجو معي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-24.mp3
sister,"íxit (ixwēt banēt, xayyēt)",إخِت (إخْوات بنات، خَيّات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-25.mp3
older brother,ákbar xayy,أكْبر خيّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-26.mp3
younger sister,áʂɣar íxit,أصْغر إخِت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-27.mp3
Do you have any brothers or sisters?,3índak íxwi banēt?,عِندك إخْوِة بنات؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-28.mp3
I have two older sisters and one younger brother.,3índi ixtēn ákbar mínni u wáɧdi áʂɣar.,عِنْدي إخْتيْن أكْبر مِنّي وواحْدِة أصْغر.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-29.mp3
I’m the youngest in my family.,ána áʂɣar wāɧad b-il3áyli.,أنا أصْغر واحد بِالعَيْلِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-30.mp3
I’m the middle child/son.,ána wálad ilʔáwsaʈ.,أنا وَلد الأَوْسط.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-31.mp3
I’m an only child.,ána wálad waɧīd.,أنا وَلد وَحيد.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-32.mp3
twin,táwʔam,تَوْأم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-33.mp3
twin,tūm,توم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-34.mp3
Are you twins?,íntu tūm?,إنْتو توم؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-35.mp3
Are you twins?,íntu táwʔam?,إنْتو تَوْأم؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-36.mp3
I have a twin brother.,3índi xayy tūm.,عِنْدي خيّ توم.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-37.mp3
half-brother,axx min jíhit ilʔabb,أخّ مِن جِهِة الأبّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-38.mp3
half-sister,íxit min jíhit ilʔabb,إخِت مِن جِهِة الأبّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-39.mp3
He’s my half-brother.,háyda xáyyi min ilbāba.,هَيْدا خيّي مِن البابا.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-40.mp3
husband,jōz,جوْز,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-41.mp3
husband,zōj,زوْج,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-42.mp3
wife,záwji,زوْجِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-43.mp3
__’s wife,madām __,مدام__,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-44.mp3
__’s wife,mart __,مرْت__,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-45.mp3
His wife came with him.,íjit mártu má3u.,إجِت مرْتو معو.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-46.mp3
His wife came with him.,íjit madāmtu má3u.,إجِت مدامْتو معو.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-47.mp3
stepfather,jōz ilʔimm [lit. mother’s husband],جوْز الاِمّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-48.mp3
stepmother,mart ilbayy,مرْت البيّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-49.mp3
stepbrother,xayy min mart ilbāba,خيّ مِن مرْت البابا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-50.mp3
stepbrother,xayy min zōj ilmāma,خيّ مِن زوْج الماما,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-51.mp3
stepsister,íxit min mart ilbāba,اِخِت مِن مرْت البابا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-52.mp3
stepsister,íxit min zōj ilmāma,اِخِت مِن زوْج الماما,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-53.mp3
stepson,íbin zōj,اِبِن زَوْج,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-54.mp3
stepson,íbin márt__,اِبِن مرْت__,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-55.mp3
stepdaughter,bint zōj,بِنْت زوْج,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-56.mp3
