english,transliteration,arabic,audioUrl
health,ʂáɧɧa,صحّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-1.mp3
"healthy, in good health",ʂúɧɧtu mnīɧa,صُحّْتو مْنيحة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-2.mp3
"sickness, illness, disease",máraɖ (amrāɖ),مرض (أمْراض),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-3.mp3
"sick, ill; patient",marīɖ (márɖa),مريض (مرْضى),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-4.mp3
in poor health,ta3bēn,تعْبان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-5.mp3
handicapped,mu3āq,مُعاق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-6.mp3
wheelchair,kírsi mitɧárrik,كِرْسي مِتحرِّك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-7.mp3
doctor,doktōr (dakētra),دُكْتوْر (دكاتْرة),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-8.mp3
I don’t feel well. I think I need to go see a doctor.,ɧēsis ɧāli ta3bēn. bí3tiʔid lēzim šūf iddoktōr.,حاسِس حالي تعْبان. بِعْتِقِد لازِم شوف الدُّكْتوْر.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-9.mp3
specialist,axiʂāʔi,أخِصائي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-10.mp3
cardiologist,axiʂāʔi ʔálib,أخِصائي قلِب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-11.mp3
"eye doctor, ophthalmologist",doktōr 3yūn,دُكْتور عْيون,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-12.mp3
to make an appointment with,áxad [55] máw3id 3ind,أخد مَوْعِد عِنْد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-13.mp3
hospital,mistášfa,مِسْتشْفى,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-14.mp3
"doctor’s office, clinic",3yēdi,عْيادِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-15.mp3
nurse,mumárriɖ,مُمرِّض,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-16.mp3
to get a (medical) check-up,3ímil [55] fáɧiʂ ʈúbbi,عِمِل فحِص طُبّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-17.mp3
to diagnose,"šáxxaʂ, yšáxxiʂ",شخّص، يْشخِّص,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-18.mp3
diagnosis,tišxīʂ,تِشْخيص,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-19.mp3
to examine,"fáɧaʂ, yífɧaʂ",فحص، يِفْحص,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-20.mp3
examination,fáɧuʂ (fɧūʂ),فحُص (فْحوص),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-21.mp3
The doctor examined him and diagnosed him with the flu.,ddoktōr fáɧaʂu u ʔāl má3u grīb.,الدُّكْتوْر فحصو وقال معو غْريب.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-22.mp3
problem,míškli (mašēkil),مِشْكْلِة (مشاكِل),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-23.mp3
What’s wrong?,šū lmíšikli?,شو المِشِكْلِة؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-24.mp3
I’m sick.,ána marīɖ.,أنا مريض.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-25.mp3
pain,wája3 (awjē3),وَجع (أوْجاع),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-26.mp3
to have a backache,"wíji3u ɖáhru, yūja3u ɖáhru",وِجِعو ضهْرو، يوجعو ضهْرو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-27.mp3
to have a headache,wíji3u rāsu,وِجِعو راسو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-28.mp3
I have a really bad headache.,3am yūjá3ni rāsi ktīr.,عم يوجعْني راسي كْتير.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-29.mp3
My shoulder has been hurting for ages.,kítfi 3am yūjá3ni ílu zamēn.,كِتْفي عم يوجعْني إلو زمان.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-30.mp3
He has a stomachache.,báʈnu 3am yūjá3u.,بطْنو عم يوجعو.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-31.mp3
It hurts here.,3am yūja3 hūn.,عم يوجع هون.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-32.mp3
migraine,ʂudā3 nuʂfi,صُداع نُصْفي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-33.mp3
dizziness,dáwxa,دَوْخة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-34.mp3
dizzy,dēyix,دايِخ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-35.mp3
to faint,"ɣími 3alē, yúɣma 3alē",غِمي عليْه، يُغْمى عليْه,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-36.mp3
to have a cold,áxad [55] bárid,أخد برِد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-37.mp3
"to be congested, have nasal congestion",mráššaɧ,مْرشّح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-38.mp3
to have the flu,3índu grīb,عِنْدو غْريب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-39.mp3
to have a fever,sēxin,ساخِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-40.mp3
to have a sore throat,zlē3īmu miltahibīn,زْلاعيمو مِلْتهِبين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-41.mp3
to cough,"sá3al, yís3ul",سعل، يِسْعُل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-42.mp3
to have a cough,3índu sá3li,عِنْدو سعْلِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-43.mp3
"to vomit, throw up","stáfraɣ, yistáfriɣ",سْتفْرغ، يِسْتفْرِغ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-44.mp3
rash,ɧsēsíyyi b-ijjílid,حْساسية بِالجِّلِد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-45.mp3
diarrhea,ishēl,اِسْهال,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav11-46.mp3
