english,transliteration,arabic,audioUrl
"number, numeral",ráʔim/ráʔam (arʔām),رقم (أرْقام),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-1.mp3
number (quantity),3ádad (a3dād),عدد (أعْداد),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-2.mp3
to count,"3add, y3idd",عدّ، يْعِدّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-3.mp3
odd,mífrid,مِفْرِد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-4.mp3
even,mízwij,مِزْوِج,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-5.mp3
zero,ʂífir,صِفِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-6.mp3
cardinal number,3ádad áʂli,عدد أصْلي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-7.mp3
one,"__ wāɧad [m.], __ wáɧdi [f.]",__ واحد، __ واحْدِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-8.mp3
two,tnēn,تْنيْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-9.mp3
two tables and two chairs,ʈāwiltēn u kirsitēn,طاوِلْتيْن وكِرْسيتيْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-10.mp3
three,tlēti (tlēt __ / tlat __),تلْأتِة (تْلات__),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-11.mp3
four,árb3a (árba3 __),أرْبْعة (أرْبع__),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-12.mp3
five,xámsi (xámis __),خمْسِة (خمِس__),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-13.mp3
six,sítti (sitt __),سِتِّة (سِتّ__),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-14.mp3
seven,sáb3a (sábi3 __),سبْعة (سبِع__),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-15.mp3
eight,tmēni (tmin __),تْمانِة (تْمِن__),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-16.mp3
nine,tís3a (tísi3 __),تِسْعة (تِسِع__),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-17.mp3
ten,3ášra (3ášir __),عشْرة (عشِر__),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-18.mp3
eleven,ɧdā3iš,حْداعِش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-19.mp3
twelve,tnā3iš,تْناعِش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-20.mp3
thirteen,tlatā3iš,تْلتاعِش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-21.mp3
fourteen,arbatā3iš,أرْبتاعِش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-22.mp3
fifteen,xamstā3iš,خمْسْتاعِش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-23.mp3
sixteen,sittā3iš,سِتّاعِش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-24.mp3
seventeen,sabatā3iš,سبتاعِش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-25.mp3
eighteen,tmantā3iš,تْمانْتاعِش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-26.mp3
nineteen,tisatā3iš,تِستاعِش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-27.mp3
twenty,3išrīn,عِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-28.mp3
twenty-one,wāɧad u 3išrīn,واحد وعِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-29.mp3
twenty-two,tnēn u 3išrīn,تْنيْن وعِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-30.mp3
twenty-three,tlēti u 3išrīn,تْلاتِة وعِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-31.mp3
thirty,tlētīn,تْلاتين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-32.mp3
forty,arb3īn,أرْبْعين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-33.mp3
fifty,xamsīn,خمْسين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-34.mp3
sixty,sittīn,سِتّين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-35.mp3
seventy,sab3īn,سبْعين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-36.mp3
eighty,tmēnīn,تْمانين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-37.mp3
ninety,tis3īn,تِسْعين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-38.mp3
one hundred,míyyi,مية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-39.mp3
