english,transliteration,arabic,audioUrl
"to abandon, desert","hájar, yíhjur",هجر، يِهْجُر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-1.mp3
to accept,"ʔíbil, yíʔbal",قِبِل، يِقْبل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-2.mp3
to accompany,"rāɧ ma3, yrūɧ ma3",راح مع، يْروح مع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-3.mp3
to accompany,"ijā ma3, yíji ma3",إجا مع، يِجي مع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-4.mp3
to adjust; fix,"ʐábbaʈ, yʐábbiʈ",ظبّط، يْظبِّط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-5.mp3
to admit,"3táraf, yí3tirif",عْترف، يِعْتِرِف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-6.mp3
"to advise, recommend","náʂaɧ, yínʂaɧ",نصح، يِنْصح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-7.mp3
to affect,"ássar 3ála, yʔássir 3ála",أثّر على، يْأثِّر على,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-8.mp3
to allow,"xálla, yxálli",خلّا، يْخلّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-9.mp3
to allow,"sámaɧ, yísmaɧ",سمح، يِسْمح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-10.mp3
"to answer, respond, reply","radd 3ála, yridd 3ála",ردّ على، يْرِدّ على,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-11.mp3
"to answer, respond, reply","jēwab 3ála, yjēwib 3ála",جاوَب على، يْجاوِب على,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-12.mp3
to apologize for,"3tázar 3ála, yi3tízir 3ála",عْتذر على، يِعْتِذِر على,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-13.mp3
to appear,"báyyan, ybáyyin",بيَّن، يْبيِّن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-14.mp3
to appreciate,"ʔáddar, yʔáddir",قدّر، يْقدِّر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-15.mp3
to approve of,"wēfaʔ, ywēfiʔ",وافق، يْوافِق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-16.mp3
"to arrange, organize","náʐʐam, ynáʐʐim",نظّم، يْنظِّم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-17.mp3
to ask,"sáʔal, yísʔal",سأل، يِسْأل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-18.mp3
"to attend; watch, view","ɧúɖir, yíɧɖar",حُضِر، يِحْضر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-19.mp3
to be,"kēn, ykūn",كان، يْكون,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-20.mp3
"to be able to, can","ʔídir, yíʔdir",قِدِر، يِقْدِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-21.mp3
"to be able to, can","3írif, yá3rif",عِرِف، يَعْرِف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-22.mp3
Can you swim?,btá3rif tísbaɧ?,بْتعْرِف تِسْبح؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-23.mp3
I can’t understand a word you said.,mā fhímit šī min yálli ʔíltu.,ما فْهِمِت شي مِن يَلّي قِلْتو.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-24.mp3
"to become, be; to happen","ʂār, yʂīr",صار، يْصير,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-25.mp3
