english,transliteration,arabic,source
English,Transliteration,Standard Arabic,animals
animal,Hayawaan,حيوان,animals
animals,Hayawaanaat,حيوانات,animals
cat,qiTTa,قطّة,animals
cats,qiTaT,قطط,animals
dog,kalb,كلب,animals
dogs,kilaab,كلاب,animals
cow,baqara,بقرة,animals
cows,baqaraat,بقرات,animals
bull,toor,ثور,animals
bulls,tiiraan,ثيران,animals
calf,3ijl,عجل,animals
calves,3ujuul,عجول,animals
buffalo,jaamuus,جاموس,animals
buffalo,jawaamiis,جواميس,animals
cattle,bahiima,بهيمة,animals
cattles,bahaa’im,بهائم,animals
sheep,ġanam,غنم,animals
sheep,aġnaam,أغنام,animals
lamb,xaruuf,خروف,animals
lambs,xiraaf,خراف,animals
donkey,Himaar,حمار,animals
donkeys,Hamiir,حمير,animals
horse,HiSaan,حصان,animals
horses,HuSun,حصن,animals
camel,jamal,جمل,animals
camels,jimaal,جمال,animals
goat,maa3iz,ماعز,animals
goats,mawaa3iz,مواعز,animals
pig,xinziir,خنزير,animals
pigs,xanaaziir,خنازير,animals
rabbit,arnab,أرنب,animals
rabbits,araanib,ارانب,animals
mice,fa'r,فأر,animals
mice,fi'raan,فئران,animals
rat,jurad,جرذ,animals
rats,jirdaan,جرذان,animals
bird,Taa'ir,طائر,animals
birds,Taa'iraat,طائرات,animals
small bird,3uSfuur,عصفور,animals
small birds,3aSaafiir,عصافير,animals
parrot,babġaa',ببغاء,animals
parrots,babġaawaat,ببغاوات,animals
rooster,diik,ديك,animals
roosters,duyuuk,ديوك,animals
turkey,diik ruumi,ديك رومي,animals
peacock,Taawuus,طاووس,animals
peacocks,Tawaawiis,طواويس,animals
stork,laqlaq,لقلق,animals
storks,laqaaliq,لقالق,animals
sparrow,3uSfuur duury,عصفور دوري,animals
sparrows,3aSafiir,عصافير,animals
crow,ġuraab,غراب,animals
crows,ġirbaan,غربان,animals
nightingale,bulbul,بلبل,animals
nightingales,balaabil,بلابل,animals
falcon,Saqr,صقر,animals
falcons,Suquur,صقور,animals
eagle,nasr,نسر,animals
eagles,nusuur,نسور,animals
reptile,zaaHif,زاحف,animals
reptiles,zawaaHif,زواحف,animals
amphibian,barmaa'iyya,برمائية,animals
amphibians,barmaa'iyyaat,برمائيات,animals
snake,tu3baan,ثعبان,animals
snakes,ta3aabiin,ثعابين,animals
Sarahan horned viper,Hayya qarnaa',حية قرناء,animals
turtle,sulHufaah,سلحفاة,animals
turtles,salaaHif,سلاحف,animals
lizard,siHliyya,سحلية,animals
lizards,saHaalin,سحال,animals
frog,Difdi3,ضفدع,animals
frogs,Dafaadi3,ضفادع,animals
crocodile,timsaaH,تمساح,animals
crocodiles,tamaasiiH,تماسيح,animals
snail,Halazuun,حلزون,animals
snails,Halazuunaat,حلزونات,animals
lion,asad,أسد,animals
lions,usuud,اسود,animals
giraffe,zaraafa,زرافة,animals
giraffes,zaraafaat,زرافات,animals
zebra,Himaar waHši,حمار وحشي,animals
kangaroo,kanġar,كنغر,animals
hyena,Dab3,ضبع,animals
hyenas,Dibaa3,ضباع,animals
panther,fahd,فهد,animals
panthers,fuhuud,فهود,animals
wolf,di'b,ذئب,animals
wolves,di'aab,ذئاب,animals
bear,dubb,دبّ,animals
bears,dibaba,دببة,animals
tiger,namir,نمر,animals
tigers,numuur,نمور,animals
elephant,fiil,فيل,animals
elephants,fiyala,فيلة,animals
monkey,qird,قرد,animals
monkeys,quruud,قرود,animals
bat,xuffaaš,خفاش,animals
bats,xafaafiiš,خفافيش,animals
squirrel,sinjaab,سنجاب,animals
fox,ta3lab,ثعلب,animals
foxes,ta3aalib,ثعالب,animals
deer,ġazaal,غزال,animals
deer,ġizla,غزلة,animals
fish,samak,سمك,animals
fish,asmaak,أسماك,animals
whale,Huut,حوت,animals
whales,Hiitaan,حيتان,animals
shark,qirš,قرش,animals
dolphin,duxas,دخس,animals
dolphins,darafiil,درافيل,animals
octopus,uxTubuuT,أخطبوط,animals
octopuses,uxTubuuTaat,اخطبوطات,animals
squid,Habbaar,حبّار,animals
swordfish,abu seif,أبو سيف,animals
shrimp,ruubiyaan,روبيان,animals
lobster,saraTaan baHri,سرطان بحري,animals
crab,saraTaan,سرطان,animals
crabs,saraTaanaat,سرطانات,animals
walrus,faZZ,فظّ,animals
walruses,afZaaZ,أفظاظ,animals
salmon,salamuun,سالمون,animals
catfish,qarmuuT,قرموط,animals
catfish,qaraamiiT,قراميط,animals
tuna,tunn,تنّ,animals
oysters,maHaar,محار,animals
insect,Hašara,حشرة,animals
insects,Hašaraat,حشرات,animals
cockroach,SurSuur,صرصور,animals
cockroaches,SaraSiir,صراصير,animals
flea,burġuut,برغوث,animals
fleas,baraaġiit,براغيث,animals
beetle,xunfusaa',خنفساء,animals
beetles,xanaafis,خنافس,animals
wasp,dabbuur,دبّور,animals
wasps,dabaabiir,دبابير,animals
spider,3ankabuut,عنكبوت,animals
spiders,3anaakib,عناكب,animals
scorpion,3aqraba,عقربة,animals
scorpions,3aqaarib,عقارب,animals
tail,deil,ذيل,animals
tails,duyuul,ذيول,animals
hoof,Haafir,حافر,animals
hooves,Hawaafir,حوافر,animals
claw,maxlab,مخلب,animals
claws,maxaalib,مخالب,animals
fur,farwa,فروة,animals
furs,faraawi,فراوي,animals
beak,minqaar,منقار,animals
beaks,manaaqiir,مناقير,animals
wing,jinaaH,جناح,animals
wings,ajniHa,اجنحة,animals
fin,za3nifa,زعنفة,animals
fins,za3aanif,زعانف,animals
city,madiina,مدينة,city_and_transportation
cities,mudun,مدن,city_and_transportation
street,šaari3,شارع,city_and_transportation
streets,šawaari3,شوارع,city_and_transportation
road,Tariiq,طريق,city_and_transportation
roads,Turuq,طرق,city_and_transportation
highway,Tariiq sarii3,طريق  سريع,city_and_transportation
alley; lane,Haara,حارة,city_and_transportation
alley; lanes,Haaraat,حارات,city_and_transportation
corner ,naaSiya,ناصية,city_and_transportation
