english,transliteration,arabic
English,Transliteration,Standard Arabic
crime ,ijraam,اجرام
crime,jariima,جريمة
crimes,jaraa'im,جرائم
criminal,mujrim,مجرم
criminals,mujrimuun,مجرمون
murderer,saffaaH,سفاح
victim,DaHiyya,ضحية
victims,DaHaaya,ضحايا
prisoner,asiir,أسير
prisoners,asra,أسرى
suspect in,muštaba fi,مشتبه في
accused of,muttaham bi,متهم بـ
involvement in,Dil3,ضلع
involvement ins,Duluu3 fi,ضلوع في
illegal,ġeir qaanuuni,غير قانوني
warrant,mudakkirat tawqiif,مذكرة توقيف
bail,kafaala,كفالة
trial,muHaakama,محاكمة
case,qaDiyya,قضية
cases,qaDaaya,قضايا
court or tribunal,maHkama,محكمة
court or tribunals,maHaakim,محاكم
judge,qaaDin,قاضٍ
judges,quDaah,قضاة
lawyer,muHaamin,محامٍ
lawyers,muHaamiyuun,محاميون
jury,hei'at muHallafiin,هيئة محلفين
juror,muHallaf,محلّف
jurors,muHallafuun,محلّفون
witness,šaahid,شاهد
witnesses,šuhuud,شهود
eyewitness,šaahid 3iyaan,شاهد عيان
prosecution,iddi3aa',ادعاء
defense,difaa3,دفاع
case,qaDiyya,قضية
cases,qaDaaya,قضايا
proof,daliil,دليل
proofs,adilla,أدلة
guilty,mudnib,مذنب
guilties,mudnibuun,مذنبون
innocent,bari',برئ
innocents,abriyaa',أبرياء
theft,sariqa,سرقة
robbery,nahb,نهب
burglary of,saTw 3ala,سطو على
drug possession,Hiyaazat muxaddiraat,حيازة مخدرات
drug trade,mutaajarat muxaddiraat,متاجرة مخدرات
smuggling,tahriib,تهريب
rape,iġtiSaab,اغتصاب
murder,qatl,قتل
bribery,irtišaa'/rašwa,ارتشاء | رشوة
embezzlement,ixtilaas,اختلاس
fraud,iHtiyaal,احتيال
blackmail,ibtizaaz,ابتزاز
punishment ,3iqaab,عقاب
 punishment,3uquuba,عقوبة
 punishments,3uquubaat,عقوبات
sentence,Hukm,حكم
sentences,aHkaam 3ala,أحكام على
sentenced to,maHkuum bi,محكوم بـ
fine,ġaraama,غرامة
fines,ġaraamaat,غرامات
prison,sijn,سجن
prisons,sujuun,سجون
prison cell,zinzaana,زنزانة
prison cells,zinzaanaat,زنزانات
imprisonment,Habs,حبس
hanging,šanq,شنق
gallows,mišnaqa,مشنقة
gallows,mašaaniq,مشانق
chained,mukabbal,مكبل
chains,salaasil  silsila,سلاسل    سلسلة
