english,transliteration,arabic
English,Transliteration,Standard Arabic
human,insaan,إنسان
human being; mankind,bašar,بشر
human being,bani aadam,بني آدم
people,naas,ناس
people ,ša3b,شعب
people s,šu3uub,شعوب
person,šaxS,شخص
people,ašxaaS,أشخاص
person (e.g. in a census,nasama,نسمة
person (e.g. in a censuses,nasamaat,نسمات
individual ,fard,فرد
individual s,afraad,أفراد
life,Hayaah,حياة
lives,Hayawaat,حيوات
young ,Saġiir,صغير
young s,Suġaar,صغار
age,3omr,عمر
How old are you?,kam 3omrak?,كم عمرك؟
baby,Tifl raDii3,طفل رضيع
babies,aTfaal ruDaa3,أطفال رضاع
child,Tifl,طفل
children,aTfaal,أطفال
boy or son,walad,ولد
boy or sons,awlaad,أولاد
boy,Sabi,صبي
boys,Sibyaan,صبيان
son,ibn,ابن
sons,abnaa',أبناء
girl or daughter,bint,بنت
girl or daughters,banaat,بنات
daughter,kariima,كريمة
daughters,karaa'im,كرائم
girl,Sabiyya,صبية
girls,Sabaaya,صبايا
kid,3ayyil,عيّل
kids,3iyaal,عيال
teenager,muraahiq,مراهق
young boy/man,fatan,فتى
young boy/men,fityaan,فتيان
young girl/woman,fataah,فتاة
young girl/women,fatayaat,فتيات
young people,šabaab,شباب
young man,šaabb,شاب
young men,šubbaan,شبان
young woman,šaabba,شابة
young women,šaabbaat,شابات
minor,qaaSir,قاصر
adult,baaliġ,بالغ
man,rajul,رجل
men,rijaal,رجال
woman,imra'a,امرأة*
women,nisaa',نساء
sex or  race,jins,جنس
sex or  races,ajnaas,أجناس
family,3aa'ila,عائلة
families,3aa'ilaat,عائالات
 family,usra,أسرة
 families,usar,أسر
family ,ahl,أهل
relative,qariib,قريب
relatives,aqribaa',أقرباء
father,ab,أب
fathers,aabaa',آباء
dad,baaba,بابا
mother,umm,أمّ
mothers,ummahaat,أمهات
mom,maama,ماما
brother,ax,أخ
brothers,ixwa,اخوة
 brother,šaqiiq,شقيق
 brothers,ašiqaa',أشقاء
sister,uxt,أخت
sisters,axawaat,اخوات
twin,taw'am,تؤام
twins,tawaa'im,توائم
orphan,yatiim,يتيم
orphans,yataama,يتامى
paternal uncle,3amm,عمّ
paternal uncles,3umuum,عموم
paternal aunt,3amma,عمّة
paternal aunts,3ammaat,عمّات
maternal uncle,xaal,خال
maternal uncles,axwaal,أخوال
maternal aunt,xaala,خالة
maternal aunts,xaalaat,خالات
nephew/niece,ibn/bint ax/uxt,ابن/بنت اخ/اخت
grandfather,jadd,جدّ
grandfathers,juduud,جدود
grandpa,giddu,جدو
grandmother,jadda,جدة
grandmothers,jaddaat,جدات
grandma,teta,تيتا
grandchild,Hafiid,حفيد
grandchildren,aHfaad,أحفاد
in-law,nasiib,نسيب
in-laws,ansibaa',أنسباء
father-in-law,Hamaah,حماه
father-in-laws,aHmaa',احماء
mother-in-law,Hamaah,حماة
mother-in-laws,Hamawaat,حموات
son-in-law,Sihr,صهر
son-in-laws,aShaar,أصهار
daughter-in-law,kanna,كنّة
daughter-in-laws,kanaa'in,كنائن
brother-in-law ,silf,سلف
brother-in-law s,aslaaf,أسلاف
brother-in-law ,3adiil,عديل
brother-in-law s,3adaa'il,عدائل
sister-in-law,silfa,سلفة
sister-in-laws,salaayif,
single,a3zab,أعزب
marriage,zawaaj,زواج
wedding,zifaaf,زفاف
weddings,afraaH,أفراح
* used by Christians in Egypt *,ikliil,إكليل
honeymoon,šahr 3asal,شهر عسل
dowry,mahr,مهر
dowries,muhuur,مهور
engaged,maxTuub,مخطوب
engagement,xuTuuba,خطوبة
* used by Christians in Egypt *,noSS ikliil,نص إكليل
to break an engagement,fisix - yifsax  xuTuuba,فسخ - يفسخ  خطوبة
bride,3aruus,عروس
brides,3araa'is,عرائس
bridegroom,3ariis,عريس
bridegrooms,3irsaan,عرسان
husband,zawj,زوج
husbands,azwaaj,أزواج
wife,zawja,زوجة
wives,zawjaat,زوجات
pregnant,Haamil,حامل
divorce,Talaaq,طلاق
society or community,mujtama3,مجتمع
society or communities,mujtama3aat,مجتمعات
culture,taqaafa,ثقافة
cultures,taqaafaat,ثقافات
civilization,HaDaara,حضارة
civilizations,HaDaaraat,حضارات
tradition,taqliid,تقليد
traditions,taqaaliid,تقاليد
custom,3aada,عادة
customs,3aadaat,عادات
dialect,lahaja,لهجة
dialects,lahajaat,لهجات
tribe,qabiila,قبيلة
tribes,qabaa'il,قبائل
