english,transliteration,arabic
English,Transliteration,Standard Arabic
propaganda; advertising,di3aaya,دعاية
brainwashing,ġasiil dimaaġ,غسيل دماغ
blame,3itaab/loom,عتاب | لوم
scapegoat,kabš fidaa',كبش فداء
pretext,Hujja,حجّة
pretexts,Hujaj,حجج
excuse for,3udr,عذر
excuse fors,a3daar li,أعذار لـ
acceptable,maqbuul,مقبول
reasonable,ma3quul,معقول
appropriate,munaasib,مناسب
fair,munSif,منصف
allowed,masmuuH,مسموح
permission,idn,اذن
permit,tarxiiS,ترخيص
permits,taraaxiiS,تراخيص
forbidden,mamnuu3/maHZuur,ممنوع | محظور
censorship of,raqaaba 3ala,رقابة على
offensive,musi'/muhiin,مسئ | مهين
limiting condition,taHaffuZ,تحفظ
limiting conditions,taHaffuZaat,تحفظات
limited,maHSuur 3ala,محصور على
tragedy,ma'saah,مأساة
tragedies,ma'aasin,مآس
disaster,muSiiba,مصيبة
disasters,muSiibaat,مصيبات
step ,xaTwa,خطوة
step s,xaTawaat ,خطوات 
standard,mi3yaar,معيار
standards,ma3aayiir,معايير
mission,mahamma,مهمة
missions,mahaamm,مهام
determined,mu3ayyan,معيّن
accident,haaditha,حادثة
accidents,hawaadit,حوادث
proof,daliil,دليل
proofs,adilla 3ala,أدلة على
high treason,xiyaana 3uZma,خيانة عظمى
agent; collaborator,3amiil,عميل
agent; collaborators,3umalaa',عملاء
collaborator,muta3aawin,متعاون
collaborators,muta3aawinuun,متعاونون
double agent,3amiil muzdawaj,عميل مزدوج
spy,jaasuus,جاسوس
spies,jawaasiis,جواسيس
traitor,xaa'in,خائن
traitors,xawana,خونة
secretly,sirriyyan,سريا
secret,sirr,سرّ
secrets,asraar,أسرار
privilege,imtiyaaz,امتياز
privileges,imtiyaazaat,امتيازات
special treatment,mu3aamala xaaSSa,معاملة خاصّة
differentiation,tafriqa bein,تفرقة بين
bias towards/against,inHiyaaz li/Didd,انحياز لـ | ضد
biased,munHaaz,منحاز
neutral,muHaayid,محايد
sectarian,Taa'ifi,طائفي
aid,3oon,عون
human shield,dir3 bašari,درع بشري
human shields,duruu3 bašariyya,دروع بشرية
chance,furSa,فرصة
chances,furaS,فرص
intense,katiif,كثيف
intenses,kitaaf,كثاف
isolation from,3uzla 3an,عزلة عن
terrorism,irhaab,ارهاب
terrorist,irhaabi,ارهابي
cell,xaliyya,خلية
cells,xalaayaa,خلايا
suicide bombing,3amaliyya intiHaariyya,عملية انتحارية
extremist,mutaTarrif,متطرف
fanatic,muta3aSSib,متعصب
fundamentalist,uSuuli,أصولي
moderate,mu3tadil,معتدل
backwards,mutaxallif,متخلّف
progressive,mutaqaddim,متقدّم
modern,Hadiit,حديث
moderns,Hudataa',حدثاء
condition,šarT,شرط
conditions,šuruuT,شروط
requirements,mutaTallibaat,متطلّبات
necessity,Daruura,ضرورة
necessities,Daruuraat,ضرورات
talent,mawhiba,موهبة
talents,mawaahib,مواهب
strong ,qawi,قوي
strong s,aqwiyaa' ,أقوياء  
weak ,Da3iif,ضعيف
weak s,Du3afaa' ,ضعفاء 
firm,watiiq,وثيق
harm,Darar,ضرر
harms,aDraar,أضرار
to no avail,hadran,هدرا
headquarters,ma3qil,معقل
headquarters,ma3aaqil,معاقل
model,numuudaj,نموذج
models,numuudajaat,نموذجات
after the pattern of,3ala ġiraar,على غرار
equally,3ala Haddin sawaa',على حدّ سواء
nuclear program,barnaamaj nawawi,برنامج نووي
reactor,munša'a,منشأة
reactors,munša'aat,منشآت
compound,mujamma3,مجمّع
sanctions,3uquubaat,عقوبات
hostage,rahiina,رهينة
hostages,rahaa'in,رهائن
to order,"amara, yu'muru ",أمر – يؤمر 
order,amr,أمر
orders,awaamir,أوامر
dictation,imlaa',املاء
dictations,imlaa'aat,املاءات
nadir,tadannin,تدنٍ
spread,tafaššin,تفشٍ
presence,wujuud,وجود
absence,ġiyaab,غياب
lack of,3adam,عدم
obstacle,3aa'iq,عائق
obstacles,mu3awwaqaat,معوقات
deterrent,raadi3,رادع
deterrents,rawaadi3,روادع
challenge,taHaddin,تحدٍ
challenges,taHaddiyaat,تحديات
difficulty,Su3uuba,صعوبة
difficulties,Su3uubaat,صعوبات
disintegration,tafakkuk,تفكك
breakdown,inhiyaar,انهيار
fall,inHidaar,انحدار
deterioration,tadahuur,تدهور
exacerbation,tafaaqum,تفاقم
destabilization,za3za3a,زعزعة
chaos,fawDa,فوضى
crisis,azma,أزمة
crises,azamaat,أزمات
tension,tawattur,توتر
tensions,tawatturaat,توترات
problem,muškila,مشكلة
problems,muškilaat/mišaakil,مشكلات | مشاكل
commitment to,iltizaam,التزام
commitment tos,iltizaamaat bi,التزامات بـ
adherence to,tamassuk bi,تمسّك بـ
competition,munaafasa,منافسة
contest,musaabaqa,مسابقة
side,Taraf,طرف
sides,aTraaf,أطراف
goal,hadaf,هدف
goals,ahdaaf,أهداف
aim,ġaraD,غرض
aims,aġraaD,أغراض
intention,niyya,نية
intentions,nawaayaa,نوايا
accomplishment,injaaz,انجاز
accomplishments,injaazaat,انجازات
plea,tawassul,توسّل
pleas,tawassulaat,توسّلات
danger ,xaTar ,خطر  
burden ,3ib',عبء
burden s,a3baa' 3ala,أعباء على
numerous,muta3addid,متعدّد
different,muxtalif,مختلف
miscellaneous,mutafarriq,متفرّق
various,mutanawwi3,متنوّع
difference,farq,فرق
differences,furuuq,فروق
to assassinate,"iġtaala, yaġtuulu ",اغتال – يغتول 
effort,jahd,جهد
efforts,juhuud,جهود
welfare,rafaahiyya,رفاهية
possibility ,imkaaniyya,امكانية
possibility s,imkaaniyyaat ,امكانيات 
probability ,iHtimaal,احتمال
probability s,iHtimaalaat ,احتمالات 
stage,marHala,مرحلة
stages,maraaHil,مراحل
behavior,taSarrufaat,تصرفات
attitude,3aqliyya,عقلية
attitudes,3aqliyyaat,عقليات
occasion,munaasaba,مناسبة
occasions,munaasabaat,مناسبات
anniversary; memory,dikra,ذكرى
