english,transliteration,arabic
English,Transliteration,Standard Arabic
art,fann,فن
arts,funuun,فنون
artist ,fannaan,فنان
drawing,rasm,رسم
drawings,rusuum,رسوم
painter,rassaam,رسام
paint,Tilaa',طلاء
paints,dihaanat,دهانات
charcoal,faHm,فحم
pottery,faxxaar,فخار
ceramics,xazaf,خزف
clay,SalSaal,صلصال
statue,timtaal,تمثال
statues,tamaatiil,تماثيل
mosaics,fuseifisaa',فسيفساء
weaving,nasiij,نسيج
bellydance,raqS šarqi,رقص شرقي
music,muusiiqa,موسيقى
singer,muġannin,مغنٍ
band,firqa,فرقة
bands,firaq,فرق
choir,jooqa,جوقة
choirs,jooqaat,جوقات
lead singer,muġannin ra'iisi,مغنٍ رئيسي
composer,mulaHHin,ملحن
song,uġniyya,أغنية
songs,aġaanin,أغان
verse,kobleih,كوبليه
verses,kobleihaat,كوبليهات
album,albuum,ألبوم
albums,albuumaat,ألبومات
tape,šariiT,شريط
tapes,šaraa'iT,شرائط
record,usTuwaana,اسطوانة
records,usTuwaanaat,اسطوانات
lyrics,kalimaat uġniyya/aġaanin,كلمات أغنية | أغان
melody,laHn,لحن
melodies,alHaan,ألحان
tune,naġm,نغم
tunes,anġaam,أنغام
music video,maqTa3,مقطع
music videos,maqaaTi3,مقاطع
screenshot,laqTa,لقطة
screenshots,laqaTaat,لقطات
tour,joola ġanaa'iyya,جولة غنائية
promotion,tarwiij,ترويج
concert,Hafla muusiiqiyya,حفلة موسيقية
fans,jumhuur,جمهور
musical instrument,aala,آلة
musical instruments,aalaat muusiiqiyya,آلات موسيقية
violin,kamaan,كمان
violins,kamangaat,كمنجات
drum,Tabla,طبلة
drums,Tubal,طبل
oud ,3uud,عود
oud s,a3waad,أعواد
bamboo flute,naay,ناي
bamboo flutes,naayaat,نايات
voice ,Soot,صوت
voice s,aSwaat,أصوات
movie,film,فيلم
movies,aflaam,أفلام
actor,mumattil,ممثل
star,najm,نجم
stars,nujuum,نجوم
famous ,mašhuur,مشهور
famous s,mašaahiir ,مشاهير 
supporting actor,mumattil musaa3id,ممثل مساعد
child star,najm Tifl,نجم طفل
director,muxrij,مخرج
producer,muntij,منتج
script,siinaariyo,سيناريو
scripts,siinaariyohaat,سيناريوهات
original screenplay,siinaariyo aSli,سيناريو أصلي
adapted screenplay,siinaariyo muqtabas,سيناريو مقتبس
special effects,mu'attiraat ,مؤثرات 
sound effects,mu'attiraat Sootiyya,مؤثرات صوتية
visual effects,mu'attiraat baSariyya,مؤثرات بصرية
makeup,makyaaž,مكياج
cinematography,taSwiir,تصوير
editing,taHriir,تحرير
critic,naaqid,ناقد
critics,nuqqaad,نقّاد
review,muraaja3a,مراجعة
reviews,muraaja3aat,مراجعات
positive,iijaabi,ايجابي
negative,silbi,سلبي
rating (G,taSniif,تصنيف
assessment; rating ,taqyiim,تقييم
Oscar award,jaa'izat oscar,جائزة
Oscar awards,jawaa'iz oscar,جوائز أوسكار
starring...,buTuula,بطولة
role,door,دور
roles,adwaar,أدوار
performance,adaa',أداء
performances,adaa'aat,أداءات
portrayal,tajsiid,تجسيد
showing,3arD,عرض
showings,3uruuD,عروض
character,šaxSiyya,شخصية
characters,šaxSiyyaat,شخصيات
hero,baTal,بطل
heroes,abTaal,أبطال
scene,mašhad,مشهد
scenes,mašaahid,مشاهد
revenue,iiraad,ايراد
revenues,iiraadaat,ايرادات
record,raqam qiyaasi,رقم قياسي
festival,mihrajaan,مهرجان
festivals,mihrajaanaat,مهرجانات
failure,ixfaaq,اخفاق
success,najaaH,نجاح
popular,ša3bi,شعبي
movie theater,siinima,سينما
poster,mulSaq,ملصق
posters,mulSaqaat,ملصقات
ticket,tadkara,تذكرة
tickets,tadaakir,تذاكر
screen,šaaša,شاشة
