english,transliteration,arabic
English,Transliteration,Standard Arabic
doctor,Tabiib,طبيب
doctors,aTibbaa',أطباء
surgeon,jarraaH,جرّاح
surgeons,jarraaHuun,جرّاحون
nurse,mumarriD,ممرّض
nurses,mumarriDuun,ممرّضون
patient,mariiD,مريض
patients,marDa,مرضى
hospital,mustašfa,مستشفى
hospitals,mustašfayaat,مستشفيات
clinic,3iyaada,عيادة
clinics,3iyaadaat,عيادات
pharmacy,Saidaliyya,صيدلية
pharmacies,Saidaliyyaat,صيدليات
ambulance,is3aaf,اسعاف
ambulances,is3aafaat,اسعافات
disease,maraD,مرض
diseases,amraaD,أمراض
chronic,muzmin,مزمن
infectious,saari,ساري
contagious,mu3d,معد
infection,3adwa,عدوى
parasite,Tufaili,طفيلي
parasites,Tufailiyaat,طفيليات
asthma,rabw,ربو
heart attack,azma qalbiyya,أزمة قلبية
coma,ġaibuuba,غيبوبة
clot,jalTa,جلطة
clots,jalaTaat,جلطات
stroke,jalTa dimaaġiyya,جلطة دماغية
allergy ,Hassaasiyya min,حسّاسية من
cold,baarida,باردة
cirrhosis,talayyuf,تليف
autism,tawaHHud,توحد
leprosy,judaam,جذام
tuberculosis,daran,درن
epilepsy,Sara3,صرع
symptom,3araD,عرض
symptoms,a3raaD,أعراض
headache,Sudaa3,صداع
insomnia,araq,أرق
heartburn,HumuuDa,حموضة
diarrhea,ishaal,إسهال
stomach cramping,maġaS,مغص
constipation,imsaak,امساك
indigestion,3usr haDm,عسر هضم
bruise,kadma,كدمة
bruises,kadamaat,كدمات
burn,Harq,حرق
burns,Huruuq,حروق
laceration,tamazzuq,تمزّق
scratch,xadš,خدش
scratches,xuduuš,خدوش
cut,qaT3,قطع
cuts,quTuu3,قطوع
wound,jarH,جرح
wounds,juruuH,جروح
boil,dummal,دمّل
boils,damaamil,دمامل
swelling; tumor,waram,ورم
swelling; tumors,awraam,أورام
inflammation; infection,tihaab,تهاب
dizziness,dawxa,دوخة
vomiting,qay'/taqayyu',قئ | تقيّؤ
nausea,ġatayaan,غثيان
shock,Sadma,صدمة
shocks,Sadamaat,صدمات
fever,Humma,حمّى
fevers,Hummayaat,حمّيات
degree,daraja,درجة
degrees,darajaat,درجات
broken , maksuur, مكسور
stethoscope,sammaa3a,سمّاعة
stethoscopes,sammaa3aat,سمّاعات
X-ray,aši33a/aši33at iks,اشعّة 
medicine,dawaa',دواء
medicines,adwiya,أدوية
pill,qurS,قرص
pills,aqraaS,اقراص
tablet,qurS,قرص
tablets,aqraaS,اقراص
syrup,šaraab,شراب
syrups,ašriba,اشربة
antibiotic,muDaadd Hayawi,مضاد حيوي
dose ,jar3a,جرعة
dose s,jar3aat,جرعات
ointment,marham,مرهم
ointments,maraahim,مراهم
vaccine,laqaaH,لقاح
gauze,šaaš,شاش
bandage,Dimaad,ضماد
bandages,arbiTa,اربطة
band-aid,plastar,بلاستر
stitches,ġuraz  ġurza,غرز    غرزة
cast,jabiira,جبيرة
casts,jabaa'ir,جبائر
crutch,3ukkaaz,عكاز
crutches,3ukkaazaat,عكازات
disinfectant,muTahhir,مطهّر
disinfectants,muTahhiraat,مطهّرات
anesthesia,taxdiir,تخدير
operation,3amaliyya,عملية
operations,3amaliyyaat,عمليات
surgery,jiraaHa,جراحة
amputation,batr,بتر
autopsy,tašriiH,تشريح
abortion,ijhaaD,اجهاض
chemotherapy,3ilaaj kiimiyaa'i,علاج كيميائي
plastic surgery,3amaliyyat tajmiil,عملية تجميل
health,SiHHa,صحة
sick,mariid,مريض
sicks,marDa,مرضى
healthy,saliim,سليم
healthies,sulamaa',سلماء
weak,Da3iif,ضعيف
weaks,Du3afaa',ضعفاء
strong,qawi,قوي
strongs,aqwiyaa',أقوياء
paralyzed,mašluul,مشلول
handicapped,ma3uuq,معوق
disabled,malġi,ملغي
mentally disabled,mutaxallif 3aqliyyan,متخلّف عقليا
sting,qarSa,قرصة
stings,qaraSaat,قرصات
to throb ,na'aH - yin'aH ,نقح - ينقح 
to be injured,it3awwar - yit3awwar ,اتعوّر - يتعوّر 
pain,waja3,وجع
pains,awjaa3,أوجاع
 sneeze,3aTsa,عطسة
 cough,su3la,سعلة
stuffed-up nose,anf muzkam,أنف مزكم
runny nose,manaxiir bitxorr/bitšorr,مناخير بتخرّ\بتشرّ
prevention of,wiqaaya min,وقاية من
medical examination,faHS,فحص
medical examinations,fuHuuS,فحوص
shot,Huqna,حقن
shots,Huqan,حقن
prescription,waSfa,وصفة
prescriptions,waSafaat,وصفات
