english,transliteration,arabic
English,Transliteration,Standard Arabic
religion,diin,دين
religions,adyaan,أديان
sect,Taa'ifa,طائفة
sects,Tawaa'if,طوائف
denomination,madhab,مذهب
denominations,madaahib,مذاهب
Muslim,muslim,مسلم
Sunni,sunni,سنّي
Sunnis,sunna,سنّة
Shi'ite,šii3i,شيعي
Shi'ites,šii3a,شيعة
Alawite,3alawi,علوي
Christian,masiiHi,مسيحي
Copt,qibTi,قبطي
Copts,aqbaaT,أقباط
Maronite,maaruuni,ماروني
Maronites,mawaarina,موارنة
Orthodox,ortodoks,أورثودوكس
Catholic,katoliik,كاثوليك
Protestant,brotestaant,بروتستانت
Jew,yahuudi,يهودي
Jews,yahuud,يهود
Druze,druuzi,دروزي
Druzes,druuz,دروز
paganism ,wataniyya ,وثنية 
secularism,3ilmaaniyya,علمانية
monotheism,tawHiidiyya,توحيدية
infidel,kaafir,كافر
infidels,kuffaar,كفار
creed,3aqiida,عقيدة
creeds,3aqaa'id diiniyya,عقائد دينية
 god,ilaah,اله
 gods,aaliha,آلهة
God*,allaah,الله
lord,rabb,رب
lords,arbaab,أرباب
messiah,masiiH,مسيح
savior,muxalliS,مخلّص
Jesus,yasuu3 ; 3iisa ,يسوع | عيسى
angel,malaak,ملاك
angels,malaa'ika,ملائكة
cross,Saliib,صليب
crosses,Sulbaan,صلبان
crescent,halaal,هلال
star of David,najmat daawuud,نجمة داوود
mosque,jaami3,جامع
mosques,jawaami3,جوامع
prayer niche in mosques,miHraab,محراب
prayer niche in mosques,maHaariib,محاريب
minaret,ma'dana,مأذنة
minarets,ma'aadin,مآذن
call to prayer,adaan,اذان
muezzin,mu'addin,مؤذن
minbar ,minbar,منبر
minbar s,manaabir,منابر
Friday sermon,xuTba,خطبة
imam,imaam,امام
imams,a'ima,أئمة
church,kaniisa,كنيسة
churches,kanaa'is,كنائس
shrine,mazaar,مزار
shrines,mazaaraat,مزارات
altar,madbaH,مذبح
altars,madaabiH,مذابح
sanctuary,heikal,هيكل
sanctuaries,hayaakil,هياكل
synagogue,kaniis,كنيس
temple,ma3bad,معبد
temples,ma3aabid,معابد
monastery,deir,دير
monasteries,adyaar,أديار
monk,raahib,راهب
monks,ruhbaan,رهبان
nun,raahiba,راهبة
priest,qassiis,قسيس
priests,qusus,قسس
bishop,usquf,أسقف
bishops,asaaqif,أساقف
rabbi,Haaxaam,حاخام
rabbis,Haaxaamaat,حاخامات
prophet,nabi,نبي
prophets,anbiyaa',أنبياء
chapter from the Qur'an,suura,سورة
chapter from the Qur'ans,suwar,سور
verse from the Qur'an,aaya,آية
verse from the Qur'ans,aayaat,آيات
profession of faith,šahaada,شهادة
prayer,Salaah,صلاة
fasting,Soom,صوم
alms-giving,zakaah,زكاة
pilgrimage to Mecca,Hajj,حج
minor pilgrimage,3umra,عمرة
permitted by Islam,Halaal,حلال
forbidden by Islam,Haraam,حرام
mass,quddaas,قداس
masses,qadaadiis,قداديس
 saint,qiddiis,قديس
psalm,mazmuur,مزمور
psalms,mazaamiir,مزامير
hymn,tarniima,ترنيمة
hymns,taraaniim,ترانيم
rosary,misbaHa,مسبحة
rosaries,masaabiH,مسابح
 sermon,wa3Za,وعظة
feast,3iid,عيد
feasts,a3yaad,أعياد
blessing,baraka,بركة
blessings,barakaat,بركات
repentance,tooba,توبة
forgiveness,ġufraan,غفران
mercy,raHma,رحمة
fate,qadr,قدر
fates,aqdaar,أقدار
morals,axlaaq,أخلاق
soul,ruuH,روح
souls,arwaaH ,أرواح
holy,muqaddas,مقدس
missionary,daa3iya,داعية
prosyletization,da3wa,دعوى
sacrifice ,DaHiya,ضحية
sacrifice s,DaHaaya,ضحايا
good,xeir,خير
evil,šarr,شر
blasphemy,tajdiif,تجديف
resurrection,qiyaama,قيامة
religious,mutadayyin,متدين
sin ,danb,ذنب
sin s,dunuub,ذنوب
sin,xaTii'a,خطيئة
sins,xaTaaya,خطايا
miracle,mu3jiza,معجزة
miracles,mu3jizaat,معجزات
