english,transliteration,arabic
English,Transliteration,Standard Arabic
time,waqt,وقت
times,awqaat,أوقات
"time (countable unit; as in ""three times",marra,مرة
"time (countable unit; as in ""three times",marraat,مرات
century,qarn,قرن
centuries,quruun,قرون
decade,Hiqba,حقبة
decades,Hiqabaat,حقبات
year,sana,سنة
years,sanawaat,سنوات
week,usbuu3,أسبوع
weeks,asaabii3,أسابيع
day,yawm,يوم
days,ayyaam,أيّام
hour,saa3a,ساعة
hours,saa3aat,ساعات
minute,daqiiqa,دقيقة
minutes,daqaa'iq,دقائق
second,taanya,ثانية
seconds,tawaani,ثواني
moment,laHZa,لحظة
moments,laHaZaat,لحظات
dawn,fajr,فجر
morning,SabaaH,صباح
noon,Zuhr,ظهر
evening,masaa',مساء
night,leila,ليلة
nights,layaali,ليالي
before,qabl,قبل
after,ba3d,بعد
then,tumma,ثم
until,Hatta,حتى
now,al'aan,الآن
the day before yesterday,awwal ams,أول أمس
yesterday,ams,أمس
last night,leilat ams,ليلة أمس
tomorrow,ġadan,غدا
every day,kull yawm,كل يوم
every other day,kull yawmein,كل يومين
day after day,yawman ba3d yawm,يوما بعد يوم
early,mubakkir,مبكر
late,muta'axxir,متأخر
after a while,ba3d qaliil,بعد قليل
later on,laaHiqan,لاحقا
always,daa'iman,دائما
usually,3aadatan,عادةً
sometimes,aHyaanan,أحيانا
rarely,naadiran,نادرا
holiday,3iid,عيد
holidays,a3yaad,أعياد
birthday,3iid miilaad,عيد ميلاد
occasion,munaasaba,مناسبة
occasions,munaasabaat,مناسبات
anniversary ,dikra,ذكرى
anniversary s,dikrayaat,ذكريات
party,Hafla,حفلة
parties,Hafalaat,حفلات
gift,hadiyya,هدية
gifts,hidaaya,هدايا
calendar,taqwiim,تقويم
calendars,taqaawiim,تقاويم
* The following names are used in most of the Mashriq,,
January,yanaayir,يناير
February,fibraayir,فبراير
March,maaris,مارس
April,abriil,أبريل
May,maayo,مايو
June,yuuniyo,يونيو
July,yuuliyo,يوليو
August,aġusTus,أغسطس
September,sibtimbir,سمتمبر
October,uktoobar,أكتوبر
November,nuvimbir,نوفمبر
December,disimbir,ديسيمبر
* The following names are used in the Levant. *,,
February,šubaaT,شباط
March,aadaar,آذار
April,niisaan,نيسان
May,ayyaar,أيار
June,Huzeiraan,حزيران
July,tammuuz,تموز
August,aab,آب
September,ayluul,أيلول
Muharram,muHarram,محرم
Safar,Safar,صفر
Rajab,rajab,رجب
Shaban,ša3abaan,شعبان
Ramadan,ramaDaan,رمضان
Shawwal,šawwaal,شوال
Thout ,tuut,توت
Paopi ,baaba,بابة
Hathor ,haatuur,هاتور
Koiak ,kiyaahk,كياهك
Tobi ,Tuuba,طوبة
Meshir ,amšiir,أمشير
Paremhat ,baramhaat,برمهات
Paremoude ,baramuuda,برمودة
Pashons ,bašans,بشنس
Paoni ,ba'uuna,بؤونة
Epip ,abiib,أبيب
Mesori ,misra,مسرى
Pi Kogi Enavot ,nasii',نسئ
