english,transliteration,arabic
English,Transliteration,Standard Arabic
house,bayt,بيت
houses,buyuut,بيوت
apartment,šaqqa,شقة
apartments,šiqaq,شقق
building,mabna,مبنى
buildings,mabaani',مبانئ
apartment building,3imaara,عمارة
apartment buildings,3imaaraat,عمارات
floor ,Taabiq,طابق
floor s,Tawaabiq,طوابق
courtyard,baaHa,باحة
courtyards,aHwaaš,أحواش
gate,bawwaaba,بوّابة
gates,bawwaabaat,بوّابات
door,baab,باب
doors,abwaab,أبواب
key,miftaaH,مفتاح
keys,mafaatiiH,مفاتيح
wall ,jidaar,جدار
wall s,judur,جدر
ceiling,saqf,سقف
ceilings,suquuf,سقوف
floor,arDiyya,أرضية
floors,arDiyyaat,أرضيات
roof,saTH,سطح
roofs,suTuuH,سطوح
electricity,kahrabaa',كهرباء
pipe,maasuura,ماسورة
pipes,mawaasiir,مواسير
valve,miHbas,محبس
electrical outlet,maxraj kahrabaa',مخرج كهرباء
electrical outlets,fiišaat,فيشات
electrical plug,qaabis,قابس
electrical plugs,ikbaas,اكباس
cord,silk,سلك
cords,aslaak,أسلاك
elevator,miS3ad,مصعد
elevators,aSanSeiraat,اصنصيرات
stairs,salaalim,سلالم
balcony,šurfa,شرفة
balconies,šuraf,شرف
neighbor,jaar,جار
neighbors,jiiraan,جيران
rent or lease,iijaar,ايجار
vacant,faariġ,فارغ
furnished,mafruuš,مفروش
room,ġurfa,غرفة
rooms,ġuraf,غرف
hall,mamarr,ممرّ
halls,mamarraat,ممرّات
living room,ġurfat juluus,غرفة جلوس
living rooms,Saloonaat,صلونات
furniture,ataat,أثاث
upholstery,tanjiid,تنجيد
chair,kursi,كرسي
chairs,karaasi,كراسي
armchair,foteyy,فتيّ
armchairs,foteyyaat,فتيّات
sofa,ariika,اريكة
sofas,araa'ik,ارائك
table,Taawula,طاولة
tables,Taawulaat,طاولات
window,šubbaak,شبّاك
windows,šabaabiik,شبابيك
curtain/blinds,sitaara,ستارة
curtain/blinds,sataa'ir,ستائر
television,televizyoon,تلفزيون
televisions,televizyoonaat,تلفزيونات
remote control,Haakim 3an bo3d,حاكم عن بعد
telephone,tilifoon,تلفون
telephones,tilifoonaat,تلفونات
lamp,miSbaaH,مصباح
lamps,maSaabiiH,مصابيح
light,nuur,نور
lights,anwaar,انوار
candle,šam3a,شمعة
candles,šam3aat,شمعات
chandelier,turayya,ثرية
chandeliers,turayyaat,ثريات
carpet,sajjaada,سجّادة
carpets,sajjaad,سجّاد
carpet ,moket,موكيت
tile ,balaaT,بلاط
tile ,'išaani,قيشاني
fan,mirwaHa,مروحة
fans,maraawiH,مراوح
heater,daffaaya,دفّاية
heaters,daffaayaat,دفّايات
cigarette lighter,qaddaaHa,قداحة
broom,miqašša,مقشّة
brooms,miqaššaat,مقشّات
mop,mimsaHa,ممسحة
mops,mamaasiH,مماسح
sponge,safanj,سفنج
sponges,sifingaat,سفنجات
clothes pin,mišbak,مشبك
clothes pins,mašaabiik,بشابيك
clothes drying rack,manšafa,منشفة
clothes drying racks,manaašif,مناشف
scissors,miqaSS,مقصّ
scissors,maqaaSS,مقاصّ
bedroom,ġurfat noom,غرفة نوم
bed,sariir,سرير
beds,saraa'ir,سرائر
mattress,martaba,مرتبة
mattresses,maraatib,مراتب
bedsheet,milaa'a,ملائة
bedsheets,milaa'iaat,ملائات
blanket,baTTaniyya,بطّانية
blankets,baTaaTiin,بطاطين
quilt,liHaaf,لحاف
quilts,luHuf,لحف
pillow,mixadda,مخدّة
pillows,maxaadd,مخادّ
 clock,saa3a ,ساعة 
closet,xizaana,خزانة
closets,xazaa’in milaabis,خزائن ملابس
closet,duulaab,دولاب
closets,dawaaliib,دواليب
clothes hanger,3allaaqa,علاقة
clothes hangers,3allaaqaat tiyaab,علاقات ثياب
mirror,miraah,مرآة
mirrors,miraaya,مرايا
desk,maktab,مكتب
desks,makaatib,مكاتب
drawer,durj,درج
drawers,adraaj,أدراج
shelf,raff,رفّ
shelves,rufuuf,رفوف
nightstand,kumudiinu,كمدينو
nightstands,kumudiinuhaat,كمدينوهات
dresser,tasriiHa,تسريحة
dressers,tasriiHaat,تسريحات
nightlight,lamba sahhaari,لمبة سهّاري
comb,mušT,مشط
combs,amšaaT,امشاط
brush,furšaah,فرشاة
brushes,furaš,فرش
bathroom,Hammaam,حمّام
bathrooms,Hammaamaat,حمّامات
shower,duuš,دوش
showers,duušaat,دوشات
toilet paper,waraq tuwalitt,مرق تواليت
sink,maġsala,مغسلة
sinks,maġaasil,مغاسل
faucet,Sunbuur,صنبور
faucets,Sanaabiir,صنابير
towel,minšafa,منشفة
towels,manaašif,مناشف
 towel,baškiir,بشكير
 towels,bašaakiir,بشاكير
shampoo,šaambuu,شامبو
sponge,luufa,لوفة
