English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
art,فن,fann,فن,fann
arts,فنون,funuun,فنون,funuun
artist ,فنان,fannaan,فنان,fannaan
drawing,رسم,rasm,رسم,rasm
drawings,رسوم,rusuum,رسوم,rusuum
painter,رسام,rassaam,رسام,rassaam
paint,طلاء,Tilaa',دهان,dihaan
paints,دهانات,dihaanat,دهانات,dihaanat
charcoal,فحم,faHm,فحم,faHm
pottery,فخار,faxxaar,فخار,faxxaar
ceramics,خزف,xazaf,خزف,xazaf
clay,صلصال,SalSaal,صلصال,SalSaal
statue,تمثال,timtaal,تمثال,timsaal
statues,تماثيل,tamaatiil,تماثيل,tamasiil
mosaics,فسيفساء,fuseifisaa',فسيفساء,fuseifisaa'
weaving,نسيج,nasiij,نسيج,nasiij
bellydance,رقص شرقي,raqS šarqi,رقص شرقي,raqS šarqi
music,موسيقى,muusiiqa,موسيقى,muusiiqa
singer,مغنٍ,muġannin,مغني,muġannin
rock star,نجم,najm,نجم,nagm
rock stars,نجوم الروك,nujuum ar-rock,نجوم الروك,nuguum ar-rock
band,فرقة,firqa,فرقة,fir'a
bands,فرق,firaq,فرق,fira'
choir,جوقة,jooqa,جوقة,goo'a
choirs,جوقات,jooqaat,جوقات,goo'aat
lead singer,مغنٍ رئيسي,muġannin ra'iisi,مغنٍ رئيسي,muġannin ra'iisi
composer,ملحن,mulaHHin,ملحن,mulaHHin
song,أغنية,uġniyya,أغنية,oġniyya
songs,أغان,aġaanin,أغاني,aġaani
verse,,kobleih,كوبليه,kobleih
verses,كوبليهات,kobleihaat,كوبليهات,kobleihaat
album,ألبوم,albuum,ألبوم,albuum
albums,ألبومات,albuumaat,ألبومات,albuumaat
tape,شريط,šariiT,شريط,širiiT
tapes,شرائط,šaraa'iT,شرايط,šaraayiT
record,اسطوانة,usTuwaana,اسطوانة,isTiwaana
records,اسطوانات,usTuwaanaat,اسطوانات,isTiwaanaat
lyrics,كلمات أغنية | أغان,kalimaat uġniyya/aġaanin,كلمات أغنية | أغاني,kalimaat uġniyya/aġaanin
melody,لحن,laHn,لحن,laHn
melodies,ألحان,alHaan,ألحان,alHaan
tune,نغم,naġm,نغم,naġm
tunes,أنغام,anġaam,أنغام,anġaam
music video,مقطع,maqTa3,فيديو كليب,viidiyo kliip
music videos,مقاطع,maqaaTi3,فيديو كليبات,viidiyo kliipaat
screenshot,لقطة,laqTa,لقطة,laqTa
screenshots,لقطات,laqaTaat,لقطات,laqaTaat
tour,جولة غنائية,joola ġanaa'iyya,جولة غنائية,joola ġanaa'iyya
promotion,ترويج,tarwiij,ترويج,tarwiij
concert,حفلة موسيقية,Hafla muusiiqiyya,حفلة موسيقية,Hafla muusiiqiyya
fans,جمهور,jumhuur,جمهور,jumhuur
musical instrument,آلة,aala,آلة,aala
musical instruments,آلات موسيقية,aalaat muusiiqiyya,آلات موسيقية,aalaat musiqiyya
violin,كمان,kamaan,كمنجة,kamanga
violins,كمنجات,kamangaat,كمنجات,kamangaat
drum,طبلة,Tabla,طبلة,Tabla
drums,طبل,Tubal,طبل,Tubal
oud ,عود,3uud,عود,3uud
oud s,أعواد,a3waad,أعواد,a3waad
bamboo flute,ناي,naay,ناي,naay
bamboo flutes,نايات,naayaat,نايات,naayaat
voice ,صوت,Soot,صوت,Soot
voice s,أصوات,aSwaat,أصوات,aSwaat
movie,فيلم,film,فيلم,film
movies,أفلام,aflaam,أفلام,aflaam
actor,ممثل,mumattil,ممثل,mumattil
star,نجم,najm,نجم,nagm
stars,نجوم,nujuum,نجوم,nuguum
famous ,مشهور,mašhuur,مشهور,mašhuur
famous s,مشاهير ,mašaahiir ,مشاهير ,mašahiir 
supporting actor,ممثل مساعد,mumattil musaa3id,ممثل مساعد,mumattil musaa3id
child star,نجم طفل,najm Tifl,نجم طفل,najm Tifl
director,مخرج,muxrij,مخرج,muxrij
producer,منتج,muntij,منتج,muntij
script,سيناريو,siinaariyo,سيناريو,sinaryo
scripts,سيناريوهات,siinaariyohaat,سيناريوهات,sinaryohaat
original screenplay,سيناريو أصلي,siinaariyo aSli,سيناريو أصلي,siinaariyo aSli
adapted screenplay,سيناريو مقتبس,siinaariyo muqtabas,سيناريو مقتبس,siinaariyo muqtabas
special effects,مؤثرات ,mu'attiraat ,مؤثرات ,mu'attiraat 
sound effects,مؤثرات صوتية,mu'attiraat Sootiyya,مؤثرات صوتية,mu'attiraat Sootiyya
visual effects,مؤثرات بصرية,mu'attiraat baSariyya,مؤثرات بصرية,mu'attiraat baSariyya
makeup,مكياج,makyaaž,مكياج,makyaaž
cinematography,تصوير,taSwiir,تصوير,taSwiir
editing,تحرير,taHriir,تحرير,taHriir
critic,ناقد,naaqid,ناقد,naaqid
critics,نقّاد,nuqqaad,نقّاد,nuqqaad
review,مراجعة,muraaja3a,مراجعة,muraaga3a
reviews,مراجعات,muraaja3aat,مراجعات,muraaga3aat
positive,ايجابي,iijaabi,ايجابي,iijaabi
negative,سلبي,silbi,سلبي,silbi
rating (G,تصنيف,taSniif,تصنيف,taSniif
assessment; rating ,تقييم,taqyiim,تقييم,taqyiim
Oscar award,جائزة,jaa'izat oscar,جايزة,gayzit oscar
Oscar awards,جوائز أوسكار,jawaa'iz oscar,جوايز أوسكار,gawaayiz oscar
starring...,بطولة,buTuula,بطولة,buTuula
role,دور,door,دور,door
roles,أدوار,adwaar,أدوار,adwaar
performance,أداء,adaa',أداء,adaa'
performances,أداءات,adaa'aat,أداءات,adaa'aat
portrayal,تجسيد,tajsiid,تجسيد,tajsiid
showing,عرض,3arD,عرض,3arD
showings,عروض,3uruuD,عروض,3uruuD
character,شخصية,šaxSiyya,شخصية,šaxSiyya
characters,شخصيات,šaxSiyyaat,شخصيات,šaxSiyyaat
hero,بطل,baTal,بطل,baTal
heroes,أبطال,abTaal,أبطال,abTaal
scene,مشهد,mašhad,مشهد,mašhad
scenes,مشاهد,mašaahid,مشاهد,mašaahid
revenue,ايراد,iiraad,ايراد,iiraad
revenues,ايرادات,iiraadaat,ايرادات,iiraadaat
record,رقم قياسي,raqam qiyaasi,رقم قياسي,raqam qiyaasi
festival,مهرجان,mihrajaan,مهرجان,mahragaan
festivals,مهرجانات,mihrajaanaat,مهرجانات,mahragaanaat
failure,اخفاق,ixfaaq,اخفاق,ixfaaq
success,نجاح,najaaH,نجاح,najaaH
popular,شعبي,ša3bi,شعبي,ša3bi
movie theater,سينما,siinima,سينما,siinima
poster,ملصق,mulSaq,ملصق,mulSaq
posters,ملصقات,mulSaqaat,ملصقات,mulSaqaat
ticket,تذكرة,tadkara,تذكرة,tazkara
tickets,تذاكر,tadaakir,تذاكر,tazaakir
screen,شاشة,šaaša,شاشة,šaaša
screens,شاشات,šaašaat,شاشات,šaašaat
drama,دراما,draama,دراما,draama
comedy,كوديدي,komedy,كوديدي,komedy
action,أكشن,akšun,أكشن,akšun
adventure,مغامرة,muġaamara,مغامرة,muġaamara
crime,اجرام,ijraam,اجرام,ijraam
family,عائلي,3aa'ili,عائلي,3aa'ili
fantasy,خيالي,xayaali,خيالي,xayaali
science fiction,خيالي علمي,xayaali 3ilmi,خيالي علمي,xayaali 3ilmi
horror,رعب,ru3b,رعب,ru3b
mystery,لغز,luġz,لغز,luġz
thriller,مشوق | تشويق,tašwiiq/mušawwiq,مشوق | تشويق,tašwiiq/mušawwiq
romance,رومانسي,romaansi,رومانسي,romaansi
musical,موسيقي,muusiiqi,موسيقي,muusiiqi
war,حربي,Harbi,حربي,Harbi
historical,تاريخي,taariixi,تاريخي,taariixi
documentary,وثائقي,wataa'iqi,وثائقي,wataa'iqi
cartoon,كرتون,kartuun,كرتون,kartuun
dubbed,مدبلج,mudablaj,مدبلج,mudablaj
subtitled,مترجم,mutarjam,مترجم,mutarjam
entertainment,تسلية,tasliyya,تسلية,tasliyya
relaxation,ترفيه,tarfiih,ترفيه,tarfiih
epic,ملحمي,malHami,ملحمي,malHami
cinematic masterpiece,تحفة,tuHfa,تحفة,tuHfa
cinematic masterpieces,تحف سينمائية,tuHaf sinimaa'iyya,تحف سينمائية,tuHaf sinimaa'iyya
devastating,مدمر,mudammir,مدمر,mudammir
exciting ,مثير ,mutiir ,مثير ,mutiir 
full of,ملئ بـ,malii' bi,مليان بـ,malii' bi
fun,مرح,maraH,مرح,maraH
enjoyable,ممتع,mumti3,ممتع,mumti3
entertaining,مسلٍ,musallin,مسلي,musallin
excellent,رائع,raa'i3,رائع,raa'i3
distinguished,مميز,mumayyaz,مميز,mumayyaz
special,متميز,mutamayyiz,متميز,mutamayyiz
great,ممتاز,mumtaaz,ممتاز,mumtaaz
unique,فريد,fariid,فريد,fariid
rare,نادر,naadir,نادر,naadir
marvellous,خارق,xaariq,خارق,xaariq
astonishing,مذهل,mudhil,مذهل,mudhil
attractive,جذاب,jaddaab,جذاب,jaddaab
funny,مضحك,muDHik,مضحك,muDHik
boring,مملّ,mumill,مملّ,mumill
ordinary,عادي,3aadi,عادي,3aadi
exaggerated,مبالغ,mubaaliġ,مبالغ,mubaaliġ
silly,سخيف,saxiif,سخيف,saxiif
realistic,واقعي,waaqi3i,واقعي,waaqi3i
mysterious,غامض,ġaamiD,غامض,ġaamiD
terrifying,مفزع,mufzi3,مفزع,mufzi3
disgusting,مقزز,muqazziz,مقرف,muqazziz
literature,أدب,adab,أدب,adab
literature,آداب,aadaab,آداب,aadaab
novel,رواية,riwaaya,رواية,riwaaya
novels,روايات,riwaayaat,روايات,riwaayaat
short story,قصة,qiSSa qaSiira,قصة,qiSSa qaSiira
short stories,قصص قصيرة,qiSaS qaSiira,قصص قصيرة,qiSaS qaSiira
book,كتاب,kitaab,كتاب,kitaab
books,كتب,kutub,كتب,kutub
series,سلسلة,silsila,سلسلة,silsila
series,سلاسل,salaasil,سلاسل,salaasil
writer,كاتب,kaatib,كاتب,kaatib
writers,كتاب,kuttaab,كتاب,kuttaab
