English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
city,مدينة,madiina,مدينة,madiina
cities,مدن,mudun,مدن,mudun
street,شارع,šaari3,شارع,šaari3
streets,شوارع,šawaari3,شوارع,šawaari3
road,طريق,Tariiq,طريق,Tarii'
roads,طرق,Turuq,طرق,Turu'
highway,طريق  سريع,Tariiq sarii3,طريق اتوستراد,Tariiq sarii3
alley; lane,حارة,Haara,حارة,Haara
alley; lanes,حارات,Haaraat,حارات,Haaraat
corner ,ناصية,naaSiya,ناصية,naSya
corner s,نواص,nawaaSin,نواصي,nawaaSi
corner ,ركن,rukn,ركن,rukn
corner s,أركان,arkaan,أركان,arkaan
tunnel,نفق,nafaq,نفق,nafa'
tunnels,انفاق,anfaaq,انفاق,anfaa'
building,عمارة,3imaara,عمارة,3omaara
buildings,عمارات,3imaaraat,عمارات,3omaaraat
real estate,عقار,3aqaar,عقار,3aqaar
real estates,عقارات,3aqaaraat,عقارات,3aqaaraat
house,بيت,beit,بيت,beit
houses,بيوت,buyuut,بيوت,buyuut
apartment,شقة,šaqqa,شقة,ša''a
apartments,شقق,šiqaq,شقق,šu'a'
bridge,جسر,jisr,كوبري,kobri
bridges,جسور,jusuur,كباري,kabaari
fence,سور,suur,سور,suur
fences,أسوار,aswaar,أسوار,aswaar
square,ميدان,meidaan,ميدان,miidaan
squares,ميادين,mayaadiin,ميادين,mayadiin
company,شركة,šarika,شركة,širka
companies,شركات,šarikaat,شركات,širakaat
center,مركز,markaz,مركز,markaz
centers,مراكز,maraakiz,مراكز,maraakiz
shop,محلّ,maHall,محلّ,maHall
shops,محلات,maHallaat,محلات,maHallaat
small grocery shop,بقالة,baqqaala,بقالة,bi''aala
small grocery shops,بقالات,baqqaalaat,بقالات,bi''aalaat
cafe,مقهى,maqha,قهوة,'ahwa
cafes,مقهاة,maqhaah,قهاوي,'ahaawi
club,نادي,naadii,نادي,naadii
clubs,نوادي,nawaadii,نوادي,nawaadii
bar,حانة,Haana,بار,baar
bars,حانات,Haanaat,بارات,baraat
movie theater,سينما,sinima,سينما,sinima
movie theaters,سينمات,sinimaat,سينمات,sinimaat
theater,مسرح,masraH,مسرح,masraH
