English,Egyptian Arabic,Transliteration
city,مدينة,madiina
cities,مدن,mudun
street,شارع,šaari3
streets,شوارع,šawaari3
road,طريق,Tarii'
roads,طرق,Turu'
highway,طريق اتوستراد,Tarii' otostraad
alley; lane,حارة,Haara
alley; lanes,حارات,Haaraat
corner ,ناصية,naSya
corner s,نواصي,nawaaSi
corner ,ركن,rukn
corner s,أركان,arkaan
tunnel,نفق,nafa'
tunnels,انفاق,anfaa'
building,عمارة,3omaara
buildings,عمارات,3omaaraat
real estate,عقار,3aqaar
real estates,عقارات,3aqaaraat
house,بيت,beit
houses,بيوت,buyuut
apartment,شقة,ša''a
apartments,شقق,šu'a'
bridge,كوبري,kobri
bridges,كباري,kabaari
fence,سور,suur
fences,أسوار,aswaar
square,ميدان,miidaan
squares,ميادين,mayadiin
company,شركة,širka
companies,شركات,širakaat
center,مركز,markaz
centers,مراكز,maraakiz
shop,محلّ,maHall
shops,محلات,maHallaat
small grocery shop,بقالة,bi''aala
small grocery shops,بقالات,bi''aalaat
cafe,قهوة,'ahwa
cafes,قهاوي,'ahaawi
club,نادي,naadii
clubs,نوادي,nawaadii
bar,بار,baar
bars,بارات,baraat
movie theater,سينما,sinima
movie theaters,سينمات,sinimaat
theater,مسرح,masraH
theaters,مسارح,masaariH
gallery,معرض,ma3riD
galleries,معارض,ma3aariD
fair,مهرجان,mahragaan
fairs,مهرجانات,mahraganaat
park,جنينة,gineina
parks,جناين,ganaayin
bench,دكّة,dikka
benches,دكك,dikak
restaurant,مطعم,maT3am
restaurants,مطاعم,maTaa3im
school,مدرسة,madrasa
schools,مدارس,madaaris
university,جامعة,gam3a
universities,جامعات,gam3aat
mosque,جامع,gaami3
mosques,جوامع,gawaami3
church,كنيسة,kiniisa
churches,كنايس,kanaayis
synagogue,كنيس,kaniis
temple,معبد,ma3bad
temples,معابد,ma3aabid
tower,برج,burg
towers,أبراج,abraag
graveyard,جبّانة,gabbaana
graveyards,جبّانات,gabbanaat
brick,طوب,Tuub
tin,صفيح,SafiiH
tourism,سياحة,siyaaHa
insurance,تأمين,ta'miin
 exchange,صرافة,Siraafa
bank,بنك,bank
banks,بنوك,bunuuk
ATM,آي تي ام,ATM
library; bookstore,مكتبة,maktaba
library; bookstores,مكتبات,maktabaat
station,محطة,maHaTTa
stations,محطات,maHaTTaat
airport,مطار,maTaar
airports,مطارات,maTaaraat
hotel,فندق,fundu'
hotels,فنادق,fanaadi'
museum,متحف,matHaf
museums,متاحف,mataaHif
palace,قصر,'aSr
palaces,قصور,'uSuur
citadel,قلعة,'al3a
citadels,قلوع,'uluu3
hospital,مستشفى,mustašfa
hospitals,مستشفيات,mustašfayaat
clinic,عيادة,3iyaada
clinics,عيادات,3iyaadaat
bakery,مخبز,maxbaz
bakeries,مخابز,maxaabiz
pharmacy,صيدلية,Saydaliyya
pharmacies,صيدليات,Saydaliyyaat
fountain,نافورة,nafuura
fountains,نوافير,nawafiir
auditorium,مدرّج,mudarrag
auditoriums,مدرّجات,mudarragaat
sidewalk,رصيف,raSiif
covered in asphalt,متسفلت,mitsaflit
pothole; speed bump,مطبّ,maTabb
pothole; speed bumps,مطبّات,maTabbaat
sewer,بلاعة,ballaa3a
sewers,بلاعات,ballaa3aat
sewage,مجاري,magaari
hole,حفرة,Hofra
holes,حفر,Hofar
sign,يافطة,yafTa
signs,يفط,yufaT
public transportation,مواصلات,muwaaSlaat
traffic,مرور,muruur
crowdedness,زحمة,zaHma
noise,دوشة,dawša
pollution,تلوث,tilawwas
mess,هرجلة,hargala
trash,زبالة,zebaala
queue,طابور,Tabuur
queues,طوابير,Tawabiir
car,عربية,3arabiyya
cars,عربيات,3arabiyyaat
bus,اتوبيس,otobiis
buses,اتوبيسات,otobiisaat
bicycle,عجلة,3agala
bicycles,عجل,3agal
motorcycle,موتوسيكل,motosikl
truck,لوري,luuri
trucks,لوريات,luriyyaat
taxi,تاكسي,taksi
taxis,تاكسيات,taksiyaat
meter,عدّاد,3addaad
meters,عدّادات,3addaadaat
tire,كوتش,kawitš
tires,كوتشات,kawitšaat
wheel,عجلة,3agala
wheels,عجلات,3agalaat
brakes,فرامل,faraamil
car hood,كبوت,kabbuut
car hoods,كبابيت,kababiit
clutch,دبرياج,dibriyaaž
clutches,دبرياجات,dibriyažaat
car trunk,شنطة العربية,šanTit il-3arabiyya
workshop,ورشة,warša
workshops,ورش,wiraš
gas,بنزين,binziin
driver's license,رخصة سواقة,ruxSit siwaa'a
driver's licenses,رخص قيادة,ruxaS qiyaada
car horn,زمّارة,zummaara
car horns,زمامير,zamamiir
accident,حادثة,Hadsa
accidents,حوادث,Hawaadis
driver,سوّاق,sawwaa'
drivers,سوّاقين,sawwaa'iin
train,قطر,'aTr
trains,قطرة,'uTura
a train/metro pass for a month or several months,أبونيه,'aboneih
boat,مركب,markab
boats,مراكب,maraakib
boat ,قارب,'aarib
boat s,قوارب,'awaarib
ship,سفينة,safiina
ships,سفن,sufun
liner,عبّارة,3abbaara
liners,عبّارات,3abbaaraat
plane,طيّارة,Tayyaara
planes,طيّارات,Tayyaaraat
passport,جواز,gawaaz 
passports,جوازات السفر,jawaazaat as-safar
visa,فيزا,viiza
visas,فيزات,viizaat
helicopter,مروحية,marwaHiyya
trip,رحلة,riHla
trips,رحلات,riHalaat
to be cancelled ,اتلغى - يتلغي ,itlaġa - yitliġi 
tour,جولة,gawla
tours,جولات,gawlaat
