English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
city,مدينة,madiina,مدينة,madiina
citys,مدن,mudun,مدن,mudun
street,شارع,šaari3,شارع,šaari3
streets,شوارع,šawaari3,شوارع,šawaari3
road,طريق,Tariiq,طريق,Tariiq
roads,طرق,Turuq,طرق,Turuq
highway,طريق  سريع,Tariiq sarii3,طريق اتوستراد,Tarii' otostraad
alley; lane,حارة,Haara,حارة,Haara
alley; lanes,حارات,Haaraat,حارات,Haaraat
corner (at an intersection),ناصية,naaSiya,ناصية,naaSiya
corner (at an intersection)s,نواص,nawaaSin,نواص,nawaaSin
corner (of a room),ركن,rukn,ركن,rukn
corner (of a room)s,أركان,arkaan,أركان,arkaan
tunnel,نفق,nafaq,نفق,nafaq
tunnels,انفاق,anfaaq,انفاق,anfaaq
building,عمارة,3imaara,عمارة,3imaara
buildings,عمارات,3imaaraat,عمارات,3imaaraat
real estate,عقار,3aqaar,عقار,3aqaar
real estates,عقارات,3aqaaraat,عقارات,3aqaaraat
house,بيت,beit,بيت,beit
houses,بيوت,buyuut,بيوت,buyuut
apartment,شقة,šaqqa,شقة,šaqqa
apartments,شقق,šiqaq,شقق,šiqaq
bridge,جسر,jisr,جسر,jisr
bridges,جسور,jusuur,جسور,jusuur
fence,سور,suur,سور,suur
fences,أسوار,aswaar,أسوار,aswaar
square,ميدان,meidaan,ميدان,meidaan
squares,ميادين,mayaadiin,ميادين,mayaadiin
company,شركة,šarika,شركة,šarika
companys,شركات,šarikaat,شركات,šarikaat
center,مركز,markaz,مركز,markaz
centers,مراكز,maraakiz,مراكز,maraakiz
shop,محلّ,maHall,محلّ,maHall
shops,محلات,maHallaat,محلات,maHallaat
small grocery shop,بقالة,baqqaala,بقالة,baqqaala
small grocery shops,بقالات,baqqaalaat,بقالات,baqqaalaat
cafe, coffee shop,مقهى,maqha,مقهى,maqha
cafe, coffee shops,مقهاة,maqhaah,مقهاة,maqhaah
club,نادي,naadii,نادي,naadii
clubs,نوادي,nawaadii,نوادي,nawaadii
bar,حانة,Haana,حانة,Haana
bars,حانات,Haanaat,حانات,Haanaat
movie theater,سينما,sinima,سينما,sinima
