English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
school,مدرسة,madrasa,مدرسة,madrasa
schools,مدارس,madaaris,مدارس,madaaris
nursery school,حضانة,HaDaana,حضانة,HaDaana
nursery schools,حضانات,HaDaanaat,حضانات,HaDaanaat
university,جامعة,jaami3a,جامعة,jaami3a
universitys,جامعات,jaami3aat,جامعات,jaami3aat
department,قسم,qism,قسم,qism
departments,اقسام,aqsaam,اقسام,aqsaam
program,برنامج,barnaamaj,برنامج,barnaamaj
programs,برامج,baraamij,برامج,baraamij
studies,دراسات,diraasaat,دراسات,dirasaat
curriculum,منهج,manhaj,منهج,manhaj
curriculums,مناهج,manaahij,مناهج,manaahij
school subject (or material, as in building materials),مادّة,maadda,مادّة,maadda
school subject (or material, as in building materials)s,موادّ,mawaadd,موادّ,mawaadd
college, academy,كلية,kulliyya,كلية,kulliyya
college, academys,كليات,kulliyyaat,كليات,kulliyyaat
institute,معهد,ma3had,معهد,ma3had
institutes,معاهد,ma3aahid,معاهد,ma3aahid
diploma, degree (or certificate),شهادة,šahaada,شهادة,šahaada
with distinction,بامتياز,bimtiyaaz,بامتياز,bimtiyaaz
baccalaureate,بكالوريا,bakalooriyaa,بكالوريا,bakalooriyaa
BA (bachelor of arts),?,?,ليسانس,lesaans
BS (bachelor of science),?,?,بكالوريوس,bakaloriyoos
masters',ماجستير,majisteir,ماجستير,majisteir
doctorate,دكتوراه,doctooraah,دكتوراه,doctooraah
professor,أستاذ,ustaad,أستاذ,ustaad
professors,اساتذة,asaatida,اساتذة,asaatida
teacher,مدرّس,mudarris,مدرّس,mudarris
pupil,تلميذ,tilmiid,تلميذ,tilmiid
pupils,تلاميذ,talaamiid,تلاميذ,talaamiid
student,طالب,Taalib,طالب,Taalib
students,طلاب,Tullaab,طلاب,Tullaab
major, specialization,تخصّص,taxaSSuS,تخصّص,taxaSSuS
major, specializations,تخصّصات بـ,taxaSSuSaat bi,تخصّصات بـ,taxaSSuSaat bi
lesson,درس,dars,درس,dars
lessons,دروس,duruus,دروس,duruus
homework (or duty),واجب,waajib,واجب,waajib
homework (or duty)s,واجبات,waajibaat,واجبات,waajibaat
exam,امتحان,imtiHaan,امتحان,imtiHaan
exams,امتحانات,imtiHaanaat,امتحانات,imtiHaanaat
test,اختبار,ixtibaar,اختبار,ixtibaar
tests,اختبارات,ixtibaaraat,اختبارات,ixtibaaraat
lecture,محاضرة,muHaaDara,محاضرة,muHaDra
discussion,مناقشة,munaaqaša,مناقشة,muna'ša
research,أبحاث,abHaat,أبحاث,abHaas
analysis,تحليل,taHliil,تحليل,taHliil
analysiss,تحاليل,taHaaliil,تحاليل,taHaaliil
(an) exercise,تمرين,tamriin,تمرين,tamriin
(an) exercises,تمارين | تمرينات,tamaariin/tamriinaat,تمارين | تمرينات,tamaariin/tamriinaat
(an) activity,نشاط,našaaT,نشاط,našaaT
(an) activitys,نشاطات | أنشطة,našaaTaat/anšiTa,نشاطات | أنشطة,našaaTaat/anšiTa
presentation,تقديم,taqdiim,تقديم,taqdiim
presentations,تقديمات,taqdiimaat,تقديمات,taqdiimaat
textbook,كتاب مدرسي,kitaab madrasi,كتاب مدرسي,kitaab madrasi
textbooks,كتب مدرسية,kutub madrasiyya,كتب مدرسية,kutub madrasiyya
grade, form,صف,Saff,صف,Saff
grade, forms,صفوف,Sufuuf,صفوف,Sufuuf
class,فصل,faSl,فصل,faSl
classs,فصول,fuSuul,فصول,fuSuul
class period,حصّة,HiSSa,حصّة,HiSSa
class periods,حصص,HiSaS,حصص,HiSaS
recess, holiday,اجازة,ajaaza,اجازة,ajaaza
recess, holidays,اجازات,ajaazaat,اجازات,ajaazaat
scholarship, grant,منحة,minHa,منحة,minHa
scholarship, grants,منح,minaH,منح,minaH
financial aid,مساعدات مالية,musaa3adaat maaliyya,مساعدات مالية,musaa3adaat maaliyya
student loan,قرض دراسي,qarD diraasii,قرض دراسي,qarD diraasii
student loans,قروض دراسية,quruuD diraasiyya,قروض دراسية,quruuD diraasiyya
cost, fee,كلفة,kulfa,كلفة,kulfa
cost, fees,كلف,kulaf,كلف,kulaf
funding,تمويل,tamwiil,تمويل,tamwiil
notebook,دفتر,daftar,دفتر,daftar
notebooks,دفاتر,dafaatir,دفاتر,dafaatir
(thick) notebook,,kaškuul,كشكول,kaškuul
(thick) notebooks,كشاكيل,kašakiil,كشاكيل,kašakiil
pen,قلم,qalam,قلم,qalam
pens,أقلام,aqlaam,أقلام,aqlaam
pencil,قلم رصاص,qalam raSaaS,قلم رصاص,'alam raSaaS
paper,ورقة,waraqa,ورقة,waraqa
papers,أوراق,awraaq,أوراق,awraaq
eraser,ممحاة,mimHaah,ممحاة,mimHaah
erasers,أساتيك,asatiik,أساتيك,asatiik
blackboard,سبورة,sabbuura,سبورة,sabbuura
blackboards,سبورات,sabbuuraat,سبورات,sabbuuraat
chalk,طباشير,Tabaašiir,طباشير,Tabašiir
calculator,آلة حاسبة,aala Haasiba,آلة حاسبة,aala Haasiba
calculators,آلات حاسبة,aalaat Haasiba,آلات حاسبة,aalaat Haasiba
(measuring) ruler,مسطرة,misTara,مسطرة,misTara
(measuring) rulers,مساطر,masaaTir,مساطر,masaaTir
encyclopedia,موسوعة,mawsuu3a,موسوعة,mawsuu3a
encyclopedias,موسوعات,mawsuu3aat,موسوعات,mawsuu3aat
dictionary,قاموس,qaamuus,قاموس,qaamuus
dictionarys,قواميس,qawaamiis,قواميس,qawaamiis
grade, mark,درجة,daraja,درجة,daraja
grade, marks,درجات,darajaat,درجات,darajaat
good grades,درجات عالية,darajaat 3aaliya,درجات عالية,daragaat 3alya
right, correct,صح,SaHH,صح,SaHH
wrong, incorrect,خطأ,xaTa',غلط,ġalaT
__ plus __ is __,__ زائد __ يساوي __,__ zaa'id __ yusaawi __,__ زائد __ يساوي __,__ zaa'id __ yisaawi __
__ minus __ is __,__ ناقص __ يساوي __,__ naaqiS __ yusaawi __,__ ناقص __ يساوي __,__ naa'iS __ yisaawi __
__ times __ is __,__ في __ يساوي __,__ fi __ yusaawi __,__ في __ يساوي __,__ fi __ yisaawi __
__ (divided) by __ is __,__ على __ يساوي __,__ 3ala __ yusaawi __,__ على __ يساوي __,__ 3ala __ yisaawi __
equation,معادلة,mu3aadala,معادلة,mu3aadala
equations,معادلات,mu3aadalaat,معادلات,mu3aadalaat
fraction,كسر,kasr,كسر,kasr
fractions,كسور,kusuur,كسور,kusuur
(math) problem,مسألة,mas'ala,مسألة,mas'ala
(math) problems,مسائل,masaa'il,مسائل,masaa'il
shape,شكل,šakl,شكل,šakl
shapes,أشكال,aškaal,أشكال,aškaal
circle,دائرة,daa'ira,دائرة,daa'ira
circles,دوائر,dawaa'ir,دوائر,dawaa'ir
square,مربع,murabba3,مربع,murabba3
squares,مربعات,murabba3aat,مربعات,murabba3aat
rectangle,مستطيل,mustaTiil,مستطيل,mustaTiil
rectangles,مستطيلات,mustaTiilaat,مستطيلات,mustaTiilaat
triangle,مثلث,mutallat,مثلث,mutallat
triangles,مثلثات,mutallataat,مثلثات,mutallataat
side,ضلع,Dil3,ضلع,Dil3
sides,ضلوع,Duluu3,ضلوع,Duluu3
angle,زاوية,zaawiya,زاوية,zaawiya
angles,زوايا,zawaaya,زوايا,zawaaya
art,فن,fann,فن,fann
arts,فنون,funuun,فنون,funuun
science,علم,3ilm,علم,3ilm
sciences,علوم,3uluum,علوم,3uluum
language,لغة,luġa,لغة,luġa
languages,لغات,luġaat,لغات,luġaat
grammar,قواعد,qawaa3id,قواعد,qawaa3id
vocabulary,مفردات,mufradaat,مفردات,mufradaat
synonym,مرادف,muraadif,مرادف,muraadif
synonyms,مرادفات,muraadifaat,مرادفات,muraadifaat
spelling,تهجئة,tahji'a,تهجية,tahgiyya
pronunciation,لفظ,lafZ,لفظ,lafZ
pronunciations,ألفاظ,alfaaZ,ألفاظ,alfaaZ
style (as in writing style),أسلوب,usluub,أسلوب,usluub
fluency,طلاقة,Talaaqa,طلاقة,Talaaqa
proficiency, ability,كفاءة,kafaa'a,كفاءة,kafaa'a
skill,مهارة,mahaara,مهارة,mahaara
skills,مهارات,mahaaraat,مهارات,mahaaraat
ability,قدرة,qudra,قدرة,qudra
abilitys,قدرات,qudaraat,قدرات,qudaraat
