English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
school,مدرسة,madrasa,مدرسة,madrasa
schools,مدارس,madaaris,مدارس,madaaris
nursery school,حضانة,HaDaana,حضانة,HaDaana
nursery schools,حضانات,HaDaanaat,حضانات,HaDanaat
university,جامعة,jaami3a,جامعة,gam3a
universities,جامعات,jaami3aat,جامعات,gam3aat
department,قسم,qism,قسم,'ism
departments,اقسام,aqsaam,اقسام,a'saam
program,برنامج,barnaamaj,برنامج,barnaamag
programs,برامج,baraamij,برامج,baraamig
studies,دراسات,diraasaat,دراسات,diraasaat
curriculum,منهج,manhaj,منهج,manhag
curricula,مناهج,manaahij,مناهج,manaahig
school subject (or material,مادّة,maadda,مادّة,madda
school subject (or materials,موادّ,mawaadd,موادّ,mawaadd
college,كلية,kulliyya,كلية,kulliyya
colleges,كليات,kulliyyaat,كليات,kulliyyaat
institute,معهد,ma3had,معهد,ma3had
institutes,معاهد,ma3aahid,معاهد,ma3aahid
diploma,شهادة,šahaada,شهادة,šahaada
with distinction,بامتياز,bimtiyaaz,بامتياز,bimtiyaaz
baccalaureate,بكالوريا,bakalooriyaa,بكالوريا,bakalooriyaa
BA ,?,?,ليسانس,?
BS ,?,?,بكالوريوس,?
masters',ماجستير,majisteir,ماجستير,majisteir
doctorate,دكتوراه,doctooraah,دكتوراه,doctooraah
professor,أستاذ,ustaad,أستاذ,ustaaz
professors,اساتذة,asaatida,اساتذة,asatza
teacher,مدرّس,mudarris,مدرّس,mudarris
pupil,تلميذ,tilmiid,تلميذ,tilmiiz
pupils,تلاميذ,talaamiid,تلاميذ,talamiiz
student,طالب,Taalib,طالب,Taalib
students,طلاب,Tullaab,طلاب,Tullaab
major,تخصّص,taxaSSuS,تخصّص,taxaSSuS
majors,تخصّصات بـ,taxaSSuSaat bi,تخصّصات بـ,taxaSSuSaat bi
lesson,درس,dars,درس,dars
lessons,دروس,duruus,دروس,duruus
homework ,واجب,waajib,واجب,waagib
homework s,واجبات,waajibaat,واجبات,wagibaat
exam,امتحان,imtiHaan,امتحان,imtiHaan
exams,امتحانات,imtiHaanaat,امتحانات,imtiHanaat
test,اختبار,ixtibaar,اختبار,ixtibaar
tests,اختبارات,ixtibaaraat,اختبارات,ixtibaraat
lecture,محاضرة,muHaaDara,محاضرة,muHaaDara
discussion,مناقشة,munaaqaša,مناقشة,munaaqaša
research,أبحاث,abHaat,أبحاث,abHaat
analysis,تحليل,taHliil,تحليل,taHliil
analyses,تحاليل,taHaaliil,تحاليل,taHaliil
 exercise,تمرين,tamriin,تمرين,tamriin
 exercises,تمارين | تمرينات,tamaariin/tamriinaat,تمارين | تمرينات,tamariin/tamrinaat
 activity,نشاط,našaaT,نشاط,našaaT
 activities,نشاطات | أنشطة,našaaTaat/anšiTa,نشاطات | أنشطة,našaTaat/anšiTa
presentation,تقديم,taqdiim,تقديم,ta'diim
presentations,تقديمات,taqdiimaat,تقديمات,ta'dimaat
textbook,كتاب مدرسي,kitaab madrasi,كتاب مدرسي,kitaab madrasi
textbooks,كتب مدرسية,kutub madrasiyya,كتب مدرسية,kutub madrasiyya
grade,صف,Saff,صف,Saff
grades,صفوف,Sufuuf,صفوف,Sufuuf
class,فصل,faSl,فصل,faSl
classes,فصول,fuSuul,فصول,fuSuul
class period,حصّة,HiSSa,حصّة,HiSSa
class periods,حصص,HiSaS,حصص,HiSaS
recess,اجازة,ajaaza,اجازة,agaaza
recesses,اجازات,ajaazaat,اجازات,agazaat
scholarship,منحة,minHa,منحة,minHa
scholarships,منح,minaH,منح,minaH
financial aid,مساعدات مالية,musaa3adaat maaliyya,مساعدات مالية,musaa3adaat maaliyya
student loan,قرض دراسي,qarD diraasii,قرض دراسي,qarD diraasii
student loans,قروض دراسية,quruuD diraasiyya,قروض دراسية,quruuD diraasiyya
cost,كلفة,kulfa,كلفة,kulfa
costs,كلف,kulaf,كلف,kulaf
funding,تمويل,tamwiil,تمويل,tamwiil
notebook,دفتر,daftar,كرّاسة,kurraasa
notebooks,دفاتر,dafaatir,كرّاسات,kurrasaat
 notebook,,kaškuul,كشكول,kaškuul
 notebooks,كشاكيل,kašakiil,كشاكيل,kašakiil
pen,قلم,qalam,قلم,'alam
pens,أقلام,aqlaam,أقلام,a'laam
pencil,قلم رصاص,qalam raSaaS,قلم رصاص,qalam raSaaS
paper,ورقة,waraqa,ورقة,wara'a
papers,أوراق,awraaq,أوراق,awraa'
eraser,ممحاة,mimHaah,أستيكة,astiika
erasers,أساتيك,asatiik,أساتيك,asatiik
blackboard,سبورة,sabbuura,تختة,tuxta
blackboards,سبورات,sabbuuraat,تخت,tuxat
chalk,طباشير,Tabaašiir,طباشير,Tabaašiir
calculator,آلة حاسبة,aala Haasiba,آلة حاسبة,aala Hasba
calculators,آلات حاسبة,aalaat Haasiba,آلات حاسبة,alaat Hasba
 ruler,مسطرة,misTara,مسطرة,masTara
 rulers,مساطر,masaaTir,مساطر,masaaTir
encyclopedia,موسوعة,mawsuu3a,موسوعة,mawsuu3a
encyclopedias,موسوعات,mawsuu3aat,موسوعات,mawsuu3aat
dictionary,قاموس,qaamuus,قاموس,qamuus
dictionaries,قواميس,qawaamiis,قواميس,qawamiis
grade,درجة,daraja,درجة,daraga
grades,درجات,darajaat,درجات,daragaat
good grades,درجات عالية,darajaat 3aaliya,درجات عالية,darajaat 3aaliya
right,صح,SaHH,صح,SaHH
wrong,خطأ,xaTa',غلط,xaTa'
__ plus __ is __,__ زائد __ يساوي __,__ zaa'id __ yusaawi __,__ زائد __ يساوي __,__ zaa'id __ yusaawi __
__ minus __ is __,__ ناقص __ يساوي __,__ naaqiS __ yusaawi __,__ ناقص __ يساوي __,__ naaqiS __ yusaawi __
__ times __ is __,__ في __ يساوي __,__ fi __ yusaawi __,__ في __ يساوي __,__ fi __ yusaawi __
__  by __ is __,__ على __ يساوي __,__ 3ala __ yusaawi __,__ على __ يساوي __,__ 3ala __ yusaawi __
equation,معادلة,mu3aadala,معادلة,mu3adla
equations,معادلات,mu3aadalaat,معادلات,mu3adlaat
fraction,كسر,kasr,كسر,kasr
fractions,كسور,kusuur,كسور,kusuur
 problem,مسألة,mas'ala,مسألة,mas'ala
 problems,مسائل,masaa'il,مسائل,masaa'il
shape,شكل,šakl,شكل,šakl
shapes,أشكال,aškaal,أشكال,aškaal
circle,دائرة,daa'ira,ديرة,deira
circles,دوائر,dawaa'ir,دواير,dawaayir
square,مربع,murabba3,مربع,mirabba3
squares,مربعات,murabba3aat,مربعات,mirabba3aat
rectangle,مستطيل,mustaTiil,مستطيل,mustaTiil
rectangles,مستطيلات,mustaTiilaat,مستطيلات,mustaTiilaat
triangle,مثلث,mutallat,مثلث,musallas
triangles,مثلثات,mutallataat,مثلثات,musallasaat
side,ضلع,Dil3,ضلع,Dil3
sides,ضلوع,Duluu3,ضلوع,Duluu3
angle,زاوية,zaawiya,زاوية,zawya
angles,زوايا,zawaaya,زوايا,zawaaya
art,فن,fann,فن,fann
arts,فنون,funuun,فنون,funuun
science,علم,3ilm,علم,3ilm
sciences,علوم,3uluum,علوم,3uluum
language,لغة,luġa,لغة,luġa
languages,لغات,luġaat,لغات,luġaat
grammar,قواعد,qawaa3id,قواعد,qawaa3id
vocabulary,مفردات,mufradaat,مفردات,mufradaat
synonym,مرادف,muraadif,مرادف,muraadif
synonyms,مرادفات,muraadifaat,مرادفات,muradifaat
spelling,تهجئة,tahji'a,تهجية,tahji'a
pronunciation,لفظ,lafZ,لفظ,lafZ
pronunciations,ألفاظ,alfaaZ,ألفاظ,alfaaZ
style ,أسلوب,usluub,أسلوب,usluub
fluency,طلاقة,Talaaqa,طلاقة,Talaaqa
proficiency,كفاءة,kafaa'a,كفاءة,kafaa'a
skill,مهارة,mahaara,مهارة,mahaara
skills,مهارات,mahaaraat,مهارات,maharaat
ability,قدرة,qudra,قدرة,'udra
abilities,قدرات,qudaraat,قدرات,'udaraat
