English,Egyptian Arabic,Transliteration
feeling,احساس,iHsaas
feelings,احاسيس,aHasiis
emotion,عاطف,3aaTif
emotions,عواطف,3awaaTif
emotional or sentimental,عاطفي,3aaTifi
to hide or repress one's feelings,كتم - يكتم  في نفسه,katam - yiktim  fi nafsu
passion,عشق,3iš'
love,حبّ,Hubb
hate,كراهية,karaahiyya
yearning,حنين,Haniin
longing,شوق,šoo'
despair,يأس,ya's
bitterness,مرارة,maraara
tear,دمع,dam3
tears,دموع,dumuu3
smiling ,بشوش,bašuuš
smiling ,بشوش,bašuuš
frowning ,مكشّر,mikaššar
to bellow at,جعر - يجعر  في,ga3ar - yig3ar  fi
to yell at,شخط - يشخط  في,šaxaT - yušxoT  fi
to belittle,هزّأ - يهزّأ ,hazza' - yihazza' 
to speak rudely to s.o.,بجّح - يبجّح  في,baggaH - yibaggaH  fi
to to break off relations with s.o. because of a dispute,خاصم - يخاصم ,xaaSim - yixaaSim 
a public disgrace,جرسة,gorsa
a public disgraces,جرس,goras
to spread scandal/gossip maliciously,نم - ينم ,namm - yinimm 
scandal-monger,نمام,nammaam
to excuse and sympathize with,عزر - يعزر ,3azar - yi3zur 
 kiss,بوسة,boosa
 kisses,بوسات,boosaat
to gasp,شهق - يشهق ,šihi' - 
yišha' 
to moan,أن - يئن ,ann - 
ya'inn 
 sigh,تنهيدة,tanhiida
 sighs,تناهيد,tanahiid
personality,شخصية,šaxSiyya
personalities,شخصيات,šaxSiyyaat
happy ,مبسوط ,mabsuuT 

happy s,سعداء ,su3adaa' 
glad,فرحان
 ,farHaan 
delighted ,مسرور 
,masruur 
cheerful ,مرح 
,mariH 
proud ,فخور ,faxuur
 
content,راضي,raaDi
to be really happy about s.t. or really enjoy it,انسجم - ينسجم  من,insagam - 
yinsigim  min
very happy/pleased,منسجم,munsagim
sad ,حزين,Haziin
sad s,حزانة ,Hazaana 
regretful ,ندمان ,nadmaan
 
depressed,مكتئب,mukta'ib
miserable,تعيس,ta3iis
miserables,تعساء,tu3asa
miserable,مسكين,miskiin
miserables,مساكين,masakiin
comfortable,مستريح,mistarayyaH
busy,مشغول,mašġuul
hopeful ,عشمان ,3ašmaan 
indifferent,مطنش,miTanniš
worried ,قلقان  ,'al'aan
 
worries,هموم    هم,humuum
