English,Standard Arabic,Transliteration
government,حكومة,Hukuuma
governments,حكومات,Hukuumaat
political,سياسي,siyaasi
party,حزب,Hizb
parties,أحزاب,aHzaab
movement,حركة,Haraka
movements,حركات,Harakaat
faction,فصيلة,faSiila
factions,فصائل,faSaa'il
bloc,كتلة,kutla
blocs,كتل,kutal
liberal,ليبرالي,liibiraali
conservative,محافظ,muHaafiZ
neo-conservative,محافظ جديد,muHaafiZ jadiid
country,دولة,dawla
countries,دول,duwal
nation,وطن,waTan
nations,أوطان,awTaan
citizen,مواطن,muwaaTin
citizens,مواطنون,muwaaTinuun
immigrant,مهاجر,muhaajir
immigrants,مهاجرون,muhaajiruun
population,عدد سكان,3adad sukkaan
democracy,ديموقراطية,diimoqraaTiyya
republic,جمهورية,jumhuuriyya
kingdom,مملكة,mamlaka
kingdoms,ممالك,mamaalik
empire,امبراطورية,imbraaTuuriyya
empires,امبراطوريات,imbraaTuuriyyaat
mandate,انتداب,intidaab
colony,مستعمرة,musta3mara
colonies,مستعمرات,musta3maraat
dictatorship,ديكتاتورية,diiktaatoriyya
totalitarianism,شمولية,šumuuliyya
fascism,فاشية,faašiyya
communism,شيوعية,šuyuu3iyya
socialism,اشتراكية,ištiraakiyya
capitalism,رأسمالية,ra'smaaliyya
anarchism,فوضوية,fawDawiyya
patriotism,وطنية,waTaniyya
nationalism,قومية,qawmiyya
federal government,حكومة اتحادية,Hukuuma ittiHaadiyya
coalition government,حكومة ائتلافية,Hukuuma i'tilaafiyya
authority,سلطة,sulTa
authorities,سلطات,sulaTaat
legislative,تشريعي,tašrii3i
executive,تنفيذي,tanfiidi
judicial,قضائي,qaDaa'i
constitution,دستور,dustuur
constitutions,دساتير,dasaatiir
amendment,تعديل,ta3diil
amendments,تعديلات,ta3diilaat
veto,نقض,naqD
position,منصب,manSib
positions,مناصب,manaaSib
president; chairman,رئيس,ra'iis
president; chairmen,رؤساء,ru'asaa'
governor; ruler,حاكم,Haakim
governor; rulers,حكام,Hukkaam
mayor,عمدة,3umda
mayors,عمد,3umad
monarch,عاهل,3aahil
monarches,عواهل,3awaahil
king,ملك,malik
kings,ملوك,muluuk
prince,أمير,amiir
princes,أمراء,umaraa'
His Majesty,جلالته,jalaalatuhu
tyrant,مستبدّ,mustabidd
despot,طاغية,Taaġiyya
ambassador,سفير,safiir
ambassadors,سفراء,sufaraa'
minister,وزير,waziir
ministers,وزراء,wuzaraa'
deputy,نائب,naa'ib
deputies,نواب,nuwwaab
member,عضو,3uDw
members,أعضاء,a3Daa'
official,مسؤول,mas'uul
officials,مسؤولون,mas'uuluun
representative,ممثل,mumattil
representatives,ممثلون,mumattiluun
spokesman,متحدث باسم,mutaHaddit bism
delegate,مبعوث,mab3uut
delegates,مبعوثون,mab3uutuun
deputy,وكيل,wakiil
deputies,وكلاء,wukalaa'
councillor,مستشار,mustašaar
councillors,مستشارون,mustašaaruun
leader,زعيم,za3iim
leaders,زعماء,zu3amaa'
embassy,سفارة,safaara
embassies,سفارات,safaaraat
committee,لجنة,lajna
committees,لجان,lijaan
delegation,وفد,wafd
delegations,وفود,wufuud
council,مجلس,majlis
councils,مجالس,majaalis
parliament,برلمان,barlamaan
agency,وكالة,wakaala
agencies,وكالات,wakaalaat
institution,مؤسسة,mu'assasa
institutions,مؤسسات,mu'assasaat
organization,منظمة,munaZZama
organizations,منظمات,munaZZamaat
group,جماعة,jamaa3a
groups,جماعات,jamaa3aat
resolution ,قرار,qaraar
resolution s,قرارات,qaraaraat
session,جلسة,jalsa
sessions,جلسات,jalasaat
Doctors Without Borders,منظمة أطباء بلا حدود,munaZZamat aTibaa' bilaa Huduud
Hezbollah,حزب الله,Hizb allaah
administration,ادارة,idaara
administrations,ادارات,idaaraat
govt. agency or authority,هيئة,hei'a
govt. agency or authorities,هيئات حكومية,hei'aat Hukuumiyya
intelligence,مخابرات,muxaabaraat
ministry,وزارة,wizaara
ministries,وزارات,wizaaraat
election,انتخاب,intixaab
elections,انتخابات,intixaabaat
campaign,حملة,Hamla
campaigns,حملات,Hamalaat
candidate,مرشح,muraššaH
candidates,مرشحون,muraššaHHuun
competitor,منافس,munaafis
competitors,منافسون,munaafisuun
voter,ناخب,naaxib
voters,ناخبون,naaxibuun
clean,نزيه,naziih
transparency,شفافية,šaffaafiyya
contribution,مساهمة,musaahama
contributions,مساهمات,musaahamaat
referendum,استفتاء,istiftaa'
referendums,استفتاءات,istiftaa'aat
propaganda,دعاية,da3aaya
slogan,شعار,ša3aar
slogans,شعارات,ša3aaraat
empty slogan,شعار أجوف,ša3aar ajwaf
debate,مناظرة,munaaZara
debates,مناظرات,munaaZaraat
vote ,صوت,Soot
vote s,أصوات,aSwaat
poll,استطلاع,istiTlaa3
polls,استطلاعات,istiTlaa3aat
opinion,رأي,ra'i
opinions,آراء,aaraa'
analysis,تحليل,taHliil
statistics,احصاءات,iHSaa'aat
result,نتيجة,natiija
results,نتائج,nataa'ij
half,نصف,naSf
percentage,نسبة,nisba
percentages,نسب,nisab
majority,أغلبية | أكثرية,aġlabiyya/aktariyya
with ,مع,ma3a
against,ضد,Didd
issue,قضية,qaDiyya
issues,قضايا,qaDaaya
affair,شأن,ša'n
affairs,شؤون,šu'uun
law,قانون,qaanuun
laws,قوانين,qawaaniin
policy,سياسة,siyaasa
policies,سياسات,siyaasaat
restrictions ,قيود على,quyuud 3ala
reform,اصلاح,iSlaaH
reforms,اصلاحات,iSlaaHaat
controversy ,جدل حول,jadal Hawla
scandal,فضيحة,faDiiHa
scandals,فضائح,faDaa'iH
negligence,اهمال,ihmaal
theft,سرقة,sariqa
swindling,نصب,naSb
bribery,ارتشاء | رشوة,irtišaa'/rašwa
embezzlement,اختلاس,ixtilaas
fraud,احتيال,iHtiyaal
blackmail,ابتزاز,ibtizaaz
favoritism,محاباة,muHaabaah
nepotism,محسوبية,maHsuubiyya
connections,واسطة,waasTa
security,أمن,amn
safety,سلامة,salaama
peace,سلام,salaam
stability,استقرار,istiqraar
protection,حماية,Himaaya
unity,وحدة,waHda
equality,مساواة,musaawaah
independence,استقلال,istiqlaal
sovereignty,سيادة,siyaada
justice,عدل/عدالة,3adl/3adaala
tolerance,تسامح,tasaamuH
coexistence,تعايش,ta3aayuš
pluralism,تعدد/تعددية,ta3addud
diversity,تنوّع,tanawwu3
freedom,حرية,Hurriyya
dignity,كرامة,karaama
conscience,ضمير,Damiir
principle,مبدأ,mabda'
principles,مبادئ,mabaadi'
morals,أخلاق    خلق,axlaaq  xulq
standard,معيار,mi3yaar
standards,معايير,ma3aayiir
right,حق,Haqq
rights,حقوق,Huquuq
oppression,ظلم,Zulm
persecution,اضطهاد,iDTihaad
repression,قمع,qam3
tyranny,استبداد,istibdaad
prejudice,تحيّز,taHayyuz
discrimination,تمييز,tamyiiz
racism,عنصرية,3unSuriyya
torture,تعذيب,ta3diib
massacre,مذبحة,madbaHa
massacres,مذابح,madaabiH
genocide,ابادة ,ibaada 
ethnic cleansing,تطهير عرقي,taThiir 3irqi
honor crime,جريمة,jariimat šaraf
honor crimes,جرائم شرف,jaraa'im šaraf
rape,اغتصاب,iġtiSaab
prostitution,دعارة,da3aara
slavery,عبودية,3ubuudiyya
