English,Standard Arabic,Transliteration,Standard Arabic,Transliteration
government,,Hukuuma,حكومة,Hukuuma
governments,حكومات,Hukuumaat,حكومات,Hukuumaat
political,سياسي,siyaasi,سياسي,siyaasi
party,,Hizb,حزب,Hizb
partys,أحزاب,aHzaab,أحزاب,aHzaab
movement,,Haraka,حركة,Haraka
movements,حركات,Harakaat,حركات,Harakaat
faction,,faSiila,فصيلة,faSiila
factions,فصائل,faSaa'il,فصائل,faSaa'il
bloc,,kutla,كتلة,kutla
blocs,كتل,kutal,كتل,kutal
liberal,ليبرالي,liibiraali,ليبرالي,liibiraali
conservative,محافظ,muHaafiZ,محافظ,muHaafiZ
neo-conservative,محافظ جديد,muHaafiZ jadiid,محافظ جديد,muHaafiZ jadiid
country,,dawla,دولة,dawla
countrys,دول,duwal,دول,duwal
nation, homeland,,waTan,وطن,waTan
nation, homelands,أوطان,awTaan,أوطان,awTaan
citizen,,muwaaTin,مواطن,muwaaTin
citizens,مواطنون,muwaaTinuun,مواطنون,muwaaTinuun
immigrant,,muhaajir,مهاجر,muhaajir
immigrants,مهاجرون,muhaajiruun,مهاجرون,muhaajiruun
population,عدد سكان,3adad sukkaan,عدد سكان,3adad sukkaan
democracy,ديموقراطية,diimoqraaTiyya,ديموقراطية,diimoqraaTiyya
republic,جمهورية,jumhuuriyya,جمهورية,jumhuuriyya
kingdom,,mamlaka,مملكة,mamlaka
kingdoms,ممالك,mamaalik,ممالك,mamaalik
empire,,imbraaTuuriyya,امبراطورية,imbraaTuuriyya
empires,امبراطوريات,imbraaTuuriyyaat,امبراطوريات,imbraaTuuriyyaat
mandate,انتداب,intidaab,انتداب,intidaab
colony,,musta3mara,مستعمرة,musta3mara
colonys,مستعمرات,musta3maraat,مستعمرات,musta3maraat
dictatorship,ديكتاتورية,diiktaatoriyya,ديكتاتورية,diiktaatoriyya
totalitarianism,شمولية,šumuuliyya,شمولية,šumuuliyya
fascism,فاشية,faašiyya,فاشية,faašiyya
communism,شيوعية,šuyuu3iyya,شيوعية,šuyuu3iyya
socialism,اشتراكية,ištiraakiyya,اشتراكية,ištiraakiyya
capitalism,رأسمالية,ra'smaaliyya,رأسمالية,ra'smaaliyya
anarchism,فوضوية,fawDawiyya,فوضوية,fawDawiyya
patriotism,وطنية,waTaniyya,وطنية,waTaniyya
nationalism,قومية,qawmiyya,قومية,qawmiyya
federal government,حكومة اتحادية,Hukuuma ittiHaadiyya,حكومة اتحادية,Hukuuma ittiHaadiyya
coalition government,حكومة ائتلافية,Hukuuma i'tilaafiyya,حكومة ائتلافية,Hukuuma i'tilaafiyya
authority,,sulTa,سلطة,sulTa
authoritys,سلطات,sulaTaat,سلطات,sulaTaat
legislative,تشريعي,tašrii3i,تشريعي,tašrii3i
executive,تنفيذي,tanfiidi,تنفيذي,tanfiidi
judicial,قضائي,qaDaa'i,قضائي,qaDaa'i
constitution,,dustuur,دستور,dustuur
constitutions,دساتير,dasaatiir,دساتير,dasaatiir
amendment,,ta3diil,تعديل,ta3diil
amendments,تعديلات,ta3diilaat,تعديلات,ta3diilaat
veto,نقض,naqD,نقض,naqD
position, office,,manSib,منصب,manSib
position, offices,مناصب,manaaSib,مناصب,manaaSib
president; chairman,,ra'iis,رئيس,ra'iis
president; chairmans,رؤساء,ru'asaa',رؤساء,ru'asaa'
governor; ruler,,Haakim,حاكم,Haakim
governor; rulers,حكام,Hukkaam,حكام,Hukkaam
mayor,,3umda,عمدة,3umda
mayors,عمد,3umad,عمد,3umad
monarch,,3aahil,عاهل,3aahil
monarchs,عواهل,3awaahil,عواهل,3awaahil
king,,malik,ملك,malik
kings,ملوك,muluuk,ملوك,muluuk
prince,,amiir,أمير,amiir
princes,أمراء,umaraa',أمراء,umaraa'
His Majesty,جلالته,jalaalatuhu,جلالته,jalaalatuhu
tyrant,مستبدّ,mustabidd,مستبدّ,mustabidd
despot,طاغية,Taaġiyya,طاغية,Taaġiyya
ambassador,,safiir,سفير,safiir
ambassadors,سفراء,sufaraa',سفراء,sufaraa'
minister,,waziir,وزير,waziir
ministers,وزراء,wuzaraa',وزراء,wuzaraa'
deputy, vice, representative,,naa'ib,نائب,naa'ib
deputy, vice, representatives,نواب,nuwwaab,نواب,nuwwaab
member,,3uDw,عضو,3uDw
members,أعضاء,a3Daa',أعضاء,a3Daa'
official,,mas'uul,مسؤول,mas'uul
officials,مسؤولون,mas'uuluun,مسؤولون,mas'uuluun
representative,,mumattil,ممثل,mumattil
representatives,ممثلون,mumattiluun,ممثلون,mumattiluun
spokesman,متحدث باسم,mutaHaddit bism,متحدث باسم,mutaHaddit bism
delegate, envoy,,mab3uut,مبعوث,mab3uut
delegate, envoys,مبعوثون,mab3uutuun,مبعوثون,mab3uutuun
deputy, agent,,wakiil,وكيل,wakiil
deputy, agents,وكلاء,wukalaa',وكلاء,wukalaa'
councillor, advisor,,mustašaar,مستشار,mustašaar
councillor, advisors,مستشارون,mustašaaruun,مستشارون,mustašaaruun
leader,,za3iim,زعيم,za3iim
leaders,زعماء,zu3amaa',زعماء,zu3amaa'
embassy,,safaara,سفارة,safaara
embassys,سفارات,safaaraat,سفارات,safaaraat
committee,,lajna,لجنة,lajna
committees,لجان,lijaan,لجان,lijaan
delegation,,wafd,وفد,wafd
delegations,وفود,wufuud,وفود,wufuud
council,,majlis,مجلس,majlis
councils,مجالس,majaalis,مجالس,majaalis
parliament,برلمان,barlamaan,برلمان,barlamaan
agency,,wakaala,وكالة,wakaala
agencys,وكالات,wakaalaat,وكالات,wakaalaat
institution, foundation,,mu'assasa,مؤسسة,mu'assasa
institution, foundations,مؤسسات,mu'assasaat,مؤسسات,mu'assasaat
organization,,munaZZama,منظمة,munaZZama
organizations,منظمات,munaZZamaat,منظمات,munaZZamaat
group, association,,jamaa3a,جماعة,jamaa3a
group, associations,جماعات,jamaa3aat,جماعات,jamaa3aat
resolution (or decision),,qaraar,قرار,qaraar
resolution (or decision)s,قرارات,qaraaraat,قرارات,qaraaraat
session,,jalsa,جلسة,jalsa
sessions,جلسات,jalasaat,جلسات,jalasaat
Doctors Without Borders,منظمة أطباء بلا حدود,munaZZamat aTibaa' bilaa Huduud,منظمة أطباء بلا حدود,munaZZamat aTibaa' bilaa Huduud
Hezbollah,حزب الله,Hizb allaah,حزب الله,Hizb allaah
administration,,idaara,ادارة,idaara
administrations,ادارات,idaaraat,ادارات,idaaraat
govt. agency or authority,,hei'a,هيئة,hei'a
govt. agency or authoritys,هيئات حكومية,hei'aat Hukuumiyya,هيئات حكومية,hei'aat Hukuumiyya
intelligence,مخابرات,muxaabaraat,مخابرات,muxaabaraat
ministry,,wizaara,وزارة,wizaara
ministrys,وزارات,wizaaraat,وزارات,wizaaraat
election,,intixaab,انتخاب,intixaab
elections,انتخابات,intixaabaat,انتخابات,intixaabaat
campaign,,Hamla,حملة,Hamla
campaigns,حملات,Hamalaat,حملات,Hamalaat
candidate,,muraššaH,مرشح,muraššaH
candidates,مرشحون,muraššaHHuun,مرشحون,muraššaHHuun
competitor,,munaafis,منافس,munaafis
competitors,منافسون,munaafisuun,منافسون,munaafisuun
voter,,naaxib,ناخب,naaxib
voters,ناخبون,naaxibuun,ناخبون,naaxibuun
clean, fair,نزيه,naziih,نزيه,naziih
transparency,شفافية,šaffaafiyya,شفافية,šaffaafiyya
contribution,,musaahama,مساهمة,musaahama
contributions,مساهمات,musaahamaat,مساهمات,musaahamaat
referendum,,istiftaa',استفتاء,istiftaa'
referendums,استفتاءات,istiftaa'aat,استفتاءات,istiftaa'aat
propaganda, advertising,دعاية,da3aaya,دعاية,da3aaya
