English,Egyptian Arabic,Transliteration
body,جسم,gism
bodies,اجسام,agsaam
part,عضو,3uDw
parts,اعضاء,a3Daa'
gland,غدة,ġudda
glands,غدد,ġudad
skin,جلد,gild
skins,جلود,guluud
head,راس,raas
heads,روس,ruus 
skull,جمجمة,gumguma
skulls,جماجم,gamaagim
brain,مخ,muxx
brains,امخاخ,amxaax
hair,شَعر,ša3r
bangs,قصّة,'oSSa
straight ,ناعم,naa3im
curly,مجعد,mga33ad
wavy,متموج,mutamawwij
dry,جاف,gaaf
coarse,خشن,xišin
greasy,دهني,duhni
thick,سميك,samiik
thinning ,خفيف,xafiif
mustache,شنب,šanab
mustaches,شنبات | شنبة,šanabaat | šiniba
beard,دقن,da'n
beards,دقون,du'uun
bald,أصلع,aSla3
completely bald,زلبطّة,zalabaTTa
wig,باروكة,baruuka
dandruff,قشرة,'išra
face,وشّ,wišš
faces,وشوش,wišuuš
forehead,جبين,gibiin
foreheads,جبن,gubun
temple,صدغ,Sudġ
temples,اصداغ,aSdaaġ
cheek,خد,xudd
cheeks,خدود,xuduud
pimple,دمّل,dimmel
pimples,دوامل,dawaamil
acne,حب الشباب,Habb iš-šabaab
mole,حسنة,Hasana
moles,حسنات,Hasanaat
freckles,نمش,namaš
eye,عين,3ein
eyes,عيون,3uyuun 
eyebrow,حاجب,Haagib
eyebrows,حواجب العين,Hawaagib il-3ein
eyelid,جفن,gifn
eyelids,جفون,gufuun
eyelash,رمش,rimš
eyelashes,رموش,rumuuš
eyeball,مقلة,muqla
eyeballs,مقل العين,muqal al-3ein
pupil,ننّي,ninni
iris,سواد العين,sawaad il-3ein
lens,عدسة,3adasa
lens,عدسات العين,3adasaat al-3ein
cornea,قرنية,qarniya
ear,ودن,widn
ears,ودان,widaan
eardrum,طبلة الودن,Tablit il-widn
eardrums,طبلات | طبل الاذن,Tablaat | Tubal al-udun
nose,مناخير,manaxiir
noses,انوف,unuuf
nostril,منخار,minxaar
nostrils,مناخير,manaaxiir
mouth,بق,bo''
mouths,بقاق,bi'aa'
tonsils,لوزتين | لوز,loztein | liwaz
saliva,لعاب,lu3aab
lip,شفّة,šiffa
lips,شفايف,šafaayif
upper,علوي,3ulwii
lower,سفلي,suflii
tongue,لسان,lisaan
tongues,السنة,alsina
tooth,سنّة,sinna
teeth,سنان,sinaan
gums,لثة,lissa
chin,دقن,da'n
chins,دقون,du'uun
jaw,فك,fakk
jaws,فكوك,fukuuk
neck,رقبة,ra'aba
necks,رقاب,ri'aab
nape of the neck,قفة,'afa
nape of the necks,اقفية,aqfiya
throat,حنجرة,Hangara
throats,حناجر,Hanaagir 
esophagus,مرئ,mari'
esophaguses,امرائة  |  مروء,amri'a | muruu'
collarbone,ترقوة,tarquwa
collarbones,تراق,taraaq
shoulder,كتف,kitf
shoulders,اكتاف,aktaaf
chest,صدر,Sidr
chests,صدور,Suduur
bust,بزّ,bizz
busts,بزاز,bizaaz
nipple,حلمة,Halama
