English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
body,جسم,jism,جسم,jism
bodys,اجسام,ajsaam,اجسام,ajsaam
part, organ,,3uDw,عضو,3uDw
part, organs,اعضاء,a3Daa',اعضاء,a3Daa'
gland,غدة,ġudda,غدة,ġudda
glands,غدد,ġudad,غدد,ġudad
skin,جلد,jild,جلد,jild
skins,جلود,juluud,جلود,juluud
head,رأس,ra's,رأس,ra's
heads,رؤوس,ru'uus ,رؤوس,ru'uus 
skull,جمجمة,jumjuma,جمجمة,jumjuma
skulls,جماجم,jamaajim,جماجم,jamaajim
brain,دماغ,dimaaġ,دماغ,dimaaġ
brains,ادمغة,admiġa,ادمغة,admiġa
hair,شَعر,ša3r,شَعر,ša3r
bangs, fringe,قصّة,quSSa,قصّة,'oSSa
straight (or soft/gentle),ناعم,naa3im,ناعم,naa3im
curly,مجعد,muja33ad,مجعد,mga33ad
wavy,متموج,mutamawwij,متموج,mutamawwij
dry,جاف,jaaf,جاف,gaaf
coarse,خشن,xašin,خشن,xišin
greasy,دهني,duhni,دهني,duhni
thick,سميك,samiik,سميك,samiik
thinning (or light),خفيف,xafiif,خفيف,xafiif
mustache,شارب,šaarib,شارب,šaarib
mustaches,شوارب,šawaarib,شوارب,šawaarib
beard,لحية,liHya,لحية,liHya
beards,لحى,luHa,لحى,luHa
bald,أصلع,aSla3,أصلع,aSla3
completely bald,زلبطّة,zalabaTTa,زلبطّة,zalabaTTa
wig,شعر مستعار,ša3r musta3aar,باروكة,baruuka
dandruff,قشرة,qišra,قشرة,'išra
face,وجه,wajh,وجه,wajh
faces,وجوه,wujuuh,وجوه,wujuuh
forehead,جبين,jabiin,جبين,jabiin
foreheads,جبن,jubun,جبن,jubun
temple,,Sudġ,صدغ,Sudġ
temples,اصداغ,aSdaaġ,اصداغ,aSdaaġ
cheek,خد,xudd,خد,xudd
cheeks,خدود,xuduud,خدود,xuduud
pimple,دمّل,dummal,دمّل,dummal
pimples,دماميل,damaamiil,دماميل,damaamiil
acne,حب الشباب,Habb iš-šabaab,حب الشباب,Habb iš-šabaab
mole,خال,xaal,خال,xaal
moles,خيلان,xiilaan,خيلان,xiilaan
freckles,نمش,namaš,نمش,namaš
eye,عين,3ein,عين,3ein
eyes,عيون,3uyuun ,عيون,3uyuun 
eyebrow,حاجب,Haajib,حاجب,Haajib
eyebrows,حواجب العين,Hawaajib al-3ein,حواجب العين,Hawaajib al-3ein
eyelid,جفن,jafn,جفن,jafn
eyelids,جفون,jufuun,جفون,jufuun
eyelash,رمش,rimš,رمش,rimš
eyelashs,رموش,rumuuš,رموش,rumuuš
eyeball,,muqla,مقلة,muqla
eyeballs,مقل العين,muqal al-3ein,مقل العين,muqal al-3ein
pupil,بؤبؤ,bu'bu',ننّي,ninni
iris,قزحية,quzaHiya,سواد العين,sawaad il-3ein
lens,,3adasa,عدسة,3adasa
lenss,عدسات العين,3adasaat al-3ein,عدسات العين,3adasaat al-3ein
cornea,قرنية,qarniya,قرنية,qarniya
ear,اذن,udun,اذن,udun
ears,آذان,aadaan,آذان,aadaan
eardrum,طبلة,Tabla,طبلة,Tabla
eardrums,طبلات | طبل الاذن,Tablaat | Tubal al-udun,طبلات | طبل الاذن,Tablaat | Tubal al-udun
nose,أنف,anf,أنف,anf
noses,انوف,unuuf,انوف,unuuf
nostril,,minxaar,منخار,minxaar
nostrils,مناخير,manaaxiir,مناخير,manaaxiir
mouth,فم,fam,فم,fam
mouths,افواه,afwaah,افواه,afwaah
tonsils,لوزتان,loozataan,لوزتين | لوز,loztein | liwaz
saliva,لعاب,lu3aab,لعاب,lu3aab
lip,شفة,šafa,شفة,šafa
lips,شفاه,šifaah,شفاه,šifaah
upper,علوي,3ulwii,علوي,3ulwii
lower,سفلي,suflii,سفلي,suflii
tongue,لسان,lisaan,لسان,lisaan
tongues,السنة,alsina,السنة,alsina
