English,Standard Arabic,Transliteration,Standard Arabic,Transliteration
crime ,اجرام,ijraam,اجرام,ijraam
crime,جريمة,jariima,جريمة,jariima
crimes,جرائم,jaraa'im,جرائم,jaraa'im
criminal,مجرم,mujrim,مجرم,mujrim
criminals,مجرمون,mujrimuun,مجرمون,mujrimuun
murderer,سفاح,saffaaH,سفاح,saffaaH
victim,ضحية,DaHiyya,ضحية,DaHiyya
victims,ضحايا,DaHaaya,ضحايا,DaHaaya
prisoner,أسير,asiir,أسير,asiir
prisoners,أسرى,asra,أسرى,asra
suspect in,مشتبه في,muštaba fi,مشتبه في,muštaba fi
accused of,متهم بـ,muttaham bi,متهم بـ,muttaham bi
involvement in,ضلع,Dil3,ضلع,Dil3
involvement ins,ضلوع في,Duluu3 fi,ضلوع في,Duluu3 fi
illegal,غير قانوني,ġeir qaanuuni,غير قانوني,ġeir qaanuuni
warrant,مذكرة توقيف,mudakkirat tawqiif,مذكرة توقيف,mudakkirat tawqiif
bail,كفالة,kafaala,كفالة,kafaala
trial,محاكمة,muHaakama,محاكمة,muHaakama
case,قضية,qaDiyya,قضية,qaDiyya
cases,قضايا,qaDaaya,قضايا,qaDaaya
court or tribunal,محكمة,maHkama,محكمة,maHkama
court or tribunals,محاكم,maHaakim,محاكم,maHaakim
judge,قاضٍ,qaaDin,قاضٍ,qaaDin
judges,قضاة,quDaah,قضاة,quDaah
lawyer,محامٍ,muHaamin,محامٍ,muHaamin
lawyers,محاميون,muHaamiyuun,محاميون,muHaamiyuun
jury,هيئة محلفين,hei'at muHallafiin,هيئة محلفين,hei'at muHallafiin
juror,محلّف,muHallaf,محلّف,muHallaf
jurors,محلّفون,muHallafuun,محلّفون,muHallafuun
witness,شاهد,šaahid,شاهد,šaahid
witnesses,شهود,šuhuud,شهود,šuhuud
eyewitness,شاهد عيان,šaahid 3iyaan,شاهد عيان,šaahid 3iyaan
prosecution,ادعاء,iddi3aa',ادعاء,iddi3aa'
defense,دفاع,difaa3,دفاع,difaa3
case,قضية,qaDiyya,قضية,qaDiyya
cases,قضايا,qaDaaya,قضايا,qaDaaya
proof,دليل,daliil,دليل,daliil
proofs,أدلة,adilla,أدلة,adilla
guilty,مذنب,mudnib,مذنب,mudnib
guilties,مذنبون,mudnibuun,مذنبون,mudnibuun
innocent,برئ,bari',برئ,bari'
innocents,أبرياء,abriyaa',أبرياء,abriyaa'
theft,سرقة,sariqa,سرقة,sariqa
robbery,نهب,nahb,نهب,nahb
burglary of,سطو على,saTw 3ala,سطو على,saTw 3ala
drug possession,حيازة مخدرات,Hiyaazat muxaddiraat,حيازة مخدرات,Hiyaazat muxaddiraat
drug trade,متاجرة مخدرات,mutaajarat muxaddiraat,متاجرة مخدرات,mutaajarat muxaddiraat
smuggling,تهريب,tahriib,تهريب,tahriib
rape,اغتصاب,iġtiSaab,اغتصاب,iġtiSaab
murder,قتل,qatl,قتل,qatl
bribery,ارتشاء | رشوة,irtišaa'/rašwa,ارتشاء | رشوة,irtišaa'/rašwa
embezzlement,اختلاس,ixtilaas,اختلاس,ixtilaas
fraud,احتيال,iHtiyaal,احتيال,iHtiyaal
blackmail,ابتزاز,ibtizaaz,ابتزاز,ibtizaaz
punishment ,عقاب,3iqaab,عقاب,3iqaab
 punishment,عقوبة,3uquuba,عقوبة,3uquuba
 punishments,عقوبات,3uquubaat,عقوبات,3uquubaat
sentence,حكم,Hukm,حكم,Hukm
sentences,أحكام على,aHkaam 3ala,أحكام على,aHkaam 3ala
sentenced to,محكوم بـ,maHkuum bi,محكوم بـ,maHkuum bi
fine,غرامة,ġaraama,غرامة,ġaraama
fines,غرامات,ġaraamaat,غرامات,ġaraamaat
prison,سجن,sijn,سجن,sijn
prisons,سجون,sujuun,سجون,sujuun
prison cell,زنزانة,zinzaana,زنزانة,zinzaana
prison cells,زنزانات,zinzaanaat,زنزانات,zinzaanaat
imprisonment,حبس,Habs,حبس,Habs
hanging,شنق,šanq,شنق,šanq
gallows,مشنقة,mišnaqa,مشنقة,mišnaqa
gallows,مشانق,mašaaniq,مشانق,mašaaniq
chained,مكبل,mukabbal,مكبل,mukabbal
chains,سلاسل    سلسلة,salaasil  silsila,سلاسل    سلسلة,salaasil  silsila
