English,Standard Arabic,Transliteration,Standard Arabic,Transliteration
news,خبر,xabar,خبر,xabar
news,أخبار,axbaar,أخبار,axbaar
current,حالي,Haali,حالي,Haali
latest,آخر,aaxir,آخر,aaxir
development,تطوّر,taTawwur,تطوّر,taTawwur
developments,تطوّرات,taTawwuraat,تطوّرات,taTawwuraat
event,حدث,Hadat,حدث,Hadat
events,أحداث,aHdaat,أحداث,aHdaat
situation,وضع,waD3,وضع,waD3
situations,أوضاع,awDaa3,أوضاع,awDaa3
state,حال,Haal,حال,Haal
states,أحوال,aHwaal,أحوال,aHwaal
circumstance,ظرف,Zarf,ظرف,Zarf
circumstances,ظروف,Zuruuf,ظروف,Zuruuf
topic,موضوع,mawDuu3,موضوع,mawDuu3
topics,مواضيع,mawaaDii3,مواضيع,mawaaDii3
phenomenon,ظاهرة,Zaahira,ظاهرة,Zaahira
phenomena,ظواهر,Zawaahir,ظواهر,Zawaahir
field,مجال,majaal,مجال,majaal
fields,مجالات,majaalaat,مجالات,majaalaat
identity,هوية,hawiyya,هوية,hawiyya
identities,هويات,hawiyyaat,هويات,hawiyyaat
measure,اجراء,ijraa',اجراء,ijraa'
measures,اجراءات,ijraa'aat,اجراءات,ijraa'aat
list,قائمة,qaa'ima,قائمة,qaa'ima
lists,قوائم,qawaa'im,قوائم,qawaa'im
guest,ضيف,Deif,ضيف,Deif
guests,ضيوف,Duyuuf,ضيوف,Duyuuf
summit,قمة,qimma,قمة,qimma
summits,قمات,qimmaat,قمات,qimmaat
meeting,اجتماع,ijtimaa3,اجتماع,ijtimaa3
meetings,اجتماعات,ijtimaa3aat,اجتماعات,ijtimaa3aat
conference,مؤتمر,mu'tamar,مؤتمر,mu'tamar
conferences,مؤتمرات,mu'tamaraat,مؤتمرات,mu'tamaraat
symposium,ندوة,nadwa,ندوة,nadwa
symposia,ندوات,nadawaat,ندوات,nadawaat
session or round,دورة,doora,دورة,doora
session or rounds,دورات,dooraat,دورات,dooraat
session,جلسة,jalsa,جلسة,jalsa
sessions,جلسات,jalasaat,جلسات,jalasaat
to be held,انعقد – ينعقد ,in3aqada, yan3aqidu ,انعقد – ينعقد ,in3aqada, yan3aqidu 
contact,اتصال,ittiSaal,اتصال,ittiSaal
contacts,اتصالات مع | بـ,ittiSaalaat ma3a/bi,اتصالات مع | بـ,ittiSaalaat ma3a/bi
relations with,علاقات مع,3alaqaat ma3a,علاقات مع,3alaqaat ma3a
link,رابط,raabiT,رابط,raabiT
links,روابط بـ,rawaabiT bi,روابط بـ,rawaabiT bi
number,عدد,3adad,عدد,3adad
numbers,أعداد,a3daad,أعداد,a3daad
common,مشترك,muštarak,مشترك,muštarak
mutual,متبادل,mutabaadal,متبادل,mutabaadal
means,سبيل,sabiil,سبيل,sabiil
means,سبل,subul,سبل,subul
manner,طريقة,Tariiqa,طريقة,Tariiqa
manners,طرائق,Taraa'iq,طرائق,Taraa'iq
beginning,بداية,bidaaya,بداية,bidaaya
end,نهاية,nihaaya,نهاية,nihaaya
statement,تصريح,taSriiH,تصريح,taSriiH
statements,تصريحات,taSriiHaat,تصريحات,taSriiHaat
announcement,اعلان,i3laan,اعلان,i3laan
announcements,اعلانات,i3laanaat,اعلانات,i3laanaat
official ,رسمي,rasmi,رسمي,rasmi
decision; resolution,قرار,qaraar,قرار,qaraar
decision; resolutions,قرارات,qaraaraat,قرارات,qaraaraat
petition,عريضة,3ariiDa,عريضة,3ariiDa
petitions,عرائض,3araa'iD,عرائض,3araa'iD
initiative,مبادرة,mubaadara,مبادرة,mubaadara
initiatives,مبادرات,mubaadaraat,مبادرات,mubaadaraat
suggestion,اقتراح,iqtiraaH,اقتراح,iqtiraaH
suggestions,اقتراحات,iqtiraaHaat,اقتراحات,iqtiraaHaat
hypothetical,افتراضي,iftiraaDi,افتراضي,iftiraaDi
plan,خطة,xiTTa,خطة,xiTTa
plans,خطط,xuTaT,خطط,xuTaT
project,مشروع,mašruu3,مشروع,mašruu3
projects,مشاريع,mašaarii3,مشاريع,mašaarii3
speech,خطاب,xiTaab,خطاب,xiTaab
speeches,خطابات,xiTaabaat,خطابات,xiTaabaat
reply,ردّ,radd,ردّ,radd
replies,ردود,ruduud,ردود,ruduud
reaction,ردّ فعل,radd fi3l,ردّ فعل,radd fi3l
development,تنمية,tanmiyya,تنمية,tanmiyya
growth,نمو,numuww,نمو,numuww
continuing,مستمر,mustamirr,مستمر,mustamirr
prepared,مستعد,musta3idd,مستعد,musta3idd
agenda,برنامج عمل,barnaamaj 3amal,برنامج عمل,barnaamaj 3amal
control,هيمنة,haymana,هيمنة,haymana
interest,مصلحة,maSlaHa,مصلحة,maSlaHa
interests,مصالح,maSaaliH,مصالح,maSaaliH
will,ارادة,iraada,ارادة,iraada
desire,رغبة,raġba,رغبة,raġba
desires,رغبات في,raġabaat fi,رغبات في,raġabaat fi
observer,مراقب,muraaqib,مراقب,muraaqib
observers,مراقبون,muraaqibuun,مراقبون,muraaqibuun
vision,رؤية,ru'iya,رؤية,ru'iya
visions,رؤى,ru'a,رؤى,ru'a
comprehensive,شامل,šaamil,شامل,šaamil
complete,كامل,kaamil,كامل,kaamil
basis,أساس,asaas,أساس,asaas
bases,أسس,usus,أسس,usus
accusation,اتّهام,ittihaam,اتّهام,ittihaam
accusations,اتّهامات,ittihaamaat,اتّهامات,ittihaamaat
invalid,باطل,baaTil,باطل,baaTil
demonstration,مظاهرة,muZaahara,مظاهرة,muZaahara
demonstrations,مظاهرات,muZaaharaat,مظاهرات,muZaaharaat
crowded,حاشد,Haašid,حاشد,Haašid
march,مسيرة,masiira,مسيرة,masiira
marches,مسيرات,masiiraat,مسيرات,masiiraat
parade,استعراض,isti3raaD,استعراض,isti3raaD
parades,استعراضات,isti3raaDaat,استعراضات,isti3raaDaat
riot,شغب,šaġab,شغب,šaġab
