English,Standard Arabic,Transliteration,Standard Arabic,Transliteration
containment,احتواء,iHtiwaa',احتواء,iHtiwaa'
restiveness,اضطراب,iDTiraab,اضطراب,iDTiraab
restivenesses,اضطرابات,iDTiraabaat,اضطرابات,iDTiraabaat
deficiency; defective,خلل,xalal,خلل,xalal
panic,هلع من,hala3 min,هلع من,hala3 min
controversy,جدل,jadal,جدل,jadal
debate,سجال,sijaal,سجال,sijaal
outcry,ضجّة,Dajja,ضجّة,Dajja
chaotic,همجي,hamaji,همجي,hamaji
opponent,خصم,xaSm,خصم,xaSm
opponents,خصوم,xuSuum,خصوم,xuSuum
legacy,تركة,tarika,تركة,tarika
legacies,تركات,tarikaat,تركات,tarikaat
legitimacy,شرعية,šar3iyya,شرعية,šar3iyya
credibility,مصداقية,miSdaaqiyya,مصداقية,miSdaaqiyya
reputation,سمعة,sum3a,سمعة,sum3a
morale,معنويات,ma3nawiyyaat,معنويات,ma3nawiyyaat
awareness,وعي,wa3y,وعي,wa3y
indifference,لا مبالاة,la mubaalaah,لا مبالاة,la mubaalaah
distortion,تشويه,tašwiih,تشويه,tašwiih
positive point,إيجابية,iijaabiyya,إيجابية,iijaabiyya
positive points,إيجابيات,iijaabiyyaat,إيجابيات,iijaabiyyaat
negative point,سلبية,silbiyya,سلبية,silbiyya
negative points,سلبيات,silbiyyaat,سلبيات,silbiyyaat
benefit,مزية,maziyya,مزية,maziyya
benefits,مزايا,mazaaya,مزايا,mazaaya
benefit,فائدة,faa'ida,فائدة,faa'ida
benefits,فوائد,fawaa'id,فوائد,fawaa'id
gain,عائدة,3aa'ida,عائدة,3aa'ida
gains,عوائد,3awaa'id,عوائد,3awaa'id
use,نفع,naf3,نفع,naf3
value,قيمة,qiima,قيمة,qiima
quantity,كمية,kammiyya,كمية,kammiyya
quantities,كميات,kammiyyaat,كميات,kammiyyaat
terminology,مصطلح,muSTalaH,مصطلح,muSTalaH
terminologies,مصطلحات,muSTalaHaat,مصطلحات,muSTalaHaat
conventional,مصطلح,muSTalaH,مصطلح,muSTalaH
normal,عادي,3aadi,عادي,3aadi
