English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
human,إنسان,insaan,إنسان,insaan
human being; mankind,بشر,bašar,بشر,bašar
human being,بني آدم,bani aadam,بني آدم,bani aadam
people,ناس,naas,ناس,naas
people ,شعب,ša3b,شعب,ša3b
people s,شعوب,šu3uub,شعوب,šu3uub
person,شخص,šaxS,شخص,šaxS
people,أشخاص,ašxaaS,أشخاص,ašxaaS
person (e.g. in a census,نسمة,nasama,نسمة,nasama
person (e.g. in a censuses,نسمات,nasamaat,نسمات,nasamaat
individual ,فرد,fard,فرد,fard
individual s,أفراد,afraad,أفراد,afraad
life,حياة,Hayaah,حياة,Hayaah
lives,حيوات,Hayawaat,حيوات,Hayawaat
young ,صغير,Saġiir,صغير,Suġayyar
young s,صغار,Suġaar,صغار,Suġaar
old,كبير,kabiir,كبير,kibiir
olds,كبار السنّ,kubaar as-sinn,كبار السنّ,kobaar is-sinn
age,عمر,3omr,عمر,3omr
How old are you?,كم عمرك؟,kam 3omrak?,عندك كم سنة؟,kam 3omrak?
baby,طفل رضيع,Tifl raDii3,بيبي,beibi
babies,أطفال رضاع,aTfaal ruDaa3,بيبيهات,beibiihaat
child,طفل,Tifl,طفل,Tifl
children,أطفال,aTfaal,أطفال,aTfaal
boy or son,ولد,walad,ولد,walad
boy or sons,أولاد,awlaad,أولاد,awlaad/wilaad
boy,صبي,Sabi,صبي,Sabi
boys,صبيان,Sibyaan,صبيان,Subyaan
son,ابن,ibn,ابن,ibn
sons,أبناء,abnaa',أولاد | ولاد,awlaad/wilaad
girl or daughter,بنت,bint,بنت,bint
girl or daughters,بنات,banaat,بنات,banaat
daughter,كريمة,kariima,كريمة,kariima
daughters,كرائم,karaa'im,كرائم,karaa'im
girl,صبية,Sabiyya,صبية,Sabiyya
girls,صبايا,Sabaaya,صبايا,Sabaaya
kid,عيّل,3ayyil,عيّل,3ayyil
kids,عيال,3iyaal,عيال,3iyaal
teenager,مراهق,muraahiq,مراهق,muraahiq
young boy/man,فتى,fatan,فتى,fata
young boy/men,فتيان,fityaan,فتيان,fityaan
young girl/woman,فتاة,fataah,فتاة,fataah
young girl/women,فتيات,fatayaat,فتيات,fatayaat
young people,شباب,šabaab,شباب,šabaab
young man,شاب,šaabb,شاب,šabb
young men,شبان,šubbaan,شبان,šubbaan
young woman,شابة,šaabba,شابة,šabba
young women,شابات,šaabbaat,شابات,šabbaat
minor,قاصر,qaaSir,قاصر,qaaSir
adult,بالغ,baaliġ,بالغ,baaliġ
man,رجل,rajul,راجل,raagil
men,رجال,rijaal,رجالة,riggaala
woman,امرأة*,imra'a,ست,sitt
women,نساء,nisaa',ستات,sittaat
sex or  race,جنس,jins,جنس,gins
sex or  races,أجناس,ajnaas,أجناس,agnaas
family,عائلة,3aa'ila,عيلة,3eila
families,عائالات,3aa'ilaat,عيلات,3eilaat
 family,أسرة,usra,أسرة,usra
 families,أسر,usar,أسر,usar
family ,أهل,ahl,أهل,ahl
relative,قريب,qariib,قريب,'ariib
relatives,أقرباء,aqribaa',قرايب,'araayib
father,أب,ab,أب,abb
fathers,آباء,aabaa',آباء,abaa'/abbahaat
dad,بابا,baaba,بابا,baaba
mother,أمّ,umm,أمّ,umm
mothers,أمهات,ummahaat,أمهات,ummahaat
mom,ماما,maama,ماما,maama
brother,أخ,ax,أخ,ax
brothers,اخوة,ixwa,اخوة,ixwa
 brother,شقيق,šaqiiq,شقيق,ši'ii'
 brothers,أشقاء,ašiqaa',أشقاء,šu'a'a
sister,أخت,uxt,أخت,uxt
sisters,اخوات,axawaat,اخوات,ixwaat
twin,تؤام,taw'am,تؤام,taw'am
twins,توائم,tawaa'im,توائم,tawaa'im
orphan,يتيم,yatiim,يتيم,yatiim
orphans,يتامى,yataama,يتامى,yutama
paternal uncle,عمّ,3amm,عمّ,3amm
paternal uncles,عموم,3umuum,عمام | أعمام,3imaam/a3maam
paternal aunt,عمّة,3amma,عمّة,3amma
paternal aunts,عمّات,3ammaat,عمّات,3ammaat
maternal uncle,خال,xaal,خال,xaal
maternal uncles,أخوال,axwaal,أخوال | خلان,axwaal/xilaan
maternal aunt,خالة,xaala,خالة,xaala
maternal aunts,خالات,xaalaat,خالات,xaalaat
nephew/niece,ابن/بنت اخ/اخت,ibn/bint ax/uxt,ابن/بنت اخ/اخت,ibn/bint ax/uxt
grandfather,جدّ,jadd,جدّ,gidd
grandfathers,جدود,juduud,جدود | أجداد,guduud/agdaad
grandpa,جدو,giddu,جدو,giddu
grandmother,جدة,jadda,جدة,gidda
grandmothers,جدات,jaddaat,جدات,giddaat
