English,Egyptian Arabic,Transliteration
human,إنسان,insaan
human being; mankind,بشر,bašar
human being,بني آدم,bani aadam
people,ناس,naas
people ,شعب,ša3b
people s,شعوب,šu3uub
person,شخص,šaxS
people,أشخاص,ašxaaS
person (e.g. in a census,نسمة,nasama
person (e.g. in a censuses,نسمات,nasamaat
individual ,فرد,fard
individual s,أفراد,afraad
life,حياة,Hayaah
lives,حيوات,Hayawaat
young ,صغير,Suġayyar
young s,صغار,Suġaar
old,كبير,kibiir
olds,كبار السنّ,kobaar is-sinn
age,عمر,3omr
How old are you?,عندك كم سنة؟,3andak kam sana?
baby,بيبي,beibi
babies,بيبيهات,beibiihaat
child,طفل,Tifl
children,أطفال,aTfaal
boy or son,ولد,walad
boy or sons,أولاد,awlaad/wilaad
boy,صبي,Sabi
boys,صبيان,Subyaan
son,ابن,ibn
sons,أولاد | ولاد,awlaad/wilaad
girl or daughter,بنت,bint
girl or daughters,بنات,banaat
daughter,كريمة,kariima
daughters,كرائم,karaa'im
girl,صبية,Sabiyya
girls,صبايا,Sabaaya
kid,عيّل,3ayyil
kids,عيال,3iyaal
teenager,مراهق,muraahiq
young boy/man,فتى,fata
young boy/men,فتيان,fityaan
young girl/woman,فتاة,fataah
young girl/women,فتيات,fatayaat
young people,شباب,šabaab
young man,شاب,šabb
young men,شبان,šubbaan
young woman,شابة,šabba
young women,شابات,šabbaat
minor,قاصر,'aaSir
adult,بالغ,baaliġ
man,راجل,raagil
men,رجالة,riggaala
woman,ست,sitt
women,ستات,sittaat
sex or  race,جنس,gins
sex or  races,أجناس,agnaas
family,عيلة,3eila
families,عيلات,3eilaat
 family,أسرة,usra
 families,أسر,usar
family ,أهل,ahl
relative,قريب,'ariib
relatives,قرايب,'araayib
father,أب,abb
fathers,آباء,abaa'/abbahaat
dad,بابا,baaba
mother,أمّ,umm
mothers,أمهات,ummahaat
mom,ماما,maama
brother,أخ,ax
brothers,اخوة,ixwa
 brother,شقيق,ši'ii'
 brothers,أشقاء,šu'a'a
sister,أخت,uxt
sisters,اخوات,ixwaat
twin,تؤام,taw'am
twins,توائم,tawaa'im
orphan,يتيم,yatiim
orphans,يتامى,yutama
paternal uncle,عمّ,3amm
paternal uncles,عمام | أعمام,3imaam/a3maam
paternal aunt,عمّة,3amma
paternal aunts,عمّات,3ammaat
maternal uncle,خال,xaal
maternal uncles,أخوال | خلان,axwaal/xilaan
maternal aunt,خالة,xaala
maternal aunts,خالات,xaalaat
nephew/niece,ابن/بنت اخ/اخت,ibn/bint ax/uxt
grandfather,جدّ,gidd
grandfathers,جدود | أجداد,guduud/agdaad
grandpa,جدو,giddu
grandmother,جدة,gidda
grandmothers,جدات,giddaat
grandma,تيتا,teta
grandchild,حفيد,Hafiid
grandchildren,أحفاد,aHfaad
in-law,نسيب,nisiib
in-laws,نسايب,nasaayib
father-in-law,حماه,Hama
father-in-laws,احماء,aHmaa'
mother-in-law,حماة,Hama
mother-in-laws,حموات,Hamawaat
son-in-law,جوز بنت,gooz bint
son-in-laws,أصهار,aShaar
daughter-in-law,مراة ابن,miraat ibn
daughter-in-laws,كنائن,kanaa'in
brother-in-law ,سلف,silf
brother-in-law s,سلايف,salaayif
brother-in-law ,عديل,3adiil
brother-in-law s,عدايل,3adaayil
sister-in-law,سلفة,silfa
sister-in-laws,,salaayif
single,عازب,3aazib
marriage,جواز,gawaaz
wedding,فرح,faraH
weddings,أفراح,afraaH
* used by Christians in Egypt *,إكليل,ikliil
honeymoon,شهر عسل,šahr 3asal
dowry,مهر,mahr
dowries,مهور,muhuur
engaged,مخطوب,maxTuub
engagement,خطوبة,xuTuuba
* used by Christians in Egypt *,نص إكليل,noSS ikliil
to break an engagement,فسخ - يفسخ  خطوبة,fisix - yifsax  xuTuuba
bride,عروسة,3aruusa
brides,عرايس,3araayis
bridegroom,عريس,3ariis
bridegrooms,عرسان,3irsaan
husband,جوز,gooz
husbands,أجواز,agwaaz
wife,مراة,miraah
wives,زوجات,zawjaat
pregnant,حامل,Haamil
divorce,طلاق,Talaa'
widower - widow,أرمل - أرملة,armal - armala
widower - widows,أرامل,araamil
society or community,مجتمع,mugtama3
society or communities,مجتمعات,mugtama3aat
culture,ثقافة,saqaafa
cultures,ثقافات,saqafaat
civilization,حضارة,HaDaara
civilizations,حضارات,HaDaraat
tradition,تقليد,taqliid
traditions,تقاليد,taqaliid
custom,عادة,3aada
customs,عادات,3adaat
dialect,لهجة,lahaga
dialects,لهجات,lahagaat
tribe,قبيلة,'abiila
tribes,قبايل,'abaayil
