English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
human,إنسان,insaan,إنسان,insaan
human being; mankind,بشر,bašar,بشر,bašar
human being,بني آدم,bani aadam,بني آدم,bani aadam
people,ناس,naas,ناس,naas
people (of a country/region),شعب,ša3b,شعب,ša3b
people (of a country/region)s,شعوب,šu3uub,شعوب,šu3uub
person,شخص,šaxS,شخص,šaxS
persons,أشخاص,ašxaaS,أشخاص,ašxaaS
person (e.g. in a census, as a numerative in statistics),نسمة,nasama,نسمة,nasama
person (e.g. in a census, as a numerative in statistics)s,نسمات,nasamaat,نسمات,nasamaat
individual (used in the context of group membership),فرد,fard,فرد,fard
individual (used in the context of group membership)s,أفراد,afraad,أفراد,afraad
life,حياة,Hayaah,حياة,Hayaah
lifes,حيوات,Hayawaat,حيوات,Hayawaat
young (or small),صغير,Saġiir,صغير,Saġiir
young (or small)s,صغار,Suġaar,صغار,Suġaar
old,كبير,kabiir,كبير,kabiir
olds,كبار السنّ,kubaar as-sinn,كبار السنّ,kubaar as-sinn
age,عمر,3omr,عمر,3omr
How old are you?,كم عمرك؟,kam 3omrak?,عندك كم سنة؟,3andak kam sana?
baby,طفل رضيع,Tifl raDii3,طفل رضيع,Tifl raDii3
babys,أطفال رضاع,aTfaal ruDaa3,أطفال رضاع,aTfaal ruDaa3
child,طفل,Tifl,طفل,Tifl
childs,أطفال,aTfaal,أطفال,aTfaal
boy or son,ولد,walad,ولد,walad
boy or sons,أولاد,awlaad,أولاد,awlaad
boy,صبي,Sabi,صبي,Sabi
boys,صبيان,Sibyaan,صبيان,Sibyaan
son,ابن,ibn,ابن,ibn
sons,أبناء,abnaa',أبناء,abnaa'
girl or daughter,بنت,bint,بنت,bint
girl or daughters,بنات,banaat,بنات,banaat
daughter,,kariima,كريمة,kariima
daughters,كرائم,karaa'im,كرائم,karaa'im
girl,صبية,Sabiyya,صبية,Sabiyya
girls,صبايا,Sabaaya,صبايا,Sabaaya
kid,عيّل,3ayyil,عيّل,3ayyil
kids,عيال,3iyaal,عيال,3iyaal
teenager, adolescent,مراهق,muraahiq,مراهق,muraahiq
young boy/man,فتى,fatan,فتى,fatan
young boy/mans,فتيان,fityaan,فتيان,fityaan
young girl/woman,فتاة,fataah,فتاة,fataah
young girl/womans,فتيات,fatayaat,فتيات,fatayaat
young people, youth (as an age group),شباب,šabaab,شباب,šabaab
young man,شاب,šaabb,شاب,šaabb
young mans,شبان,šubbaan,شبان,šubbaan
young woman,شابة,šaabba,شابة,šaabba
young womans,شابات,šaabbaat,شابات,šaabbaat
minor,قاصر,qaaSir,قاصر,'aaSir
adult,بالغ,baaliġ,بالغ,baaliġ
man,رجل,rajul,رجل,rajul
mans,رجال,rijaal,رجال,rijaal
woman,امرأة*,imra'a,امرأة*,imra'a
womans,نساء,nisaa',نساء,nisaa'
sex or (human) race,جنس,jins,جنس,jins
sex or (human) races,أجناس,ajnaas,أجناس,ajnaas
family,عائلة,3aa'ila,عائلة,3aa'ila
familys,عائالات,3aa'ilaat,عائالات,3aa'ilaat
(more extended) family,أسرة,usra,أسرة,usra
(more extended) familys,أسر,usar,أسر,usar
family (excluding husband/wife and children),أهل,ahl,أهل,ahl
relative,قريب,qariib,قريب,qariib
relatives,أقرباء,aqribaa',أقرباء,aqribaa'
father,أب,ab,أب,ab
fathers,آباء,aabaa',آباء,aabaa'
dad,بابا,baaba,بابا,baaba
mother,أمّ,umm,أمّ,umm
mothers,أمهات,ummahaat,أمهات,ummahaat
mom,ماما,maama,ماما,maama
brother,أخ,ax,أخ,ax
brothers,اخوة,ixwa,اخوة,ixwa
(full) brother,شقيق,šaqiiq,شقيق,šaqiiq
(full) brothers,أشقاء,ašiqaa',أشقاء,ašiqaa'
sister,أخت,uxt,أخت,uxt
sisters,اخوات,axawaat,اخوات,axawaat
twin,تؤام,taw'am,تؤام,taw'am
twins,توائم,tawaa'im,توائم,tawaa'im
orphan,يتيم,yatiim,يتيم,yatiim
orphans,يتامى,yataama,يتامى,yataama
paternal uncle,عمّ,3amm,عمّ,3amm
paternal uncles,عموم,3umuum,عموم,3umuum
paternal aunt,عمّة,3amma,عمّة,3amma
paternal aunts,عمّات,3ammaat,عمّات,3ammaat
maternal uncle,خال,xaal,خال,xaal
maternal uncles,أخوال,axwaal,أخوال,axwaal
maternal aunt,خالة,xaala,خالة,xaala
maternal aunts,خالات,xaalaat,خالات,xaalaat
nephew/niece,ابن/بنت اخ/اخت,ibn/bint ax/uxt,ابن/بنت اخ/اخت,ibn/bint ax/uxt
grandfather,جدّ,jadd,جدّ,jadd
