English,Standard Arabic,Transliteration
news,خبر,xabar
news,أخبار,axbaar
current,حالي,Haali
latest,آخر,aaxir
development,تطوّر,taTawwur
developments,تطوّرات,taTawwuraat
event,حدث,Hadat
events,أحداث,aHdaat
situation,وضع,waD3
situations,أوضاع,awDaa3
state,حال,Haal
states,أحوال,aHwaal
circumstance,ظرف,Zarf
circumstances,ظروف,Zuruuf
topic,موضوع,mawDuu3
topics,مواضيع,mawaaDii3
phenomenon,ظاهرة,Zaahira
phenomena,ظواهر,Zawaahir
field,مجال,majaal
fields,مجالات,majaalaat
identity,هوية,hawiyya
identities,هويات,hawiyyaat
measure,اجراء,ijraa'
measures,اجراءات,ijraa'aat
list,قائمة,qaa'ima
lists,قوائم,qawaa'im
guest,ضيف,Deif
guests,ضيوف,Duyuuf
summit,قمة,qimma
summits,قمات,qimmaat
meeting,اجتماع,ijtimaa3
meetings,اجتماعات,ijtimaa3aat
conference,مؤتمر,mu'tamar
conferences,مؤتمرات,mu'tamaraat
symposium,ندوة,nadwa
symposia,ندوات,nadawaat
session or round,دورة,doora
session or rounds,دورات,dooraat
session,جلسة,jalsa
sessions,جلسات,jalasaat
to be held,انعقد – ينعقد ,in3aqada, yan3aqidu 
contact,اتصال,ittiSaal
contacts,اتصالات مع | بـ,ittiSaalaat ma3a/bi
relations with,علاقات مع,3alaqaat ma3a
link,رابط,raabiT
links,روابط بـ,rawaabiT bi
number,عدد,3adad
numbers,أعداد,a3daad
common,مشترك,muštarak
mutual,متبادل,mutabaadal
means,سبيل,sabiil
means,سبل,subul
manner,طريقة,Tariiqa
manners,طرائق,Taraa'iq
beginning,بداية,bidaaya
end,نهاية,nihaaya
statement,تصريح,taSriiH
statements,تصريحات,taSriiHaat
announcement,اعلان,i3laan
announcements,اعلانات,i3laanaat
official ,رسمي,rasmi
decision; resolution,قرار,qaraar
decision; resolutions,قرارات,qaraaraat
petition,عريضة,3ariiDa
petitions,عرائض,3araa'iD
initiative,مبادرة,mubaadara
initiatives,مبادرات,mubaadaraat
suggestion,اقتراح,iqtiraaH
suggestions,اقتراحات,iqtiraaHaat
hypothetical,افتراضي,iftiraaDi
plan,خطة,xiTTa
plans,خطط,xuTaT
project,مشروع,mašruu3
projects,مشاريع,mašaarii3
speech,خطاب,xiTaab
speeches,خطابات,xiTaabaat
reply,ردّ,radd
replies,ردود,ruduud
reaction,ردّ فعل,radd fi3l
development,تنمية,tanmiyya
growth,نمو,numuww
continuing,مستمر,mustamirr
prepared,مستعد,musta3idd
agenda,برنامج عمل,barnaamaj 3amal
control,هيمنة,haymana
interest,مصلحة,maSlaHa
interests,مصالح,maSaaliH
will,ارادة,iraada
desire,رغبة,raġba
desires,رغبات في,raġabaat fi
observer,مراقب,muraaqib
observers,مراقبون,muraaqibuun
vision,رؤية,ru'iya
visions,رؤى,ru'a
comprehensive,شامل,šaamil
complete,كامل,kaamil
basis,أساس,asaas
bases,أسس,usus
accusation,اتّهام,ittihaam
accusations,اتّهامات,ittihaamaat
invalid,باطل,baaTil
demonstration,مظاهرة,muZaahara
demonstrations,مظاهرات,muZaaharaat
crowded,حاشد,Haašid
march,مسيرة,masiira
marches,مسيرات,masiiraat
parade,استعراض,isti3raaD
parades,استعراضات,isti3raaDaat
riot,شغب,šaġab
popular demand,اقبال شعبي,iqbaal ša3bi
sit-in,اعتصام,i3tiSaam
sit-ins,اعتصامات,i3tiSaamaat
strike,اضراب,iDraab
strikes,اضرابات,iDraabaat
protesting cry,هتاف,hutaaf
protesting cries,هتافات,hutaafaat
sign or leaflet,لافتة,laafita
sign or leaflets,لافتات,laafitaat
international,دولي,dawli
regional,إقليمي,iqliimi
local,محلي,maHalli
bilateral,تنائي,tanaa'i
choice,خيار,xiyaar
choices,خيارات,xiyaaraat
investigation,تحقيق,taHqiiq
investigations,تحقيقات,taHqiiqaat
position,موقف,mawqif
positions,مواقف,mawaaqif
operation; process,عملية,3amaliyya
operation; processes,عمليات,3amaliyyaat
pressure on,ضغط,DaġT
pressure ons,ضغوط على,DuġuuT 3ala
sudden,مفاجئ,mufaaji'
legitimate,مشروع,mašruu3
borders ,حدود    حدّ,Huduud  Hadd
wall,سور,suur
walls,أسوار,aswaar
letter,رسالة,risaala
letters,رسائل,rasaa'il
content,مضمون,maDmuun
contents,مضامين,maDaamiin
element ,عنصر,3unSur
element s,عناصر,3anaaSir
gang,عصابة,3iSaaba
gangs,عصابات,3iSaabaat
activist,ناشط,naašiT
activists,ناشطون,naašiTuun
volunteer,متطوع,mutaTawwi3
volunteers,متطوعة,mutaTawwi3a
charity (as a concept,خيرية,xayriyya
hiding place,مخبأ,maxba'
hiding places,مخابئ,maxaabi'
unknown,مجهول,majhuul
alert,استنفار,istinfaar
chain,سلسلة,silsila
chains,سلاسل,salaasil
source,مصدر,maSdar
sources,مصادر,maSaadir
personal,شخصي,šaxSi
area,ساحة,saaHa
areas,ساحات,saaHaat
framework,اطار,iTaar
frameworks,اطارات,iTaaraat
patrol,دورة,dawra
patrols,دوريات,dawriyaat
extensive,موسع,muwassa3
wide,واسع,waasi3
level,مستوى,mustawa
levels,مستويات,mustawayaat
guaranteeing,كفيل بـ,kafiil bi
character or stamp,طابع,Taabi3
character or stamps,طوابع,Tawaabi3
size,حجم,Hajm
sizes,أحجام,aHjaam
amount,حصيلة,HaSiila
amounts,حصائل,HaSaa'il
coming from,قادما من,qaadiman min
going to,متوجها إلى,mutawajjihan ila
extraordinary,استثنائي,istitnaa'i
influence,تأثير على,ta'tiir 3ala
checkpoint,نقطة تفتيش,nuqTat taftiiš
settlement,مستوطنة,mustawTina
settlements,مستوطنات,mustawTinaat
refugee,لاجئ,laaji'
refugees,لاجئون,laaji'uun
camp,مخيم,muxayyam
camps,مخيمات,muxayyamaat
total,اجمالي,ijmaali
certainty,ثقة,tiqqa
doubt,شك,šakk
doubts,شكوك,šukuuk
offer,عرض,3arD
offers,عروض,3uruuD
colonialism,استعمار,isti3maar
entity,كيان,kiyaan
renaissance,نهضة,nahDa
trend,تيار,tayyaar
trends,تيارات,tayyaaraat
ideological,عقائدي,3aqaa'idi
complementing,مكمّل,mukammil
aiming at,رامي إلى,raami ila
wealth,ثروة,tarwa
wealth,ثروات,tarawaat
effective,فعال,fa33aal
useful,مفيد,mufiid
flag,علم,3alam
flags,أعلام,a3laam
flag,راية,raaya
flags,رايات,raayaat
term ,فترة,fitra
term s,فترات,fitaraat
term  or state,ولاية,wilaaya
term  or states,ولايات,wilaayaat
oil,نفط,nafT
crude ,خام,xaam
blaze,حريق,Hariiq
fire,نار,naar
misunderstanding,سوء تفاهم,suu' tafaahum
through,عبر,3abr
by means of,من طريق,min Tariiq
almost,نحو,naHw
resulting from,جراء,jarraa'
in order to,من أجل,min ajl
during,خلال,xilaal
in the period of...,إبان,ibbaan
while,فيما,fiima
since,منذ,mundu
at,لدى,lada
