English,Standard Arabic,Transliteration,Standard Arabic,Transliteration
propaganda; advertising,دعاية,di3aaya,دعاية,di3aaya
brainwashing,غسيل دماغ,ġasiil dimaaġ,غسيل دماغ,ġasiil dimaaġ
blame,عتاب | لوم,3itaab/loom,عتاب | لوم,3itaab/loom
scapegoat,كبش فداء,kabš fidaa',كبش فداء,kabš fidaa'
pretext,حجّة,Hujja,حجّة,Hujja
pretexts,حجج,Hujaj,حجج,Hujaj
excuse for,عذر,3udr,عذر,3udr
excuse fors,أعذار لـ,a3daar li,أعذار لـ,a3daar li
acceptable,مقبول,maqbuul,مقبول,maqbuul
reasonable,معقول,ma3quul,معقول,ma3quul
appropriate,مناسب,munaasib,مناسب,munaasib
fair,منصف,munSif,منصف,munSif
allowed,مسموح,masmuuH,مسموح,masmuuH
permission,اذن,idn,اذن,idn
permit,ترخيص,tarxiiS,ترخيص,tarxiiS
permits,تراخيص,taraaxiiS,تراخيص,taraaxiiS
forbidden,ممنوع | محظور,mamnuu3/maHZuur,ممنوع | محظور,mamnuu3/maHZuur
censorship of,رقابة على,raqaaba 3ala,رقابة على,raqaaba 3ala
offensive,مسئ | مهين,musi'/muhiin,مسئ | مهين,musi'/muhiin
limiting condition,تحفظ,taHaffuZ,تحفظ,taHaffuZ
limiting conditions,تحفظات,taHaffuZaat,تحفظات,taHaffuZaat
limited,محصور على,maHSuur 3ala,محصور على,maHSuur 3ala
tragedy,مأساة,ma'saah,مأساة,ma'saah
tragedies,مآس,ma'aasin,مآس,ma'aasin
disaster,مصيبة,muSiiba,مصيبة,muSiiba
disasters,مصيبات,muSiibaat,مصيبات,muSiibaat
step ,خطوة,xaTwa,خطوة,xaTwa
step s,خطوات ,xaTawaat ,خطوات ,xaTawaat 
standard,معيار,mi3yaar,معيار,mi3yaar
standards,معايير,ma3aayiir,معايير,ma3aayiir
mission,مهمة,mahamma,مهمة,mahamma
missions,مهام,mahaamm,مهام,mahaamm
determined,معيّن,mu3ayyan,معيّن,mu3ayyan
accident,حادثة,haaditha,حادثة,haaditha
accidents,حوادث,hawaadit,حوادث,hawaadit
proof,دليل,daliil,دليل,daliil
proofs,أدلة على,adilla 3ala,أدلة على,adilla 3ala
high treason,خيانة عظمى,xiyaana 3uZma,خيانة عظمى,xiyaana 3uZma
agent; collaborator,عميل,3amiil,عميل,3amiil
agent; collaborators,عملاء,3umalaa',عملاء,3umalaa'
collaborator,متعاون,muta3aawin,متعاون,muta3aawin
collaborators,متعاونون,muta3aawinuun,متعاونون,muta3aawinuun
double agent,عميل مزدوج,3amiil muzdawaj,عميل مزدوج,3amiil muzdawaj
spy,جاسوس,jaasuus,جاسوس,jaasuus
spies,جواسيس,jawaasiis,جواسيس,jawaasiis
traitor,خائن,xaa'in,خائن,xaa'in
traitors,خونة,xawana,خونة,xawana
secretly,سريا,sirriyyan,سريا,sirriyyan
secret,سرّ,sirr,سرّ,sirr
secrets,أسرار,asraar,أسرار,asraar
privilege,امتياز,imtiyaaz,امتياز,imtiyaaz
privileges,امتيازات,imtiyaazaat,امتيازات,imtiyaazaat
special treatment,معاملة خاصّة,mu3aamala xaaSSa,معاملة خاصّة,mu3aamala xaaSSa
differentiation,تفرقة بين,tafriqa bein,تفرقة بين,tafriqa bein
bias towards/against,انحياز لـ | ضد,inHiyaaz li/Didd,انحياز لـ | ضد,inHiyaaz li/Didd
biased,منحاز,munHaaz,منحاز,munHaaz
neutral,محايد,muHaayid,محايد,muHaayid
sectarian,طائفي,Taa'ifi,طائفي,Taa'ifi
aid,عون,3oon,عون,3oon
human shield,درع بشري,dir3 bašari,درع بشري,dir3 bašari
human shields,دروع بشرية,duruu3 bašariyya,دروع بشرية,duruu3 bašariyya
chance,فرصة,furSa,فرصة,furSa
chances,فرص,furaS,فرص,furaS
intense,كثيف,katiif,كثيف,katiif
intenses,كثاف,kitaaf,كثاف,kitaaf
isolation from,عزلة عن,3uzla 3an,عزلة عن,3uzla 3an
terrorism,ارهاب,irhaab,ارهاب,irhaab
terrorist,ارهابي,irhaabi,ارهابي,irhaabi
cell,خلية,xaliyya,خلية,xaliyya
cells,خلايا,xalaayaa,خلايا,xalaayaa
suicide bombing,عملية انتحارية,3amaliyya intiHaariyya,عملية انتحارية,3amaliyya intiHaariyya
extremist,متطرف,mutaTarrif,متطرف,mutaTarrif
fanatic,متعصب,muta3aSSib,متعصب,muta3aSSib
fundamentalist,أصولي,uSuuli,أصولي,uSuuli
moderate,معتدل,mu3tadil,معتدل,mu3tadil
backwards,متخلّف,mutaxallif,متخلّف,mutaxallif
progressive,متقدّم,mutaqaddim,متقدّم,mutaqaddim
modern,حديث,Hadiit,حديث,Hadiit
moderns,حدثاء,Hudataa',حدثاء,Hudataa'
condition,شرط,šarT,شرط,šarT
conditions,شروط,šuruuT,شروط,šuruuT
requirements,متطلّبات,mutaTallibaat,متطلّبات,mutaTallibaat
necessity,ضرورة,Daruura,ضرورة,Daruura
necessities,ضرورات,Daruuraat,ضرورات,Daruuraat
talent,موهبة,mawhiba,موهبة,mawhiba
talents,مواهب,mawaahib,مواهب,mawaahib
strong ,قوي,qawi,قوي,qawi
strong s,أقوياء  ,aqwiyaa' ,أقوياء  ,aqwiyaa' 
weak ,ضعيف,Da3iif,ضعيف,Da3iif
weak s,ضعفاء ,Du3afaa' ,ضعفاء ,Du3afaa' 
firm,وثيق,watiiq,وثيق,watiiq
harm,ضرر,Darar,ضرر,Darar
harms,أضرار,aDraar,أضرار,aDraar
to no avail,هدرا,hadran,هدرا,hadran
headquarters,معقل,ma3qil,معقل,ma3qil
headquarters,معاقل,ma3aaqil,معاقل,ma3aaqil
model,نموذج,numuudaj,نموذج,numuudaj
models,نموذجات,numuudajaat,نموذجات,numuudajaat
after the pattern of,على غرار,3ala ġiraar,على غرار,3ala ġiraar
equally,على حدّ سواء,3ala Haddin sawaa',على حدّ سواء,3ala Haddin sawaa'
nuclear program,برنامج نووي,barnaamaj nawawi,برنامج نووي,barnaamaj nawawi
reactor,منشأة,munša'a,منشأة,munša'a
reactors,منشآت,munša'aat,منشآت,munša'aat
compound,مجمّع,mujamma3,مجمّع,mujamma3
sanctions,عقوبات,3uquubaat,عقوبات,3uquubaat
hostage,رهينة,rahiina,رهينة,rahiina
hostages,رهائن,rahaa'in,رهائن,rahaa'in
to order,أمر – يؤمر ,amara, yu'muru ,أمر – يؤمر ,amara, yu'muru 
order,أمر,amr,أمر,amr
orders,أوامر,awaamir,أوامر,awaamir
dictation,املاء,imlaa',املاء,imlaa'
dictations,املاءات,imlaa'aat,املاءات,imlaa'aat
nadir,تدنٍ,tadannin,تدنٍ,tadannin
spread,تفشٍ,tafaššin,تفشٍ,tafaššin
presence,وجود,wujuud,وجود,wujuud
absence,غياب,ġiyaab,غياب,ġiyaab
lack of,عدم,3adam,عدم,3adam
obstacle,عائق,3aa'iq,عائق,3aa'iq
obstacles,معوقات,mu3awwaqaat,معوقات,mu3awwaqaat
deterrent,رادع,raadi3,رادع,raadi3
deterrents,روادع,rawaadi3,روادع,rawaadi3
challenge,تحدٍ,taHaddin,تحدٍ,taHaddin
challenges,تحديات,taHaddiyaat,تحديات,taHaddiyaat
difficulty,صعوبة,Su3uuba,صعوبة,Su3uuba
difficulties,صعوبات,Su3uubaat,صعوبات,Su3uubaat
disintegration,تفكك,tafakkuk,تفكك,tafakkuk
breakdown,انهيار,inhiyaar,انهيار,inhiyaar
fall,انحدار,inHidaar,انحدار,inHidaar
deterioration,تدهور,tadahuur,تدهور,tadahuur
exacerbation,تفاقم,tafaaqum,تفاقم,tafaaqum
destabilization,زعزعة,za3za3a,زعزعة,za3za3a
chaos,فوضى,fawDa,فوضى,fawDa
crisis,أزمة,azma,أزمة,azma
crises,أزمات,azamaat,أزمات,azamaat
tension,توتر,tawattur,توتر,tawattur
tensions,توترات,tawatturaat,توترات,tawatturaat
problem,مشكلة,muškila,مشكلة,muškila
problems,مشكلات | مشاكل,muškilaat/mišaakil,مشكلات | مشاكل,muškilaat/mišaakil
commitment to,التزام,iltizaam,التزام,iltizaam
commitment tos,التزامات بـ,iltizaamaat bi,التزامات بـ,iltizaamaat bi
adherence to,تمسّك بـ,tamassuk bi,تمسّك بـ,tamassuk bi
competition,منافسة,munaafasa,منافسة,munaafasa
contest,مسابقة,musaabaqa,مسابقة,musaabaqa
side,طرف,Taraf,طرف,Taraf
sides,أطراف,aTraaf,أطراف,aTraaf
goal,هدف,hadaf,هدف,hadaf
goals,أهداف,ahdaaf,أهداف,ahdaaf
aim,غرض,ġaraD,غرض,ġaraD
aims,أغراض,aġraaD,أغراض,aġraaD
intention,نية,niyya,نية,niyya
intentions,نوايا,nawaayaa,نوايا,nawaayaa
accomplishment,انجاز,injaaz,انجاز,injaaz
accomplishments,انجازات,injaazaat,انجازات,injaazaat
plea,توسّل,tawassul,توسّل,tawassul
pleas,توسّلات,tawassulaat,توسّلات,tawassulaat
danger ,خطر  ,xaTar ,خطر  ,xaTar 
burden ,عبء,3ib',عبء,3ib'
burden s,أعباء على,a3baa' 3ala,أعباء على,a3baa' 3ala
numerous,متعدّد,muta3addid,متعدّد,muta3addid
different,مختلف,muxtalif,مختلف,muxtalif
miscellaneous,متفرّق,mutafarriq,متفرّق,mutafarriq
